model,iteration,running_time_seconds,match_rate
gpt-4o,1,18.84390402,0.2
gpt-4o,2,9.533812046051025,0.25
gpt-4o,3,18.4793222,0.2
gpt-4o,4,17.22742223739624,0.25
gpt-4o,5,12.293245315551758,0.2
gpt-4o,6,13.310710668563843,0.25
gpt-4o,7,13.794864892959595,0.3
gpt-4o,8,8.203045129776001,0.35
gpt-4o,9,12.756316900253296,0.1
gpt-4o,10,10.529453754425049,0.25
gpt-4o-mini,1,14.536842107772827,0.35
gpt-4o-mini,2,14.217090129852295,0.4
gpt-4o-mini,3,14.541226148605347,0.25
gpt-4o-mini,4,11.326293706893921,0.55
gpt-4o-mini,5,11.219679117202759,0.45
gpt-4o-mini,6,17.288076162338257,0.45
gpt-4o-mini,7,14.946088790893555,0.4
gpt-4o-mini,8,15.973142147064209,0.5
gpt-4o-mini,9,13.72237491607666,0.4
gpt-4o-mini,10,15.184031963348389,0.3
gpt-5,1,154.38737511634827,0.15
gpt-5,2,167.7233269,0.1
gpt-5,3,187.81785798072815,0.15
gpt-5,4,84.23484802246094,0.2
gpt-5,5,130.8816041946411,0.15
gpt-5,6,176.46847701072693,0.15
gpt-5,7,205.0492160320282,0.2
gpt-5,8,126.29266905784607,0.15
gpt-5,9,157.87362813949585,0.15
gpt-5,10,196.60705399513245,0.15
gpt-5-mini,1,50.35755181312561,0.55
gpt-5-mini,2,62.44189095497131,0.2
gpt-5-mini,3,64.12360095977783,0.35
gpt-5-mini,4,60.34507369995117,0.25
gpt-5-mini,5,64.44428682,0.35
gpt-5-mini,6,71.56904697418213,0.2
gpt-5-mini,7,58.74177002906799,0.25
gpt-5-mini,8,58.346736907958984,0.6
gpt-5-mini,9,57.47429919242859,0.4
gpt-5-mini,10,65.10177397727966,0.45
gpt-5.1,1,39.31210684776306,0.23809523809523808
gpt-5.1,2,28.308403968811035,0.5
gpt-5.1,3,33.36708713,0.35
gpt-5.1,4,39.78617596626282,0.35
gpt-5.1,5,33.41069698,0.4
gpt-5.1,6,44.42917299,0.45
gpt-5.1,7,41.163118839263916,0.45
gpt-5.1,8,32.97450280189514,0.35
gpt-5.1,9,40.278650999069214,0.45
gpt-5.1,10,39.42519211769104,0.5
gpt-5.2,1,48.68074011802673,0.35
gpt-5.2,2,39.02873206138611,0.4
gpt-5.2,3,41.990801095962524,0
gpt-5.2,4,47.24701786,0.4
gpt-5.2,5,39.90674304962158,0.4
gpt-5.2,6,51.45799517631531,0.35
gpt-5.2,7,44.174073696136475,0.35
gpt-5.2,8,38.82127309,0.3
gpt-5.2,9,46.371809005737305,0.45
gpt-5.2,10,34.80400514602661,0.2
