drug_name,chembl_id,max_phase,cancer_indications
4SC-203,CHEMBL5314406,1,"Leukemia, Myeloid, Acute"
8-CHLOROADENOSINE,CHEMBL4594396,1,"Leukemia, Myeloid, Acute"
9-AMINOCAMPTOTHECIN,CHEMBL274070,2,"Esophageal Neoplasms; Kidney Neoplasms; Leukemia, Myeloid, Acute; Lung Neoplasms; Lymphoma; Neoplasms; Ovarian Neoplasms; Peritoneal Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Stomach Neoplasms"
ABBV-744,CHEMBL4297454,1,"Leukemia, Myeloid, Acute"
ACETAMINOPHEN,CHEMBL112,3,"Breast Neoplasms; Cancer Pain; Carcinoma, Non-Small-Cell Lung; Esophageal Neoplasms; Glioma; Kidney Neoplasms; Leukemia; Leukemia, Hairy Cell; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Mast-Cell; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Leukemia, T-Cell; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Non-Hodgkin; Melanoma; Mesothelioma; Multiple Myeloma; Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms, Castration-Resistant; Urinary Bladder Neoplasms"
ACETYLCYSTEINE,CHEMBL600,2,"Breast Neoplasms; Leukemia, Myeloid, Acute; Lymphoma; Melanoma"
ACLARUBICIN,CHEMBL502620,3,"Leukemia; Leukemia, Myeloid, Acute; Neoplasms"
AGS62P1,CHEMBL4297893,1,"Leukemia, Myeloid, Acute"
AHN-12,CHEMBL2109480,1,"Leukemia; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
AKN-028,CHEMBL4790100,1,"Leukemia, Myeloid, Acute"
ALDESLEUKIN,CHEMBL1201438,4,"Adenocarcinoma of Lung; Brain Neoplasms; Breast Neoplasms; Breast Neoplasms, Male; Burkitt Lymphoma; Carcinoma; Carcinoma, Hepatocellular; Carcinoma, Merkel Cell; Carcinoma, Non-Small-Cell Lung; Carcinoma, Renal Cell; Carcinoma, Squamous Cell; Central Nervous System Neoplasms; Colorectal Neoplasms; Fallopian Tube Neoplasms; Glioblastoma; Glioma; Gliosarcoma; Head and Neck Neoplasms; Hematologic Neoplasms; Hodgkin Disease; Inflammatory Breast Neoplasms; Kidney Neoplasms; Leukemia; Leukemia, Basophilic, Acute; Leukemia, Biphenotypic, Acute; Leukemia, Erythroblastic, Acute; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Megakaryoblastic, Acute; Leukemia, Monocytic, Acute; Leukemia, Myelogenous, Chronic, BCR-ABL Positive; Leukemia, Myeloid, Acute; Leukemia, Myelomonocytic, Acute; Leukemia, Myelomonocytic, Chronic; Liver Neoplasms; Lung Neoplasms; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Non-Hodgkin; Lymphoma, T-Cell, Cutaneous; Melanoma; Mesothelioma; Multiple Myeloma; Mycosis Fungoides; Neoplasm Metastasis; Neoplasms; Neuroblastoma; Ovarian Neoplasms; Pancreatic Neoplasms; Peritoneal Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Prostatic Neoplasms, Castration-Resistant; Sarcoma; Sarcoma, Synovial; Sezary Syndrome; Skin Neoplasms; Thyroid Neoplasms; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Uveal Melanoma"
ALEMTUZUMAB,CHEMBL1201587,4,"Fallopian Tube Neoplasms; Hematologic Neoplasms; Hodgkin Disease; Kidney Neoplasms; Leukemia; Leukemia, Biphenotypic, Acute; Leukemia, Erythroblastic, Acute; Leukemia, Large Granular Lymphocytic; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Leukemia, Myeloid, Acute; Leukemia, Prolymphocytic; Leukemia, Prolymphocytic, T-Cell; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Non-Hodgkin; Lymphoma, T-Cell, Peripheral; Multiple Myeloma; Mycosis Fungoides; Neoplasms; Neoplasms, Neuroepithelial; Neuroblastoma; Ovarian Neoplasms; Peritoneal Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Sezary Syndrome"
ALISERTIB,CHEMBL483158,3,"Breast Neoplasms; Burkitt Lymphoma; Carcinoma, Non-Small-Cell Lung; Carcinoma, Squamous Cell; Digestive System Neoplasms; Fallopian Tube Neoplasms; Head and Neck Neoplasms; Leukemia, Myeloid, Acute; Lymphoma; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Mantle-Cell; Lymphoma, T-Cell, Peripheral; Multiple Myeloma; Neoplasms; Neuroblastoma; Ovarian Neoplasms; Peritoneal Neoplasms; Prostatic Neoplasms; Small Cell Lung Carcinoma; Urinary Bladder Neoplasms"
ALLOPURINOL,CHEMBL1467,4,"Fallopian Tube Neoplasms; Leukemia; Leukemia, Biphenotypic, Acute; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myeloid, Acute; Lymphoma; Lymphoma, Non-Hodgkin; Multiple Myeloma; Neoplasms; Neoplasms, Plasma Cell; Ovarian Neoplasms; Peritoneal Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Response Evaluation Criteria in Solid Tumors; Small Cell Lung Carcinoma; Tumor Lysis Syndrome"
ALOVUDINE F-18,CHEMBL5314940,2,"Carcinoma, Renal Cell; Hereditary Breast and Ovarian Cancer Syndrome; Leukemia, Myeloid, Acute; Paraganglioma; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Stomach Neoplasms"
ALRIZOMADLIN,CHEMBL4091801,2,"Leukemia, Lymphoid; Leukemia, Myeloid, Acute; Leukemia, Myelomonocytic, Chronic; Liposarcoma; Lymphoma; Salivary Gland Neoplasms"
ALVOCIDIB,CHEMBL428690,2,"Breast Neoplasms; Breast Neoplasms, Male; Endometrial Neoplasms; Esophageal Neoplasms; Hematologic Neoplasms; Kidney Neoplasms; Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Leukemia, Myeloid, Acute; Leukemia, Prolymphocytic; Liver Neoplasms; Lymphoma; Melanoma; Multiple Myeloma; Neoplasms; Pancreatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Sarcoma"
ALVOCIDIB HYDROCHLORIDE,CHEMBL2105698,1,"Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Myeloid, Acute; Leukemia, Prolymphocytic; Lymphoma, B-Cell, Marginal Zone; Lymphoma, Follicular; Lymphoma, Large B-Cell, Diffuse; Lymphoma, Mantle-Cell; Multiple Myeloma"
AMG-900,CHEMBL2140408,1,"Leukemia, Myeloid; Neoplasms"
AMG553,CHEMBL4650295,1,"Leukemia, Myeloid, Acute"
AMIFOSTINE,CHEMBL1006,4,"Breast Neoplasms; Carcinoma; Central Nervous System Neoplasms; Colorectal Neoplasms; Endometrial Neoplasms; Fallopian Tube Neoplasms; Head and Neck Neoplasms; Hepatoblastoma; Hodgkin Disease; Kidney Neoplasms; Leukemia; Leukemia, Myeloid, Acute; Liver Neoplasms; Lung Neoplasms; Lymphoma; Lymphoma, Non-Hodgkin; Mesothelioma; Multiple Myeloma; Neoplasms; Neoplasms, Germ Cell and Embryonal; Neoplasms, Plasma Cell; Neuroblastoma; Ovarian Neoplasms; Peritoneal Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms, Castration-Resistant; Rectal Neoplasms; Retinoblastoma; Sarcoma; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms"
AMMONIUM TRICHLOROTELLURATE,CHEMBL4584965,2,"Leukemia, Myeloid, Acute"
AMONAFIDE,CHEMBL428676,2,"Breast Neoplasms; Leukemia, Myeloid, Acute; Prostatic Neoplasms, Castration-Resistant"
AMPHOTERICIN B,CHEMBL267345,3,"Leukemia; Leukemia, Myeloid, Acute; Lymphoma; Multiple Myeloma; Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
AMSACRINE,CHEMBL43,4,"Leukemia; Leukemia, Myeloid, Acute; Neoplasms"
AMV-564,CHEMBL4297552,1,"Leukemia, Myeloid, Acute; Neoplasms"
ANIDULAFUNGIN,CHEMBL264241,2,"Leukemia; Leukemia, Myeloid, Acute; Neoplasms"
ANTROQUINONOL,CHEMBL3235620,2,"Carcinoma, Non-Small-Cell Lung; Leukemia, Myeloid, Acute; Pancreatic Neoplasms"
APG-2575,CHEMBL4650374,2,"Breast Neoplasms; Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Leukemia, Myeloid, Acute; Multiple Myeloma; Neoplasms; Precursor Cell Lymphoblastic Leukemia-Lymphoma"
APREPITANT,CHEMBL1471,4,"Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Glioblastoma; Leukemia, Myeloid, Acute; Multiple Myeloma; Neoplasms; Neoplasms, Germ Cell and Embryonal"
APVO-436,CHEMBL4594525,1,"Leukemia, Myeloid, Acute"
AR-42,CHEMBL191482,1,"Leukemia, Myeloid, Acute; Multiple Myeloma"
