chembl_id,drug_name,smiles,phase,approved_for_AML,kg_link_count,evidence_entity_count,protein_count,pathway_count,moa_count,logP,logS,CYP3A4_inhibition,CYP2D6_inhibition,CYP2C9_inhibition,CYP2C19_inhibition,CYP1A2_inhibition,hERG_inhibition,AMES_mutagenic,PGP_inhibition,PAMPA_permeability,BBB_penetration,risk_sum,risk_norm,sol_score,logP_score,perm_score,admet_score
CHEMBL101253,VATALANIB,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,3.0,no,32,24,3,20,1,5.012600000000003,-4.27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,7.0,0.875,0.2883333333333334,0.24684999999999935,0.5,0.27578666666666657
CHEMBL1024,IFOSFAMIDE,O=P1(NCCCl)OCCCN1CCCl,,no,1,1,0,0,1,1.884,-1.31,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,0.1875,0.7816666666666666,0.971,0.0,0.6349083333333333
CHEMBL105,MITOMYCIN,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,,no,1,1,0,0,1,-1.6511999999999971,-2.62,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.375,0.5633333333333334,0.08720000000000072,0.0,0.3488566666666668
CHEMBL107,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,,no,1,1,0,0,1,2.871600000000001,-1.12,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,2.5,0.3125,0.8133333333333334,0.7820999999999998,0.0,0.5597116666666666
CHEMBL107430,NRX195183,CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,2.0,no,1,1,1,0,0,5.623300000000005,-7.35,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.5,0.1875,0.0,0.09417499999999879,0.0,0.30320999999999976
CHEMBL1078178,MOMELOTINIB,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,3.0,no,4,4,1,3,0,2.977180000000001,-4.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.125,0.2116666666666666,0.7557049999999997,1.0,0.7497243333333332
CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,,no,1,1,0,0,1,3.8269000000000033,-2.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,6.0,0.75,0.5116666666666666,0.5432749999999992,0.5,0.42348833333333313
CHEMBL1086218,VALSPODAR,,,yes,0,0,0,0,0,,,,,,,,,,,,,,,,,,0.5
CHEMBL1091,HYDROCORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,no,1,1,0,0,1,2.3524000000000003,-4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27999999999999997,0.9118999999999999,0.0,0.5883799999999999
CHEMBL1092665,SP-420,COCCOCCOc1ccc(C2=N[C@@](C)(C(=O)O)CS2)c(O)c1,,no,1,1,0,0,1,1.7707000000000002,-2.63,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.25,0.5616666666666666,0.942675,0.0,0.5633683333333332
CHEMBL1096380,PLINABULIN,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,,no,1,1,0,0,1,0.7413999999999987,-5.1,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,0.3125,0.15000000000000005,0.6853499999999997,0.0,0.4076949999999999
CHEMBL1096882,FLUDARABINE PHOSPHATE,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,4.0,yes,7,7,6,0,1,,,,,,,,,,,,,,,,,,0.5
CHEMBL1096885,VALRUBICIN,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,4.0,no,2,2,1,0,1,2.4622,-5.51,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.375,0.0816666666666667,0.88445,1.0,0.6619733333333333
CHEMBL1103,FURAZOLIDONE,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,,no,1,1,0,0,1,0.9739,-3.07,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,3.0,0.375,0.48833333333333334,0.743475,0.5,0.5901116666666667
CHEMBL1117,IDARUBICIN,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,4.0,yes,1,1,1,0,0,,,,,,,,,,,,,,,,,,0.5
CHEMBL1129,TRIFLURIDINE,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,,no,1,1,0,0,1,-0.8039000000000001,-1.22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.125,0.7966666666666667,0.299025,0.0,0.5253883333333333
CHEMBL1130,DOXIFLURIDINE,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,,no,1,1,0,0,1,-1.6851999999999996,-1.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0625,0.75,0.0787000000000001,0.0,0.49386500000000005
CHEMBL1131,ACITRETIN,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,4.0,no,2,2,2,0,0,5.167060000000005,-3.98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.125,0.33666666666666667,0.20823499999999884,0.5,0.5402303333333331
CHEMBL11359,CISPLATIN,,,no,1,1,0,0,1,,,,,,,,,,,,,,,,,,0.5
CHEMBL1152,PREDNISOLONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,no,1,1,0,0,1,2.1284,-4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2933333333333333,0.9679,0.0,0.6022466666666666
CHEMBL1159650,CLOBETASOL PROPIONATE,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,no,1,1,0,0,1,4.103100000000003,-4.62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,0.25,0.22999999999999998,0.47422499999999923,0.5,0.5283449999999998
CHEMBL1161,MOMETASONE FUROATE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,,no,1,1,0,0,1,4.869200000000005,-4.09,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.5,0.31833333333333336,0.28269999999999884,0.0,0.29520666666666645
CHEMBL1169,AMINOSALICYLIC ACID,Nc1ccc(C(=O)O)c(O)c1,,no,1,1,0,0,1,0.6726000000000001,-2.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.125,0.6566666666666666,0.66815,0.0,0.5712133333333334
CHEMBL118218,IROFULVEN,CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,,no,1,1,0,0,1,1.6656,-1.46,0.0,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,3.5,0.4375,0.7566666666666667,0.9164,0.0,0.5314883333333333
CHEMBL1186894,AMRUBICIN,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O,3.0,no,2,2,1,0,1,0.6317999999999996,-3.27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.125,0.455,0.6579499999999999,0.0,0.52884
CHEMBL1189025,BROSTALLICIN,C=C(Br)C(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCNC(=N)N)n(C)c4)n(C)c3)n(C)c2)n(C)c1,,no,1,1,0,0,1,1.85747,-1.72,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.5,0.4375,0.7133333333333334,0.9643675,0.0,0.5324151666666668
CHEMBL1200342,PARAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,no,1,1,0,0,1,2.3224,-4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.125,0.25500000000000006,0.9194,0.0,0.54113
CHEMBL1200376,BETAMETHASONE BENZOATE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO,,no,1,1,0,0,1,3.760400000000003,-5.19,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.5,0.3125,0.13499999999999993,0.5598999999999993,1.0,0.6296049999999999
CHEMBL1200384,BETAMETHASONE DIPROPIONATE,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,no,1,1,0,0,1,3.8175000000000026,-4.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.125,0.31833333333333336,0.5456249999999994,1.0,0.7290416666666665
CHEMBL1200386,PREDNICARBATE,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,no,1,1,0,0,1,3.6993000000000023,-4.74,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0625,0.20999999999999996,0.5751749999999994,1.0,0.7351599999999999
CHEMBL1200400,AZATHIOPRINE SODIUM,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12.[Na+],,no,1,1,0,0,1,-2.221099999999999,-1.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.125,0.6683333333333333,0.0,0.0,0.4399166666666666
CHEMBL1200410,PROCARBAZINE HYDROCHLORIDE,CNNCc1ccc(C(=O)NC(C)C)cc1.Cl,,no,1,1,0,0,1,1.4705999999999997,-0.858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.125,0.8570000000000001,0.8676499999999999,0.0,0.65118
CHEMBL1200449,TRIAMCINOLONE DIACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,no,1,1,0,0,1,1.7620999999999991,-4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.125,0.31499999999999995,0.9405249999999998,0.0,0.5573549999999999
CHEMBL1200475,DAUNORUBICIN CITRATE,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.O=C(O)CC(O)(CC(=O)O)C(=O)O,2.0,no,2,2,1,0,1,-0.2195999999999983,-3.08,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.25,0.48666666666666664,0.4451000000000004,0.0,0.4488533333333334
CHEMBL1200485,SORAFENIB TOSYLATE,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,4.0,yes,32,24,3,20,1,,,,,,,,,,,,,,,,,,0.5
CHEMBL1200495,HYDROCORTISONE SODIUM SUCCINATE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-].[Na+],,no,1,1,0,0,1,-2.1333999999999937,-2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.53,0.0,0.0,0.45599999999999996
CHEMBL1200500,BECLOMETHASONE DIPROPIONATE,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,,no,1,1,0,0,1,4.086800000000004,-3.69,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.5,0.1875,0.385,0.47829999999999906,1.0,0.7070349999999999
CHEMBL1200538,BETAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,no,1,1,0,0,1,2.466500000000001,-4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.125,0.215,0.8833749999999998,0.0,0.525925
