chembl_id,drug_name,recommended_top_conc_uM,dilution_factor,n_points,concentrations_uM,rationale,reported_bioactivity_uM,bioactivity_source,constraints
CHEMBL1278146,FAMITINIB,30.0,3,10,"30,10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524","logS[-4,-3)_top30",,,
CHEMBL1567,SUNITINIB MALATE,50.0,3,10,"50,16.67,5.556,1.852,0.6173,0.2058,0.06859,0.02286,0.007621,0.00254",logS>=-3_top50,,,
CHEMBL522892,DOVITINIB,50.0,3,10,"50,16.67,5.556,1.852,0.6173,0.2058,0.06859,0.02286,0.007621,0.00254",logS>=-3_top50,,,
CHEMBL535,SUNITINIB,30.0,3,10,"30,10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524",logS>=-3_top50;cap30_due_to_hERG_or_AMES,,,pred_hERG;pred_AMES
CHEMBL1721885,SU-014813,30.0,3,10,"30,10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524",logS>=-3_top50;cap30_due_to_hERG_or_AMES,,,pred_AMES
CHEMBL1230609,FORETINIB,10.0,3,10,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081",low_solubility_logS<-5_top10,,,pred_hERG;pred_AMES;very_low_solubility
CHEMBL5314391,XL-999,10.0,3,10,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081",low_solubility_logS<-5_top10,,,pred_AMES;very_low_solubility
CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,50.0,3,10,"50,16.67,5.556,1.852,0.6173,0.2058,0.06859,0.02286,0.007621,0.00254",logS>=-3_top50,,,
CHEMBL1908391,MASITINIB,50.0,3,10,"50,16.67,5.556,1.852,0.6173,0.2058,0.06859,0.02286,0.007621,0.00254",logS>=-3_top50,,,
CHEMBL124660,TANDUTINIB,20.0,3,10,"20,6.667,2.222,0.7407,0.2469,0.0823,0.02743,0.009145,0.003048,0.001016","logS[-5,-4)_top20",,,pred_hERG
CHEMBL1946170,REGORAFENIB,10.0,3,10,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081",low_solubility_logS<-5_top10,,,very_low_solubility
CHEMBL572881,MOTESANIB,20.0,3,10,"20,6.667,2.222,0.7407,0.2469,0.0823,0.02743,0.009145,0.003048,0.001016","logS[-5,-4)_top20",,,
CHEMBL4650333,SERALUTINIB,30.0,3,10,"30,10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524","logS[-4,-3)_top30",,,pred_AMES
CHEMBL2103851,AMUVATINIB,10.0,3,10,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081",low_solubility_logS<-5_top10,,,pred_hERG;very_low_solubility
CHEMBL491473,CEDIRANIB,30.0,3,10,"30,10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524","logS[-4,-3)_top30",,,pred_hERG
CHEMBL101253,VATALANIB,20.0,3,10,"20,6.667,2.222,0.7407,0.2469,0.0823,0.02743,0.009145,0.003048,0.001016","logS[-5,-4)_top20",,,pred_hERG
CHEMBL477772,PAZOPANIB,50.0,3,10,"50,16.67,5.556,1.852,0.6173,0.2058,0.06859,0.02286,0.007621,0.00254",logS>=-3_top50,,,
CHEMBL3545402,XL-820,50.0,3,10,"50,16.67,5.556,1.852,0.6173,0.2058,0.06859,0.02286,0.007621,0.00254",no_logS_default50,,,
CHEMBL3545427,CM-082,50.0,3,10,"50,16.67,5.556,1.852,0.6173,0.2058,0.06859,0.02286,0.007621,0.00254",no_logS_default50,,,
CHEMBL4204794,AVAPRITINIB,20.0,3,10,"20,6.667,2.222,0.7407,0.2469,0.0823,0.02743,0.009145,0.003048,0.001016","logS[-5,-4)_top20",,,pred_hERG
