chembl_id,drug_name,smiles,inchikey,molecular_weight,clinical_phase,targets,pathway_names,moa_links
CHEMBL1086218,VALSPODAR,C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,YJDYDFNKCBANTM-QCWCSKBGSA-N,1214.6459999999988,,,,P-glycoprotein 1 inhibitor
CHEMBL1096882,FLUDARABINE PHOSPHATE,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,GIUYCYHIANZCFB-FJFJXFQQSA-N,365.21400000000006,4.0,POLA1|POLE|POLA2|PRIM1|POLE2|POLD4|PRIM2|POLD3|POLD1|POLE3|POLD2,Inhibition of replication initiation of damaged DNA by RB1/E2F1|Polymerase switching on the C-strand of the telomere|Telomere C-strand synthesis initiation|DNA replication initiation|Activation of the pre-replicative complex|Polymerase switching|Removal of the Flap Intermediate|Processive synthesis on the lagging strand|G1/S-Specific Transcription|Defective pyroptosis|Defective pyroptosi|Recognition of DNA damage by PCNA-containing replication comple|PCNA-Dependent Long Patch Base Excision Repai|Termination of translesion DNA synthesi|HDR through Homologous Recombination (HRR|Gap-filling DNA repair synthesis and ligation in GG-NE|Dual Incision in GG-NE|Dual incision in TC-NE|Gap-filling DNA repair synthesis and ligation in TC-NE|DNA replication initiatio|Activation of the pre-replicative comple|Inhibition of replication initiation of damaged DNA by RB1/E2F|Polymerase switching on the C-strand of the telomer|Telomere C-strand synthesis initiatio|Polymerase switchin|Removal of the Flap Intermediat|Processive synthesis on the lagging stran|Processive synthesis on the C-strand of the telomer|Telomere C-strand (Lagging Strand) Synthesi|Removal of the Flap Intermediate from the C-stran|Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha|Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta|Cytosolic iron-sulfur cluster assembl|G1/S-Specific Transcriptio,DNA polymerase (alpha/delta/epsilon) inhibitor | Ribonucleoside-diphosphate reductase RR1 inhibitor
CHEMBL1117,IDARUBICIN,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,XDXDZDZNSLXDNA-TZNDIEGXSA-N,497.5000000000002,4.0,TOP2A,Transcription of E2F targets under negative control by DREAM complex|SUMOylation of DNA replication proteins|Transcription of E2F targets under negative control by DREAM comple|SUMOylation of DNA replication protein,
CHEMBL1200485,SORAFENIB TOSYLATE,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,IVDHYUQIDRJSTI-UHFFFAOYSA-N,637.0360000000003,4.0,FLT3|KIT|PDGFRB|RET|RAF1|BRAF|KDR|FLT4,"PIP3 activates AKT signaling|Downstream signal transduction|Signaling by PDGF|Constitutive Signaling by Aberrant PI3K in Cancer|RAF/MAP kinase cascade|PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling|PI3K Cascade|FLT3 Signaling|STAT5 Activation|FLT3 mutants bind TKIs|STAT5 activation downstream of FLT3 ITD mutants|KW2449-resistant FLT3 mutants|semaxanib-resistant FLT3 mutants|crenolanib-resistant FLT3 mutants|gilteritinib-resistant FLT3 mutants|lestaurtinib-resistant FLT3 mutants|midostaurin-resistant FLT3 mutants|pexidartinib-resistant FLT3 mutants|ponatinib-resistant FLT3 mutants|quizartinib-resistant FLT3 mutants|sorafenib-resistant FLT3 mutants|sunitinib-resistant FLT3 mutants|tandutinib-resistant FLT3 mutants|linifanib-resistant FLT3 mutants|tamatinib-resistant FLT3 mutants|Signaling by FLT3 ITD and TKD mutants|Negative regulation of FLT3|FLT3 signaling through SRC family kinases|FLT3 signaling by CBL mutants|VEGFR2 mediated cell proliferation|RET signaling|NPAS4 regulates expression of target genes|Formation of the nephric duct|Formation of the ureteric bud|Signaling by SCF-KIT|RAF activation|Signaling by moderate kinase activity BRAF mutants|Signaling by BRAF and RAF1 fusions|Paradoxical activation of RAF signaling by kinase inactive BRAF|Signaling downstream of RAS mutants|Signaling by RAF1 mutants|Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants|IFNG signaling activates MAPKs|VEGFA-VEGFR2 Pathway|Stimuli-sensing channels|Rap1 signalling|GP1b-IX-V activation signalling|CD209 (DC-SIGN) signaling|MAP2K and MAPK activation|Negative feedback regulation of MAPK pathway|Negative regulation of MAPK pathway|Signaling by high-kinase activity BRAF mutants|SHOC2 M1731 mutant abolishes MRAS complex function|Gain-of-function MRAS complexes activate RAF signaling|Regulation of KIT signaling|TFAP2 (AP-2) family regulates transcription of growth factors and their receptors|Dasatinib-resistant KIT mutants|Imatinib-resistant KIT mutants|KIT mutants bind TKIs|Masitinib-resistant KIT mutants|Nilotinib-resistant KIT mutants|Regorafenib-resistant KIT mutants|Signaling by kinase domain mutants of KIT|Sunitinib-resistant KIT mutants|Signaling by juxtamembrane domain KIT mutants|Sorafenib-resistant KIT mutants|Signaling by extracellular domain mutants of KIT|Transcriptional and post-translational regulation of MITF-M expression and activity|Spry regulation of FGF signaling|Frs2-mediated activation|ARMS-mediated activation|Signalling to p38 via RIT and RIN|VEGF binds to VEGFR leading to receptor dimerization|NOTCH4 Intracellular Domain Regulates Transcription|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells|Neurophilin interactions with VEGF and VEGFR|Integrin cell surface interactions|Signaling by membrane-tethered fusions of PDGFRA or PDGFRB|PI3K Cascad|PIP3 activates AKT signalin|Constitutive Signaling by Aberrant PI3K in Cance|RAF/MAP kinase cascad|PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin|FLT3 Signalin|STAT5 Activatio|FLT3 mutants bind TKI|STAT5 activation downstream of FLT3 ITD mutant|KW2449-resistant FLT3 mutant|semaxanib-resistant FLT3 mutant|crenolanib-resistant FLT3 mutant|gilteritinib-resistant FLT3 mutant|lestaurtinib-resistant FLT3 mutant|midostaurin-resistant FLT3 mutant|pexidartinib-resistant FLT3 mutant|ponatinib-resistant FLT3 mutant|quizartinib-resistant FLT3 mutant|sorafenib-resistant FLT3 mutant|sunitinib-resistant FLT3 mutant|tandutinib-resistant FLT3 mutant|linifanib-resistant FLT3 mutant|tamatinib-resistant FLT3 mutant|Signaling by FLT3 ITD and TKD mutant|Negative regulation of FLT|FLT3 signaling through SRC family kinase|FLT3 signaling by CBL mutant|VEGF binds to VEGFR leading to receptor dimerizatio|NOTCH4 Intracellular Domain Regulates Transcriptio|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell|VEGFR2 mediated cell proliferatio|VEGFA-VEGFR2 Pathwa|Stimuli-sensing channel|Rap1 signallin|GP1b-IX-V activation signallin|CD209 (DC-SIGN) signalin|RAF activatio|MAP2K and MAPK activatio|Negative feedback regulation of MAPK pathwa|Negative regulation of MAPK pathwa|Signaling by moderate kinase activity BRAF mutant|Signaling by high-kinase activity BRAF mutant|Signaling by BRAF and RAF1 fusion|Paradoxical activation of RAF signaling by kinase inactive BRA|Signaling downstream of RAS mutant|Signaling by RAF1 mutant|SHOC2 M1731 mutant abolishes MRAS complex functio|Gain-of-function MRAS complexes activate RAF signalin|IFNG signaling activates MAPK|RET signalin|NPAS4 regulates expression of target gene|Formation of the nephric duc|Formation of the ureteric bu|Spry regulation of FGF signalin|Regulation of KIT signalin|Downstream signal transductio|Signaling by PDG|Signaling by SCF-KI|TFAP2 (AP-2) family regulates transcription of growth factors and their receptor|Dasatinib-resistant KIT mutant|Imatinib-resistant KIT mutant|KIT mutants bind TKI|Masitinib-resistant KIT mutant|Nilotinib-resistant KIT mutant|Regorafenib-resistant KIT mutant|Signaling by kinase domain mutants of KI|Sunitinib-resistant KIT mutant|Signaling by juxtamembrane domain KIT mutant|Sorafenib-resistant KIT mutant|Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant|Signaling by extracellular domain mutants of KI|Transcriptional and post-translational regulation of MITF-M expression and activit|Frs2-mediated activatio|ARMS-mediated activatio|Signalling to p38 via RIT and RI|Neurophilin interactions with VEGF and VEGF|Integrin cell surface interaction|Signaling by membrane-tethered fusions of PDGFRA or PDGFR",Platelet-derived growth factor receptor beta inhibitor | Serine/threonine-protein kinase B-raf inhibitor | Serine/threonine-protein kinase RAF inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor
CHEMBL1200751,MERCAPTOPURINE,O.S=c1[nH]cnc2nc[nH]c12,WFFQYWAAEWLHJC-UHFFFAOYSA-N,170.197,,,,Amidophosphoribosyltransferase inhibitor | DNA inhibitor
CHEMBL1200778,DEXRAZOXANE HYDROCHLORIDE,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1.Cl,BIFMNMPSIYHKDN-FJXQXJEOSA-N,304.734,4.0,TOP2A,Transcription of E2F targets under negative control by DREAM complex|SUMOylation of DNA replication proteins|Transcription of E2F targets under negative control by DREAM comple|SUMOylation of DNA replication protein,DNA topoisomerase II inhibitor | Iron chelating agent
CHEMBL1200976,IDARUBICIN HYDROCHLORIDE,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O.Cl,JVHPTYWUBOQMBP-RVFAQHLVSA-N,533.9610000000002,4.0,TOP2A,Transcription of E2F targets under negative control by DREAM complex|SUMOylation of DNA replication proteins|Transcription of E2F targets under negative control by DREAM comple|SUMOylation of DNA replication protein,DNA inhibitor | DNA topoisomerase II alpha inhibitor
CHEMBL1201081,METHYLPREDNISOLONE SODIUM SUCCINATE,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)[O-])[C@@]2(C)C=CC(=O)C=C12.[Na+],FQISKWAFAHGMGT-SGJOWKDISA-M,496.5320000000003,,,,Glucocorticoid receptor agonist
CHEMBL1201129,DECITABINE,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,XAUDJQYHKZQPEU-KVQBGUIXSA-N,228.20799999999997,4.0,DNMT3A|DNMT1,Defective pyroptosis|RMTs methylate histone arginines|PRC2 methylates histones and DNA|NoRC negatively regulates rRNA expression|SUMOylation of DNA methylation proteins|DNA methylation|STAT3 nuclear events downstream of ALK signaling|Nuclear events stimulated by ALK signaling in cancer|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)|PRC2 methylates histones and DN|RMTs methylate histone arginine|SUMOylation of DNA methylation protein|DNA methylatio|Defective pyroptosi|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs|NoRC negatively regulates rRNA expressio|STAT3 nuclear events downstream of ALK signalin|Nuclear events stimulated by ALK signaling in cance,DNA (cytosine-5)-methyltransferase 1 inhibitor | DNA (cytosine-5)-methyltransferase 3A inhibitor | DNA inhibitor
CHEMBL1201132,NALBUPHINE HYDROCHLORIDE,Cl.Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,YZLZPSJXMWGIFH-BCXQGASESA-N,393.9110000000003,,,,Opioid receptors; mu/kappa/delta agonist
