rank,chembl_id,drug_name,smiles,molecular_weight,clinical_phase,targets,prot_targets_n,path_ids_n,moa_links,ranking_score,hERG,AMES,PGP,PAMPA,BBB,CYP3A4,CYP2C19,CYP2D6,CYP1A2,CYP2C9,logS,logP,ic50_dilution_uM_8pt_3fold,ic50_range_rationale,provenance_sources
1,CHEMBL1567,SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,532.5690000000003,4.0,FLT3|KIT|PDGFRB|RET|KDR|FLT4|PDGFRA,7.0,65.0,Macrophage colony stimulating factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor,0.7825787407953184,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.594,2.24154,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
2,CHEMBL256997,ATALUREN,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,284.246,4.0,RPS29|RPL35A|RPL36|RPL23|RPL5|RPL11|RPS27|RPS26|RPL31|RPS7|RPS10|RPS19|RPS17|RPS28|RPS27A|RPL15|RPL26|RPS24,18.0,202.0,,0.7798183333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-4.77,3.240900000000001,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates
3,CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,299.66100000000006,4.0,POLA1|POLE|POLA2|PRIM1|POLE2|POLD4|PRIM2|POLD3|POLD1|POLE3|POLD2,11.0,22.0,DNA polymerase (alpha/delta/epsilon) inhibitor | Ribonucleoside-diphosphate reductase RR1 inhibitor,0.7528652611186771,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.04,-0.8668,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
4,CHEMBL888,GEMCITABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,263.2,4.0,POLA1|POLE|POLA2|PRIM1|POLE2|POLD4|PRIM2|POLD3|POLD1|POLE3|POLD2,11.0,22.0,,0.7378428811458035,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.72,-1.2886,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates
5,CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl,473.9900000000002,4.0,KIT|PDGFRB|KDR|FLT4|PDGFRA,5.0,38.0,Macrophage colony stimulating factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,0.7149267090912917,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,3.560840000000001,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
6,CHEMBL1946170,REGORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,482.82100000000014,4.0,KIT|PDGFRB|RET|ABL1|RAF1|BRAF|KDR|FLT4|PDGFRA,9.0,76.0,Ephrin type-A receptor 2 inhibitor | Platelet-derived growth factor receptor inhibitor | Serine/threonine-protein kinase B-raf inhibitor | Serine/threonine-protein kinase RAF inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase ABL inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor,0.69576909021615,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,-6.84,5.688800000000002,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
7,CHEMBL3039504,NINTEDANIB ESYLATE,CCS(=O)(=O)O.COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,649.7700000000002,4.0,PDGFRB|KDR|FLT4|PDGFRA,4.0,22.0,Platelet-derived growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,0.6798439937116454,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.14,3.5100000000000025,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
8,CHEMBL522892,DOVITINIB,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,392.4380000000001,3.0,FLT3|KIT|PDGFRB|KDR|FLT4|PDGFRA,6.0,61.0,Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Vascular endothelial growth factor receptor inhibitor,0.6626821581635532,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,-2.89,2.5445,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
9,CHEMBL1278146,FAMITINIB,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,410.49300000000017,3.0,FLT3|KIT|PDGFRB|KDR|FLT4|PDGFRA,6.0,61.0,Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Vascular endothelial growth factor receptor 2 inhibitor,0.6483401581635534,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.0,-3.45,3.295020000000001,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates|mechanism_drug_candidate
10,CHEMBL477772,PAZOPANIB,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,437.52900000000017,3.0,KIT|PDGFRB|KDR|FLT4|PDGFRA,5.0,38.0,,0.6461736861479919,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.64,3.1390400000000005,50|16.6667|5.55556|1.85185|0.617284|0.205761|0.0685871|0.0228624,top=50uM (standard repurposing screen),protein_drug_candidates|pathway_drug_candidates
