drug_name,chembl_id,inchikey,smiles,overall_score,mechanistic_score,n_unique_genes,n_unique_pathways,n_unique_moa,max_phase,admet_penalty,AMES_mutagenic,hERG_inhibition,logS,logP,assay_top_uM,assay_series_uM
ATALUREN,CHEMBL256997,OOUGLTULBSNHNF-UHFFFAOYSA-N,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,0.852902875,3.066181283295756,18,202,0,4.0,0.6,0.0,0.0,-4.77,3.240900000000001,10.0,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081"
REGORAFENIB,CHEMBL1946170,FNHKPVJBJVTLMP-UHFFFAOYSA-N,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,0.7101934948066753,2.5930636091651174,9,76,1,4.0,0.3,0.0,0.0,-6.84,5.688800000000002,3.0,"3,1,0.3333,0.1111,0.03704,0.01235,0.004115,0.001372,0.0004572,0.0001524"
SUNITINIB MALATE,CHEMBL1567,LBWFXVZLPYTWQI-IPOVEDGCSA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,0.696083774982649,2.4352466295598347,7,65,1,4.0,0.0,0.0,0.0,-0.594,2.24154,30.0,"30,10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524"
GEMCITABINE HYDROCHLORIDE,CHEMBL1637,SDUQYLNIPVEERB-QPPQHZFASA-N,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0.6430698181852587,2.321731025784734,11,22,1,4.0,0.3,0.0,0.0,-1.72,-1.2886,10.0,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081"
DOVITINIB,CHEMBL522892,PIQCTGMSNWUMAF-UHFFFAOYSA-N,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,0.630458761075056,2.261610145172429,6,61,1,3.0,0.44999999999999996,0.0,0.0,-2.89,2.5445,10.0,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081"
SUNITINIB,CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0.6299472749826489,2.4352466295598347,7,65,1,4.0,2.5999999999999996,1.0,1.0,-2.48,3.3349400000000013,3.0,"3,1,0.3333,0.1111,0.03704,0.01235,0.004115,0.001372,0.0004572,0.0001524"
FAMITINIB,CHEMBL1278146,GKEYKDOLBLYGRB-LGMDPLHJSA-N,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,0.6198443110750561,2.261610145172429,6,61,1,3.0,0.75,0.0,0.0,-3.45,3.295020000000001,10.0,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081"
PAZOPANIB HYDROCHLORIDE,CHEMBL1201733,CUIHSIWYWATEQL-UHFFFAOYSA-N,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,0.6019115791969507,2.1335776645649105,5,38,1,4.0,0.0,0.0,0.0,-2.64,3.1390400000000005,30.0,"30,10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524"
SOTRASTAURIN,CHEMBL565612,OAVGBZOFDPFGPJ-UHFFFAOYSA-N,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,0.598864577380589,2.1930023576319138,11,42,0,2.0,0.8999999999999999,0.0,0.0,-4.02,2.4301000000000004,10.0,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081"
GSK-690693,CHEMBL494089,KGPGFQWBCSZGEL-ZDUSSCGKSA-N,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,0.5732307445418393,2.1040968566468363,11,42,0,1.0,1.15,1.0,0.0,-1.05,1.5841999999999998,10.0,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081"
