chembl_id,admet_score,solubility_score,logP_score,pampa_score,pgp_score,herg_score,ames_score,cyp_score,has_admet
CHEMBL101253,0.36888499999999996,0.3460000000000001,0.37184999999999935,0.5,0.0,0.0,1.0,0.125,True
CHEMBL1024,0.5972,0.938,0.846,0.0,1.0,1.0,0.0,0.75,True
CHEMBL105,0.29769999999999996,0.6759999999999999,0.0,0.0,1.0,0.0,0.0,0.625,True
CHEMBL107,0.71091,0.976,0.9070999999999998,0.0,1.0,1.0,1.0,0.25,True
CHEMBL107430,0.4094174999999999,0.0,0.2191749999999988,0.0,1.0,1.0,0.5,0.625,True
CHEMBL1078178,0.8263705,0.2539999999999999,0.8807049999999996,1.0,1.0,1.0,1.0,0.875,True
CHEMBL1079742,0.3271274999999999,0.614,0.6682749999999992,0.5,0.0,0.0,0.0,0.375,True
CHEMBL1091,0.6510100000000001,0.33599999999999997,0.9631000000000001,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1096380,0.542035,0.18000000000000008,0.5603499999999997,0.0,1.0,1.0,1.0,0.5,True
CHEMBL1096885,0.606155,0.09800000000000005,0.99055,1.0,1.0,1.0,0.0,0.375,True
CHEMBL1103,0.5915475,0.5860000000000001,0.618475,0.5,1.0,1.0,0.0,0.625,True
CHEMBL1129,0.5461025,0.9560000000000001,0.17402499999999999,0.0,1.0,1.0,0.0,0.875,True
CHEMBL1130,0.5925,0.9,0.0,0.0,1.0,0.5,1.0,0.875,True
CHEMBL1131,0.6766234999999999,0.404,0.33323499999999884,0.5,1.0,1.0,1.0,0.625,True
CHEMBL11359,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL1152,0.6486100000000001,0.352,0.9071,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1159650,0.6776225,0.27599999999999997,0.5992249999999992,0.5,1.0,1.0,1.0,0.625,True
CHEMBL1161,0.47966999999999993,0.382,0.40769999999999884,0.0,0.0,1.0,1.0,0.625,True
CHEMBL1169,0.5494150000000001,0.788,0.54315,0.0,1.0,1.0,0.0,0.875,True
CHEMBL1171837,0.7327994999999999,0.596,0.5109949999999992,1.0,0.0,1.0,1.0,0.625,True
CHEMBL118218,0.41074000000000005,0.908,0.7914,0.0,1.0,0.0,0.0,0.5,True
CHEMBL1186894,0.4999950000000001,0.546,0.5329499999999999,0.0,1.0,1.0,0.0,0.875,True
CHEMBL1200342,0.5442600000000001,0.30600000000000005,0.9556,0.0,0.0,1.0,1.0,0.875,True
CHEMBL1200376,0.7508900000000001,0.16199999999999992,0.6848999999999993,1.0,1.0,1.0,1.0,0.5,True
CHEMBL1200384,0.8309625,0.382,0.6706249999999994,1.0,1.0,1.0,1.0,0.875,True
CHEMBL1200386,0.7079175,0.25199999999999995,0.7001749999999993,0.5,1.0,1.0,1.0,0.875,True
CHEMBL1200400,0.4979,0.8019999999999999,0.0,0.0,1.0,1.0,0.0,0.875,True
CHEMBL1200410,0.761765,1.0,0.7426499999999999,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1200449,0.5446525,0.37799999999999995,0.8155249999999998,0.0,0.0,1.0,1.0,0.875,True
CHEMBL1200475,0.33631000000000005,0.584,0.3201000000000004,0.0,1.0,0.0,0.0,0.875,True
CHEMBL1200495,0.6147,0.636,0.0,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1200500,0.72773,0.462,0.6032999999999991,1.0,0.0,1.0,1.0,0.75,True
CHEMBL1200538,0.5382625000000001,0.258,0.9916250000000002,0.0,0.0,1.0,1.0,0.875,True
CHEMBL1200545,0.7013675,0.13000000000000006,0.8786749999999997,0.5,1.0,1.0,1.0,0.875,True
CHEMBL1200561,0.7511450000000001,0.728,0.6804500000000002,1.0,1.0,0.0,1.0,0.875,True
CHEMBL1200562,0.5779325,0.08000000000000007,0.7443249999999995,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1200582,0.7200200000000001,1.0,0.32519999999999993,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1200584,0.5367000000000001,0.9960000000000001,0.0,0.0,1.0,1.0,0.0,0.875,True
CHEMBL1200596,0.4491200000000001,0.46399999999999997,0.8131999999999999,0.0,1.0,0.0,1.0,0.25,True
CHEMBL1200600,0.4386175,0.24600000000000008,0.8941749999999997,0.0,1.0,0.0,1.0,0.5,True
CHEMBL1200617,0.5465874999999999,0.42000000000000004,0.5008749999999988,0.5,1.0,0.0,1.0,0.625,True
CHEMBL1200635,0.5473975,0.624,0.8509749999999997,0.0,1.0,0.0,1.0,0.875,True
