chembl_id,drug_name,smiles,max_phase,evidence_types,linked_genes,linked_pathways,linked_moas,n_protein_links,n_pathway_links,n_moa_links,n_known_links,n_records
CHEMBL101253,VATALANIB,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,3.0,moa;pathway;protein,KDR;KIT;PDGFRA;PDGFRB,R-HSA-1257604;R-HSA-1433557;R-HSA-1433559;R-HSA-186763;R-HSA-186797;R-HSA-194306;R-HSA-195399;R-HSA-2028269;R-HSA-216083;R-HSA-2219530;R-HSA-4420097;R-HSA-5218921;R-HSA-5673001;R-HSA-6811558;R-HSA-8866910;R-HSA-9669914;R-HSA-9669917;R-HSA-9669921;R-HSA-9669924;R-HSA-9669926;R-HSA-9669929;R-HSA-9669933;R-HSA-9669934;R-HSA-9669935;R-HSA-9669936;R-HSA-9670439;R-HSA-9673767;R-HSA-9673768;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428;R-HSA-9680187;R-HSA-9856530;R-HSA-9856649,Macrophage colony stimulating factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,2,92,1,0,95
CHEMBL1024,IFOSFAMIDE,O=P1(NCCCl)OCCCN1CCCl,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL105,MITOMYCIN,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL107,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,,moa,,,Tubulin inhibitor,0,0,1,0,1
CHEMBL107430,NRX195183,CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,2.0,pathway;protein,RARA,R-HSA-383280;R-HSA-4090294;R-HSA-5362517;R-HSA-5617472;R-HSA-9616222;R-HSA-9839394,,1,12,0,0,13
CHEMBL1078178,MOMELOTINIB,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,3.0,pathway;protein,JAK2,R-HSA-1059683;R-HSA-110056;R-HSA-112411;R-HSA-1170546;R-HSA-1433557;R-HSA-2586552;R-HSA-3214858;R-HSA-512988;R-HSA-5673000;R-HSA-5673001;R-HSA-6785807;R-HSA-6788467;R-HSA-6802946;R-HSA-6802952;R-HSA-6802955;R-HSA-69231;R-HSA-877300;R-HSA-877312;R-HSA-8854691;R-HSA-8984722;R-HSA-9006335;R-HSA-9020591;R-HSA-9020933;R-HSA-9020956;R-HSA-9027276;R-HSA-9027277;R-HSA-9027283;R-HSA-9027284;R-HSA-912526;R-HSA-9649948;R-HSA-9656223;R-HSA-9670439;R-HSA-9674555;R-HSA-9679191;R-HSA-9705462;R-HSA-9732724;R-HSA-982772;R-HSA-983231,,1,76,0,0,77
CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,,moa,,,Epidermal growth factor receptor erbB1 inhibitor,0,0,1,0,1
CHEMBL1091,HYDROCORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1096380,PLINABULIN,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,,moa,,,Tubulin inhibitor,0,0,1,0,1
CHEMBL1096885,VALRUBICIN,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,4.0,moa;pathway,TOP2A,R-HSA-1362277;R-HSA-4615885,DNA inhibitor | DNA topoisomerase II alpha inhibitor,0,4,1,0,5
CHEMBL1103,FURAZOLIDONE,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL1129,TRIFLURIDINE,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL1130,DOXIFLURIDINE,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,,moa,,,DNA disrupting agent,0,0,1,0,1
CHEMBL1131,ACITRETIN,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,4.0,pathway;protein,RARA;RARB;RARG,R-HSA-383280;R-HSA-4090294;R-HSA-5362517;R-HSA-5617472;R-HSA-9616222;R-HSA-9839394,,2,24,0,0,26
CHEMBL11359,CISPLATIN,,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL1152,PREDNISOLONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1159650,CLOBETASOL PROPIONATE,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1161,MOMETASONE FUROATE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1169,AMINOSALICYLIC ACID,Nc1ccc(C(=O)O)c(O)c1,,moa,,,Dihydrofolate reductase inhibitor,0,0,1,0,1
CHEMBL1171837,PONATINIB,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,3.0,pathway,ABL1,R-HSA-2029482;R-HSA-428890;R-HSA-525793;R-HSA-5663213;R-HSA-5685938;R-HSA-5693565;R-HSA-69231;R-HSA-8939236;R-HSA-8940973;R-HSA-9664422;R-HSA-983231;R-HSA-9841922;R-HSA-9860927,,0,26,0,0,26
CHEMBL118218,IROFULVEN,CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL1186894,AMRUBICIN,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O,3.0,moa;pathway,TOP2A,R-HSA-1362277;R-HSA-4615885,DNA topoisomerase II alpha inhibitor,0,4,1,0,5
CHEMBL1200342,PARAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
CHEMBL1200376,BETAMETHASONE BENZOATE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO,,moa,,,Glucocorticoid receptor agonist,0,0,1,0,1
