chembl_id,drug_name,smiles,max_phase,evidence_types,linked_genes,linked_pathways,linked_moas,n_protein_links,n_pathway_links,n_moa_links,n_known_links,n_records
CHEMBL1086218,VALSPODAR,,,known_aml_drug,,,"bp(MOA:""P-glycoprotein 1 inhibitor"")",0,0,0,1,1
CHEMBL11359,CISPLATIN,,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL1200983,GALLIUM NITRATE,,,moa,,,Ribonucleoside-diphosphate reductase RR1 inhibitor,0,0,1,0,1
CHEMBL1201265,METHYLPREDNISOLONE HEMISUCCINATE,,,known_aml_drug,,,,0,0,0,1,1
CHEMBL1201438,ALDESLEUKIN,,,known_aml_drug,,,"bp(MOA:""Interleukin-2 receptor agonist"")",0,0,0,1,1
CHEMBL1201463,CODEINE POLISTIREX,,,moa,,,Opioid receptors; mu/kappa/delta agonist,0,0,1,0,1
CHEMBL1201470,HYDROCODONE POLISTIREX,,,moa,,,Opioid receptors; mu/kappa/delta agonist,0,0,1,0,1
CHEMBL1201481,PORFIMER SODIUM,,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL1201506,GEMTUZUMAB OZOGAMICIN,,4.0,known_aml_drug;pathway;protein,CD33,R-HSA-198933;R-HSA-6798695,"bp(MOA:""Myeloid cell surface antigen CD33 binding agent""); bp(MOA:""DNA disrupting agent"")",1,4,0,1,6
CHEMBL1201556,BECAPLERMIN,,4.0,pathway;protein,PDGFRA;PDGFRB,R-HSA-1257604;R-HSA-186763;R-HSA-186797;R-HSA-2028269;R-HSA-2219530;R-HSA-5673001;R-HSA-6811558;R-HSA-9673767;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428,,1,38,0,0,39
CHEMBL1201565,EPOETIN ALFA,,,known_aml_drug,,,"bp(MOA:""Erythropoietin receptor agonist"")",0,0,0,1,1
CHEMBL1201567,FILGRASTIM,,,known_aml_drug,,,"bp(MOA:""Granulocyte colony stimulating factor receptor agonist"")",0,0,0,1,1
CHEMBL1201587,ALEMTUZUMAB,,,known_aml_drug,,,"bp(MOA:""CAMPATH-1 antigen inhibitor"")",0,0,0,1,1
CHEMBL1201670,SARGRAMOSTIM,,,known_aml_drug,,,"bp(MOA:""Granulocyte-macrophage colony-stimulating factor receptor agonist"")",0,0,0,1,1
CHEMBL1201832,ROMIPLOSTIM,,4.0,pathway;protein,MPL,R-HSA-76009,,1,1,0,0,2
CHEMBL1351,CARBOPLATIN,,,moa,,,DNA inhibitor,0,0,1,0,1
CHEMBL160,CYCLOSPORINE,,,known_aml_drug,,,"bp(MOA:""Cyclophilin A modulator"")",0,0,0,1,1
CHEMBL1743049,OLARATUMAB,,4.0,pathway;protein,PDGFRA,R-HSA-1257604;R-HSA-186763;R-HSA-186797;R-HSA-2028269;R-HSA-2219530;R-HSA-5673001;R-HSA-6811558;R-HSA-9673767;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428,,1,26,0,0,27
CHEMBL1743062,RAMUCIRUMAB,,4.0,pathway;protein,KDR,R-HSA-194306;R-HSA-195399;R-HSA-216083;R-HSA-4420097;R-HSA-5218921;R-HSA-9673768;R-HSA-9856530,,1,14,0,0,15
CHEMBL2107856,IMETELSTAT,,3.0,pathway;protein,TERT,R-HSA-171319;R-HSA-201722;R-HSA-9825895,,1,3,0,0,4
CHEMBL2107872,DELCASERTIB,,2.0,pathway;protein,PRKCD,R-HSA-111465;R-HSA-111933;R-HSA-114508;R-HSA-1250196;R-HSA-1489509;R-HSA-2029485;R-HSA-418597;R-HSA-450520;R-HSA-5218921;R-HSA-5607764;R-HSA-5668599;R-HSA-6798695;R-HSA-877300;R-HSA-9755511,,1,28,0,0,29
CHEMBL2108280,CENERSEN,,2.0,pathway;protein,TP53,R-HSA-111448;R-HSA-139915;R-HSA-1912408;R-HSA-2559580;R-HSA-2559584;R-HSA-2559585;R-HSA-2559586;R-HSA-3232118;R-HSA-349425;R-HSA-390471;R-HSA-5620971;R-HSA-5628897;R-HSA-5689880;R-HSA-5689896;R-HSA-5693565;R-HSA-6785807;R-HSA-6796648;R-HSA-6803204;R-HSA-6803205;R-HSA-6803207;R-HSA-6803211;R-HSA-6804114;R-HSA-6804115;R-HSA-6804116;R-HSA-6804754;R-HSA-6804756;R-HSA-6804757;R-HSA-6804758;R-HSA-6804759;R-HSA-6804760;R-HSA-6807070;R-HSA-6811555;R-HSA-69473;R-HSA-69481;R-HSA-69541;R-HSA-69895;R-HSA-8852276;R-HSA-8853884;R-HSA-8941855;R-HSA-8943724;R-HSA-9723905;R-HSA-9725370;R-HSA-9758274;R-HSA-9819196;R-HSA-983231;R-HSA-9833482,,1,90,0,0,91
