chembl_id,drug_name,smiles,max_phase,evidence_types,linked_genes,linked_pathways,linked_moas,n_protein_links,n_pathway_links,n_moa_links,n_known_links,n_records,admet_score,has_admet,solubility_score,logP_score,pampa_score,pgp_score,herg_score,ames_score,cyp_score,mechanistic_raw,mechanistic_score,admet_score_filled,overall_score
CHEMBL495727,AT-9283,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,2.0,pathway;protein,ABL1;FLT3;JAK2,R-HSA-1059683;R-HSA-109704;R-HSA-110056;R-HSA-112411;R-HSA-1170546;R-HSA-1257604;R-HSA-1433557;R-HSA-2029482;R-HSA-2219530;R-HSA-2586552;R-HSA-3214858;R-HSA-428890;R-HSA-512988;R-HSA-525793;R-HSA-5663213;R-HSA-5673000;R-HSA-5673001;R-HSA-5685938;R-HSA-5693565;R-HSA-6785807;R-HSA-6788467;R-HSA-6802946;R-HSA-6802952;R-HSA-6802955;R-HSA-6811558;R-HSA-69231;R-HSA-877300;R-HSA-877312;R-HSA-8854691;R-HSA-8939236;R-HSA-8940973;R-HSA-8984722;R-HSA-9006335;R-HSA-9020591;R-HSA-9020933;R-HSA-9020956;R-HSA-9027276;R-HSA-9027277;R-HSA-9027283;R-HSA-9027284;R-HSA-912526;R-HSA-9607240;R-HSA-9645135;R-HSA-9649948;R-HSA-9656223;R-HSA-9664422;R-HSA-9670439;R-HSA-9674555;R-HSA-9679191;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9705462;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377;R-HSA-9732724;R-HSA-982772;R-HSA-983231;R-HSA-9841922;R-HSA-9860927,,1,156,0,0,157,0.7642275000000001,True,1.0,0.8922749999999999,0.0,1.0,1.0,1.0,0.75,79.0,0.9999999999870968,0.7642275000000001,0.9292682499909676
CHEMBL1278146,FAMITINIB,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,3.0,moa;pathway;protein,FLT3;KDR;KIT;PDGFRA;PDGFRB,R-HSA-109704;R-HSA-1257604;R-HSA-1433557;R-HSA-1433559;R-HSA-186763;R-HSA-186797;R-HSA-194306;R-HSA-195399;R-HSA-2028269;R-HSA-216083;R-HSA-2219530;R-HSA-4420097;R-HSA-5218921;R-HSA-5673001;R-HSA-6811558;R-HSA-8866910;R-HSA-9607240;R-HSA-9645135;R-HSA-9669914;R-HSA-9669917;R-HSA-9669921;R-HSA-9669924;R-HSA-9669926;R-HSA-9669929;R-HSA-9669933;R-HSA-9669934;R-HSA-9669935;R-HSA-9669936;R-HSA-9670439;R-HSA-9673767;R-HSA-9673768;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428;R-HSA-9680187;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377;R-HSA-9856530;R-HSA-9856649,Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Vascular endothelial growth factor receptor 2 inhibitor,2,146,1,0,149,0.7946245,True,0.51,0.8012449999999998,1.0,0.5,1.0,1.0,0.625,77.0,0.9741935483745264,0.7946245,0.9203228338621684
CHEMBL522892,DOVITINIB,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,3.0,moa;pathway;protein,FLT3;KDR;KIT;PDGFRA;PDGFRB,R-HSA-109704;R-HSA-1257604;R-HSA-1433557;R-HSA-1433559;R-HSA-186763;R-HSA-186797;R-HSA-194306;R-HSA-195399;R-HSA-2028269;R-HSA-216083;R-HSA-2219530;R-HSA-4420097;R-HSA-5218921;R-HSA-5673001;R-HSA-6811558;R-HSA-8866910;R-HSA-9607240;R-HSA-9645135;R-HSA-9669914;R-HSA-9669917;R-HSA-9669921;R-HSA-9669924;R-HSA-9669926;R-HSA-9669929;R-HSA-9669933;R-HSA-9669934;R-HSA-9669935;R-HSA-9669936;R-HSA-9670439;R-HSA-9673767;R-HSA-9673768;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428;R-HSA-9680187;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377;R-HSA-9856530;R-HSA-9856649,Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Vascular endothelial growth factor receptor inhibitor,2,146,1,0,149,0.7857875000000001,True,0.622,0.988875,0.5,1.0,1.0,1.0,0.625,77.0,0.9741935483745264,0.7857875000000001,0.9176717338621684
CHEMBL1567,SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,4.0,moa;pathway;protein,FLT3;KDR;KIT;PDGFRA;PDGFRB,R-HSA-109704;R-HSA-1257604;R-HSA-1433557;R-HSA-1433559;R-HSA-186763;R-HSA-186797;R-HSA-194306;R-HSA-195399;R-HSA-2028269;R-HSA-216083;R-HSA-2219530;R-HSA-4420097;R-HSA-5218921;R-HSA-5673001;R-HSA-6811558;R-HSA-8866910;R-HSA-9607240;R-HSA-9645135;R-HSA-9669914;R-HSA-9669917;R-HSA-9669921;R-HSA-9669924;R-HSA-9669926;R-HSA-9669929;R-HSA-9669933;R-HSA-9669934;R-HSA-9669935;R-HSA-9669936;R-HSA-9670439;R-HSA-9673767;R-HSA-9673768;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428;R-HSA-9680187;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377;R-HSA-9856530;R-HSA-9856649,Macrophage colony stimulating factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor,2,146,1,0,149,0.7810385000000001,True,1.0,0.935385,0.0,1.0,1.0,1.0,0.875,77.0,0.9741935483745264,0.7810385000000001,0.9162470338621684
CHEMBL565612,SOTRASTAURIN,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,2.0,pathway;protein,PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,R-HSA-111465;R-HSA-111933;R-HSA-114508;R-HSA-114516;R-HSA-114604;R-HSA-1169091;R-HSA-1250196;R-HSA-1433557;R-HSA-1433559;R-HSA-1489509;R-HSA-1660661;R-HSA-1912408;R-HSA-202424;R-HSA-2029485;R-HSA-209543;R-HSA-2173791;R-HSA-2179392;R-HSA-2514859;R-HSA-2871837;R-HSA-3000170;R-HSA-373752;R-HSA-399997;R-HSA-4086398;R-HSA-416993;R-HSA-418597;R-HSA-420029;R-HSA-4419969;R-HSA-450520;R-HSA-5099900;R-HSA-5218921;R-HSA-5607764;R-HSA-5668599;R-HSA-6798695;R-HSA-76005;R-HSA-877300;R-HSA-8853659;R-HSA-8936459;R-HSA-8939246;R-HSA-9010642;R-HSA-9634635;R-HSA-9648002;R-HSA-9755511,,11,128,0,0,139,0.7524525000000002,True,0.3960000000000001,0.982525,1.0,0.0,1.0,1.0,0.75,75.0,0.9483870967619562,0.7524525000000002,0.8896067177333693
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,4.0,moa;pathway;protein,POLA2;POLD1;POLD2;POLD3;POLD4;POLE;POLE2;POLE3;PRIM1;PRIM2,R-HSA-110314;R-HSA-113501;R-HSA-174411;R-HSA-174414;R-HSA-174417;R-HSA-174430;R-HSA-2564830;R-HSA-5358565;R-HSA-5358606;R-HSA-5651801;R-HSA-5656169;R-HSA-5685942;R-HSA-5696397;R-HSA-5696400;R-HSA-6782135;R-HSA-6782210;R-HSA-68962;R-HSA-69091;R-HSA-69166;R-HSA-69183;R-HSA-9710421,DNA polymerase (alpha/delta/epsilon) inhibitor | Ribonucleoside-diphosphate reductase RR1 inhibitor,10,126,1,0,137,0.67673,True,0.992,0.1583,0.0,1.0,1.0,1.0,0.625,75.0,0.9483870967619562,0.67673,0.8668899677333692
CHEMBL359164,TROXACITABINE,Nc1ccn([C@@H]2CO[C@H](CO)O2)c(=O)n1,2.0,pathway;protein,POLA2;POLD1;POLD2;POLD3;POLD4;POLE;POLE2;POLE3;PRIM1;PRIM2,R-HSA-110314;R-HSA-113501;R-HSA-174411;R-HSA-174414;R-HSA-174417;R-HSA-174430;R-HSA-2564830;R-HSA-5358565;R-HSA-5358606;R-HSA-5651801;R-HSA-5656169;R-HSA-5685942;R-HSA-5696397;R-HSA-5696400;R-HSA-6782135;R-HSA-6782210;R-HSA-68962;R-HSA-69091;R-HSA-69166;R-HSA-69183;R-HSA-9710421,,10,126,0,0,136,0.6922325,True,1.0,0.0473249999999999,0.0,1.0,1.0,1.0,0.875,73.0,0.922580645149386,0.6922325,0.8534762016045702
CHEMBL1721885,SU-014813,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,2.0,pathway;protein,FLT3;KDR;KIT;PDGFRA;PDGFRB,R-HSA-109704;R-HSA-1257604;R-HSA-1433557;R-HSA-1433559;R-HSA-186763;R-HSA-186797;R-HSA-194306;R-HSA-195399;R-HSA-2028269;R-HSA-216083;R-HSA-2219530;R-HSA-4420097;R-HSA-5218921;R-HSA-5673001;R-HSA-6811558;R-HSA-8866910;R-HSA-9607240;R-HSA-9645135;R-HSA-9669914;R-HSA-9669917;R-HSA-9669921;R-HSA-9669924;R-HSA-9669926;R-HSA-9669929;R-HSA-9669933;R-HSA-9669934;R-HSA-9669935;R-HSA-9669936;R-HSA-9670439;R-HSA-9673767;R-HSA-9673768;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428;R-HSA-9680187;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377;R-HSA-9856530;R-HSA-9856649,,2,146,0,0,148,0.629556,True,0.812,0.7965599999999999,0.5,1.0,1.0,0.0,0.375,75.0,0.9483870967619562,0.629556,0.8527377677333693
CHEMBL1287853,FEDRATINIB,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,4.0,moa;pathway;protein,FLT3;JAK2,R-HSA-1059683;R-HSA-109704;R-HSA-110056;R-HSA-112411;R-HSA-1170546;R-HSA-1257604;R-HSA-1433557;R-HSA-2219530;R-HSA-2586552;R-HSA-3214858;R-HSA-512988;R-HSA-5673000;R-HSA-5673001;R-HSA-6785807;R-HSA-6788467;R-HSA-6802946;R-HSA-6802952;R-HSA-6802955;R-HSA-6811558;R-HSA-69231;R-HSA-877300;R-HSA-877312;R-HSA-8854691;R-HSA-8984722;R-HSA-9006335;R-HSA-9020591;R-HSA-9020933;R-HSA-9020956;R-HSA-9027276;R-HSA-9027277;R-HSA-9027283;R-HSA-9027284;R-HSA-912526;R-HSA-9607240;R-HSA-9645135;R-HSA-9649948;R-HSA-9656223;R-HSA-9670439;R-HSA-9674555;R-HSA-9679191;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9705462;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377;R-HSA-9732724;R-HSA-982772;R-HSA-983231,Tyrosine-protein kinase receptor FLT3 inhibitor,1,130,1,0,132,0.8109095,True,0.47,0.4190949999999991,1.0,1.0,1.0,1.0,0.75,68.0,0.8580645161179604,0.8109095,0.8439180112825723
CHEMBL4297599,ASPACYTARABINE,N[C@@H](CC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1)C(=O)O,2.0,pathway;protein,POLA2;POLD1;POLD2;POLD3;POLD4;POLE;POLE2;POLE3;PRIM1;PRIM2,R-HSA-110314;R-HSA-113501;R-HSA-174411;R-HSA-174414;R-HSA-174417;R-HSA-174430;R-HSA-2564830;R-HSA-5358565;R-HSA-5358606;R-HSA-5651801;R-HSA-5656169;R-HSA-5685942;R-HSA-5696397;R-HSA-5696400;R-HSA-6782135;R-HSA-6782210;R-HSA-68962;R-HSA-69091;R-HSA-69166;R-HSA-69183;R-HSA-9710421,,10,126,0,0,136,0.6567000000000001,True,0.8460000000000001,0.0,0.0,1.0,1.0,1.0,0.875,73.0,0.922580645149386,0.6567000000000001,0.8428164516045702
