gene_symbol,druggability,uniprot_url,opentargets_url,disease_association_score
FLT3,Yes,https://www.uniprot.org/uniprotkb/P36888,https://platform.opentargets.org/target/ENSG00000122025,
KIT,Yes,https://www.uniprot.org/uniprotkb/P10721,https://platform.opentargets.org/target/ENSG00000157404,
PDGFRB,Yes,https://www.uniprot.org/uniprotkb/P09619,https://platform.opentargets.org/target/ENSG00000113721,
RET,Yes,https://www.uniprot.org/uniprotkb/P07949,https://platform.opentargets.org/target/ENSG00000165731,
RARG,Yes,https://www.uniprot.org/uniprotkb/P13631,https://platform.opentargets.org/target/ENSG00000172819,
ABL1,Yes,https://www.uniprot.org/uniprotkb/P00519,https://platform.opentargets.org/target/ENSG00000097007,
AXL,Yes,https://www.uniprot.org/uniprotkb/P30530,https://platform.opentargets.org/target/ENSG00000167601,
POLA1,Yes,https://www.uniprot.org/uniprotkb/P09884,https://platform.opentargets.org/target/ENSG00000101868,
RAF1,Yes,https://www.uniprot.org/uniprotkb/P04049,https://platform.opentargets.org/target/ENSG00000132155,
BRAF,Yes,https://www.uniprot.org/uniprotkb/P15056,https://platform.opentargets.org/target/ENSG00000157764,
TOP2A,Yes,https://www.uniprot.org/uniprotkb/P11388,https://platform.opentargets.org/target/ENSG00000131747,
SMO,Yes,https://www.uniprot.org/uniprotkb/Q99835,https://platform.opentargets.org/target/ENSG00000128602,
TP53,Yes,https://www.uniprot.org/uniprotkb/P04637,https://platform.opentargets.org/target/ENSG00000141510,
PRKD3,Yes,https://www.uniprot.org/uniprotkb/O94806,https://platform.opentargets.org/target/ENSG00000115825,
KDR,Yes,https://www.uniprot.org/uniprotkb/P35968,https://platform.opentargets.org/target/ENSG00000128052,
BCL2,Yes,https://www.uniprot.org/uniprotkb/P10415,https://platform.opentargets.org/target/ENSG00000171791,
DNMT3A,Yes,https://www.uniprot.org/uniprotkb/Q9Y6K1,https://platform.opentargets.org/target/ENSG00000119772,
DNMT1,Yes,https://www.uniprot.org/uniprotkb/P26358,https://platform.opentargets.org/target/ENSG00000130816,
FLT4,Yes,https://www.uniprot.org/uniprotkb/P35916,https://platform.opentargets.org/target/ENSG00000037280,
PDGFRA,Yes,https://www.uniprot.org/uniprotkb/P16234,https://platform.opentargets.org/target/ENSG00000134853,
RARA,Yes,https://www.uniprot.org/uniprotkb/P10276,https://platform.opentargets.org/target/ENSG00000131759,
RARB,Yes,https://www.uniprot.org/uniprotkb/P10826,https://platform.opentargets.org/target/ENSG00000077092,
JAK2,Yes,https://www.uniprot.org/uniprotkb/O60674,https://platform.opentargets.org/target/ENSG00000096968,
PRKCD,Yes,https://www.uniprot.org/uniprotkb/Q05655,https://platform.opentargets.org/target/ENSG00000163932,
PRKCE,Yes,https://www.uniprot.org/uniprotkb/Q02156,https://platform.opentargets.org/target/ENSG00000171132,
PRKCH,Yes,https://www.uniprot.org/uniprotkb/P24723,https://platform.opentargets.org/target/ENSG00000027075,
PRKCQ,Yes,https://www.uniprot.org/uniprotkb/Q04759,https://platform.opentargets.org/target/ENSG00000065675,
PRKCA,Yes,https://www.uniprot.org/uniprotkb/P17252,https://platform.opentargets.org/target/ENSG00000154229,
PRKCB,Yes,https://www.uniprot.org/uniprotkb/P05771,https://platform.opentargets.org/target/ENSG00000166501,
TERT,Yes,https://www.uniprot.org/uniprotkb/O14746,https://platform.opentargets.org/target/ENSG00000164362,
POLE,Yes,https://www.uniprot.org/uniprotkb/Q07864,https://platform.opentargets.org/target/ENSG00000177084,
PRKCZ,Yes,https://www.uniprot.org/uniprotkb/Q05513,https://platform.opentargets.org/target/ENSG00000067606,
PRKD1,Yes,https://www.uniprot.org/uniprotkb/Q15139,https://platform.opentargets.org/target/ENSG00000184304,
ELANE,Yes,https://www.uniprot.org/uniprotkb/P08246,https://platform.opentargets.org/target/ENSG00000197561,
RPS27,Yes,https://www.uniprot.org/uniprotkb/P42677,https://platform.opentargets.org/target/ENSG00000177954,
PRKCI,Yes,https://www.uniprot.org/uniprotkb/P41743,https://platform.opentargets.org/target/ENSG00000163558,
MPL,Yes,https://www.uniprot.org/uniprotkb/P40238,https://platform.opentargets.org/target/ENSG00000117400,
NPM1,Yes,https://www.uniprot.org/uniprotkb/P06748,https://platform.opentargets.org/target/ENSG00000181163,
KMT2A,Yes,https://www.uniprot.org/uniprotkb/Q03164,https://platform.opentargets.org/target/ENSG00000118058,
TGM6,Yes,https://www.uniprot.org/uniprotkb/O95932,https://platform.opentargets.org/target/ENSG00000166948,
STAT5B,Yes,https://www.uniprot.org/uniprotkb/P51692,https://platform.opentargets.org/target/ENSG00000173757,
POLD1,Yes,https://www.uniprot.org/uniprotkb/P28340,https://platform.opentargets.org/target/ENSG00000062822,
PTPN11,Yes,https://www.uniprot.org/uniprotkb/Q06124,https://platform.opentargets.org/target/ENSG00000179295,
BCR,Yes,https://www.uniprot.org/uniprotkb/P11274,https://platform.opentargets.org/target/ENSG00000186716,
PRKCG,Yes,https://www.uniprot.org/uniprotkb/P05129,https://platform.opentargets.org/target/ENSG00000126583,
