chembl_id,drug_name_final,kg_evidence_raw,n_protein_targets,n_pathways,n_moa,max_phase_final,excluded_for_AML_repurposing
CHEMBL4297789,MT-3724,220,18,202,0,2.0,False
CHEMBL256997,ATALUREN,220,18,202,0,4.0,False
CHEMBL4297744,ELX-02,220,18,202,0,2.0,False
CHEMBL608533,MIDOSTAURIN,116,16,99,1,4.0,True
CHEMBL1200485,SORAFENIB TOSYLATE,89,8,80,1,4.0,True
CHEMBL1336,SORAFENIB,88,8,80,0,3.0,True
CHEMBL1946170,REGORAFENIB,86,9,76,1,4.0,False
CHEMBL495727,AT-9283,78,3,75,0,2.0,False
CHEMBL1567,SUNITINIB MALATE,73,7,65,1,4.0,False
CHEMBL535,SUNITINIB,73,7,65,1,4.0,False
