name,url,associated_proteins,associated_drugs
Signaling by ERBB2,,p(HGNC:EGFR),
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,,p(HGNC:EGFR),
Signaling by ERBB4,,p(HGNC:EGFR),
SHC1 events in ERBB2 signaling,,p(HGNC:EGFR); p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCA),
PLCG1 events in ERBB2 signaling,,p(HGNC:EGFR),
PIP3 activates AKT signaling,,p(HGNC:PDGFRB); p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:EGFR); p(HGNC:LCK); p(HGNC:NTRK3); p(HGNC:PDGFRA); p(HGNC:MET),
Signaling by EGFR,,p(HGNC:EGFR),
GRB2 events in EGFR signaling,,p(HGNC:EGFR),
GAB1 signalosome,,p(HGNC:EGFR),
SHC1 events in EGFR signaling,,p(HGNC:EGFR),
EGFR downregulation,,p(HGNC:EGFR),
GRB2 events in ERBB2 signaling,,p(HGNC:EGFR),
PI3K events in ERBB2 signaling,,p(HGNC:EGFR),
EGFR interacts with phospholipase C-gamma,,p(HGNC:EGFR),
EGFR Transactivation by Gastrin,,p(HGNC:EGFR); p(HGNC:PRKCA),
Constitutive Signaling by Aberrant PI3K in Cancer,,p(HGNC:PDGFRB); p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:EGFR); p(HGNC:LCK); p(HGNC:NTRK3); p(HGNC:PDGFRA); p(HGNC:MET),
Signal transduction by L1,,p(HGNC:EGFR),
Constitutive Signaling by EGFRvIII,,p(HGNC:EGFR),
Inhibition of Signaling by Overexpressed EGFR,,p(HGNC:EGFR),
RAF/MAP kinase cascade,,p(HGNC:PDGFRB); p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:IL2RA); p(HGNC:RET); p(HGNC:CSF2RA); p(HGNC:EGFR); p(HGNC:PDGFRA); p(HGNC:JAK2); p(HGNC:JAK3); p(HGNC:MET); p(HGNC:JAK1); p(HGNC:IL3RA),
ERBB2 Regulates Cell Motility,,p(HGNC:EGFR),
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",,p(HGNC:PDGFRB); p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:EGFR); p(HGNC:LCK); p(HGNC:NTRK3); p(HGNC:PDGFRA); p(HGNC:MET),
ERBB2 Activates PTK6 Signaling,,p(HGNC:EGFR); p(HGNC:PTK6),
Cargo recognition for clathrin-mediated endocytosis,,p(HGNC:EGFR),
Clathrin-mediated endocytosis,,p(HGNC:EGFR),
PTK6 promotes HIF1A stabilization,,p(HGNC:EGFR); p(HGNC:PTK6),
Downregulation of ERBB2 signaling,,p(HGNC:EGFR),
TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,,p(HGNC:KIT); p(HGNC:EGFR),
Extra-nuclear estrogen signaling,,p(HGNC:EGFR),
NOTCH3 Activation and Transmission of Signal to the Nucleus,,p(HGNC:EGFR),
HCMV Early Events,,p(HGNC:TUBB4B); p(HGNC:EGFR),
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,,p(HGNC:XPO1); p(HGNC:BCL2); p(HGNC:EGFR),
Signaling by ERBB2 KD Mutants,,p(HGNC:EGFR),
Signaling by ERBB2 ECD mutants,,p(HGNC:EGFR),
Signaling by ERBB2 TMD/JMD mutants,,p(HGNC:EGFR),
Respiratory syncytial virus (RSV) attachment and entry,,p(HGNC:EGFR),
"Interleukin-3, Interleukin-5 and GM-CSF signaling",,p(HGNC:CSF2RA); p(HGNC:JAK2); p(HGNC:IL3RA),
Surfactant metabolism,,p(HGNC:CSF2RA),
Defective CSF2RB causes SMDP5,,p(HGNC:CSF2RA),
Defective CSF2RA causes SMDP4,,p(HGNC:CSF2RA),
Interleukin receptor SHC signaling,,p(HGNC:IL2RA); p(HGNC:CSF2RA); p(HGNC:JAK2); p(HGNC:JAK3); p(HGNC:JAK1); p(HGNC:IL3RA),
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),,p(HGNC:IL2RA),
