phase,status,disease_id,disease_name,chembl_id,drug_name,gene_symbol,smiles
4.0,,EFO_0000403,diffuse large B-cell lymphoma,CHEMBL3545185,SELINEXOR,XPO1,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1
4.0,,EFO_0000183,Hodgkins lymphoma,CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,TOP2A,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl
4.0,,EFO_0000222,acute myeloid leukemia,CHEMBL1200976,IDARUBICIN HYDROCHLORIDE,TOP2A,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O.Cl
4.0,,EFO_0000222,acute myeloid leukemia,CHEMBL178,DAUNORUBICIN,TOP2A,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
4.0,,EFO_0000313,carcinoma,CHEMBL1096885,VALRUBICIN,TOP2A,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O
4.0,,EFO_0000318,cardiomyopathy,CHEMBL1200778,DEXRAZOXANE HYDROCHLORIDE,TOP2A,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1.Cl
4.0,,EFO_0000616,neoplasm,CHEMBL1117,IDARUBICIN,TOP2A,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
4.0,,EFO_0000616,neoplasm,CHEMBL44657,ETOPOSIDE,TOP2A,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
4.0,,EFO_0000616,neoplasm,CHEMBL58,MITOXANTRONE,TOP2A,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
4.0,,EFO_0000616,neoplasm,CHEMBL43,AMSACRINE,TOP2A,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
4.0,,EFO_0000616,neoplasm,CHEMBL452231,TENIPOSIDE,TOP2A,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
4.0,,EFO_0000616,neoplasm,CHEMBL53463,DOXORUBICIN,TOP2A,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
4.0,,EFO_0004289,lymphoid leukemia,CHEMBL1563,DAUNORUBICIN HYDROCHLORIDE,TOP2A,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl
4.0,,MONDO_0008315,prostate cancer,CHEMBL1417019,MITOXANTRONE HYDROCHLORIDE,TOP2A,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
3.0,Recruiting,EFO_0000209,T-cell acute lymphoblastic leukemia,CHEMBL1738,DEXRAZOXANE,TOP2A,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
3.0,Unknown status,EFO_0000220,acute lymphoblastic leukemia,CHEMBL1200645,ETOPOSIDE PHOSPHATE,TOP2A,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OP(=O)(O)O
3.0,Completed,EFO_0000222,acute myeloid leukemia,CHEMBL68117,VOSAROXIN,TOP2A,CN[C@H]1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C[C@@H]1OC
3.0,,EFO_0000616,neoplasm,CHEMBL1186894,AMRUBICIN,TOP2A,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O
3.0,Terminated,EFO_0000702,small cell lung carcinoma,CHEMBL481958,AMRUBICIN HYDROCHLORIDE,TOP2A,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O.Cl
