active_id,representative_chembl_id,names,canonical_smiles
CHEMBL11359,CHEMBL11359,CISPLATIN,
CHEMBL1200983,CHEMBL1200983,GALLIUM NITRATE,
CHEMBL1201463,CHEMBL1201463,CODEINE POLISTIREX,
CHEMBL1201470,CHEMBL1201470,HYDROCODONE POLISTIREX,
CHEMBL1201481,CHEMBL1201481,PORFIMER SODIUM,
CHEMBL1201550,CHEMBL1201550,DENILEUKIN DIFTITOX,
CHEMBL1201556,CHEMBL1201556,BECAPLERMIN,
CHEMBL1201566,CHEMBL1201566,DARBEPOETIN ALFA,
CHEMBL1201568,CHEMBL1201568,PEGFILGRASTIM,
CHEMBL1201577,CHEMBL1201577,CETUXIMAB,
CHEMBL1201827,CHEMBL1201827,PANITUMUMAB,
CHEMBL1201832,CHEMBL1201832,ROMIPLOSTIM,
CHEMBL1351,CHEMBL1351,CARBOPLATIN,
CHEMBL1742994,CHEMBL1742994,BRENTUXIMAB VEDOTIN,
CHEMBL1743039,CHEMBL1743039,MAVRILIMUMAB,
CHEMBL1743043,CHEMBL1743043,MOXETUMOMAB PASUDOTOX,
CHEMBL1743047,CHEMBL1743047,NECITUMUMAB,
CHEMBL1743049,CHEMBL1743049,OLARATUMAB,
CHEMBL1743052,CHEMBL1743052,OPORTUZUMAB MONATOX,
CHEMBL1743062,CHEMBL1743062,RAMUCIRUMAB,
CHEMBL1743082,CHEMBL1743082,TRASTUZUMAB EMTANSINE,
CHEMBL1963684,CHEMBL1963684,PEGINESATIDE ACETATE,
CHEMBL2107856,CHEMBL2107856,IMETELSTAT,
CHEMBL2107866,CHEMBL2107866,PEGINESATIDE,
CHEMBL2107872,CHEMBL2107872,DELCASERTIB,
CHEMBL2107881,CHEMBL2107881,REGRAMOSTIM,
CHEMBL2108280,CHEMBL2108280,CENERSEN,
CHEMBL2108287,CHEMBL2108287,APRINOCARSEN,
CHEMBL2108290,CHEMBL2108290,EPOETIN THETA,
CHEMBL2108324,CHEMBL2108324,OBLIMERSEN,
CHEMBL2108356,CHEMBL2108356,PEGDINETANIB,
CHEMBL2108359,CHEMBL2108359,NIMOTUZUMAB,
CHEMBL2108557,CHEMBL2108557,TELBERMIN,
CHEMBL2108572,CHEMBL2108572,BALUGRASTIM,
CHEMBL2108583,CHEMBL2108583,CINTREDEKIN BESUDOTOX,
CHEMBL2108585,CHEMBL2108585,CONTUSUGENE LADENOVEC,
CHEMBL2108593,CHEMBL2108593,EPOETIN ZETA,
CHEMBL2108611,CHEMBL2108611,INOTUZUMAB OZOGAMICIN,
CHEMBL2108702,CHEMBL2108702,IMETELSTAT SODIUM,
CHEMBL2109092,CHEMBL2109092,EPOETIN BETA,
CHEMBL2109093,CHEMBL2109093,EPOETIN DELTA,
CHEMBL2109150,CHEMBL2109150,LINTUZUMAB,
CHEMBL2109253,CHEMBL2109253,HOKT3,
CHEMBL2109266,CHEMBL2109266,AVE-9633,
CHEMBL2109267,CHEMBL2109267,M195,
CHEMBL2109328,CHEMBL2109328,IMC-EB10,
CHEMBL2109602,CHEMBL2109602,IMC-3C5,
CHEMBL2219776,CHEMBL2219776,CENERSEN SODIUM,
CHEMBL2364651,CHEMBL2364651,TOVETUMAB,
CHEMBL3301582,CHEMBL3301582,POLATUZUMAB VEDOTIN,
CHEMBL3301589,CHEMBL3301589,ENFORTUMAB VEDOTIN,
CHEMBL3544910,CHEMBL3544910,MOTEXAFIN GADOLINIUM,
CHEMBL3545050,CHEMBL3545050,BMS-817378,
CHEMBL3545132,CHEMBL3545132,MIRVETUXIMAB SORAVTANSINE,
CHEMBL3545236,CHEMBL3545236,BPI-9016,
CHEMBL3545316,CHEMBL3545316,RINUCUMAB,
CHEMBL3545370,CHEMBL3545370,EMACTUZUMAB,
CHEMBL3545401,CHEMBL3545401,X-82,
CHEMBL3545402,CHEMBL3545402,XL-820,
CHEMBL3545427,CHEMBL3545427,CM-082,
CHEMBL3707277,CHEMBL3707277,DEPATUXIZUMAB MAFODOTIN,
CHEMBL3707314,CHEMBL3707314,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,
CHEMBL3833344,CHEMBL3833344,GANCOTAMAB,
CHEMBL3833384,CHEMBL3833384,EFLAPEGRASTIM,
CHEMBL3989988,CHEMBL3989988,MODOTUXIMAB,
CHEMBL3990032,CHEMBL3990032,TELISOTUZUMAB VEDOTIN,
CHEMBL414804,CHEMBL414804,OXALIPLATIN,
CHEMBL4297235,CHEMBL4297235,OMBIPEPIMUT-S,
CHEMBL4297574,CHEMBL4297574,TEPRASIRAN,
CHEMBL4297744,CHEMBL4297744,ELX-02,
CHEMBL4297764,CHEMBL4297764,HETROMBOPAG OLAMINE,
CHEMBL4297774,CHEMBL4297774,AMIVANTAMAB,
CHEMBL4297775,CHEMBL4297775,KAI-1678,
CHEMBL4297789,CHEMBL4297789,MT-3724,
CHEMBL4297800,CHEMBL4297800,PEGTEOGRASTIM,
CHEMBL4297841,CHEMBL4297841,TISOTUMAB VEDOTIN,
