active_id,canonical_smiles,inchikey,representative_chembl_id,names,chembl_ids,n_chembl_ids,max_phase,statuses,n_protein_links,n_pathway_links,n_moa_links,n_total_links,unique_proteins,unique_pathways,unique_moas,names_upper
AOJJSUZBOXZQNB-TZSSRYMLSA-N,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,AOJJSUZBOXZQNB-TZSSRYMLSA-N,CHEMBL53463,DOXORUBICIN,CHEMBL53463,1,4.0,,1,4,0,5,1,2,0,DOXORUBICIN
AQTQHPDCURKLKT-JKDPCDLQSA-N,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,AQTQHPDCURKLKT-JKDPCDLQSA-N,CHEMBL501867,VINCRISTINE SULFATE,CHEMBL501867,1,,,0,0,1,1,0,0,1,VINCRISTINE SULFATE
BIFMNMPSIYHKDN-FJXQXJEOSA-N,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1.Cl,BIFMNMPSIYHKDN-FJXQXJEOSA-N,CHEMBL1200778,DEXRAZOXANE HYDROCHLORIDE,CHEMBL1200778,1,4.0,,1,4,1,6,1,2,1,DEXRAZOXANE HYDROCHLORIDE
BMGQWWVMWDBQGC-IIFHNQTCSA-N,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,BMGQWWVMWDBQGC-IIFHNQTCSA-N,CHEMBL608533,MIDOSTAURIN,CHEMBL608533,1,4.0,,16,274,1,291,16,99,1,MIDOSTAURIN
BMKDZUISNHGIBY-ZETCQYMHSA-N,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,BMKDZUISNHGIBY-ZETCQYMHSA-N,CHEMBL1738,DEXRAZOXANE,CHEMBL1738,1,3.0,Recruiting,1,4,1,6,1,2,1,DEXRAZOXANE
CHEMBL1201438,,,CHEMBL1201438,ALDESLEUKIN,CHEMBL1201438,1,,,0,0,1,1,0,0,1,ALDESLEUKIN
CHEMBL1201506,,,CHEMBL1201506,GEMTUZUMAB OZOGAMICIN,CHEMBL1201506,1,4.0,,1,4,1,6,1,2,1,GEMTUZUMAB OZOGAMICIN
CHEMBL1201565,,,CHEMBL1201565,EPOETIN ALFA,CHEMBL1201565,1,,,0,0,1,1,0,0,1,EPOETIN ALFA
CHEMBL1201567,,,CHEMBL1201567,FILGRASTIM,CHEMBL1201567,1,4.0,,1,8,1,10,1,4,1,FILGRASTIM
CHEMBL1201587,,,CHEMBL1201587,ALEMTUZUMAB,CHEMBL1201587,1,,,0,0,1,1,0,0,1,ALEMTUZUMAB
CHEMBL1201670,,,CHEMBL1201670,SARGRAMOSTIM,CHEMBL1201670,1,4.0,,1,12,1,14,1,6,1,SARGRAMOSTIM
CHEMBL2108342,,,CHEMBL2108342,GEMTUZUMAB,CHEMBL2108342,1,3.0,Completed,1,4,1,6,1,2,1,GEMTUZUMAB
CHEMBL2108811,,,CHEMBL2108811,VISILIZUMAB,CHEMBL2108811,1,,,0,0,1,1,0,0,1,VISILIZUMAB
CHEMBL2109128,,,CHEMBL2109128,LENOGRASTIM,CHEMBL2109128,1,4.0,,1,8,1,10,1,4,1,LENOGRASTIM
CHEMBL2109229,,,CHEMBL2109229,OBLIMERSEN SODIUM,CHEMBL2109229,1,3.0,Completed,1,16,1,18,1,8,1,OBLIMERSEN SODIUM
CHEMBL3833386,,,CHEMBL3833386,GALINPEPIMUT-S,CHEMBL3833386,1,3.0,"Active, not recruiting",1,4,1,6,1,2,1,GALINPEPIMUT-S
CHEMBL4297573,,,CHEMBL4297573,TAGRAXOFUSP,CHEMBL4297573,1,,,0,0,1,1,0,0,1,TAGRAXOFUSP
CHEMBL4297985,,,CHEMBL4297985,MAGROLIMAB,CHEMBL4297985,1,,,0,0,1,1,0,0,1,MAGROLIMAB
CVWXJKQAOSCOAB-UHFFFAOYSA-N,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,CVWXJKQAOSCOAB-UHFFFAOYSA-N,CHEMBL576982,QUIZARTINIB,CHEMBL576982,1,3.0,Completed;Withdrawn,5,142,1,148,5,57,1,QUIZARTINIB
DASQOOZCTWOQPA-GXKRWWSZSA-L,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1.[Na+].[Na+],DASQOOZCTWOQPA-GXKRWWSZSA-L,CHEMBL3244648,METHOTREXATE SODIUM,CHEMBL3244648,1,,,0,0,1,1,0,0,1,METHOTREXATE SODIUM
DEVSOMFAQLZNKR-RJRFIUFISA-N,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,DEVSOMFAQLZNKR-RJRFIUFISA-N,CHEMBL3545185,SELINEXOR,CHEMBL3545185,1,,,0,0,1,1,0,0,1,SELINEXOR
DYLUUSLLRIQKOE-UHFFFAOYSA-N,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,DYLUUSLLRIQKOE-UHFFFAOYSA-N,CHEMBL3989908,ENASIDENIB,CHEMBL3989908,1,3.0,Completed,1,8,0,9,1,5,0,ENASIDENIB
DYNHJHQFHQTFTP-UHFFFAOYSA-N,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1,DYNHJHQFHQTFTP-UHFFFAOYSA-N,CHEMBL2105728,CRENOLANIB,CHEMBL2105728,1,3.0,Recruiting,3,92,1,96,3,37,1,CRENOLANIB
FBOZXECLQNJBKD-ZDUSSCGKSA-N,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,FBOZXECLQNJBKD-ZDUSSCGKSA-N,CHEMBL34259,METHOTREXATE,CHEMBL34259,1,,,0,0,1,1,0,0,1,METHOTREXATE
