active_id,canonical_smiles,inchikey,representative_chembl_id,names,chembl_ids,n_chembl_ids,max_phase,statuses,n_protein_links,n_pathway_links,n_moa_links,n_total_links,unique_proteins,unique_pathways,unique_moas,names_upper
AEULIVPVIDOLIN-UHFFFAOYSA-N,CC(C)Cn1c2ccc(Nc3ncccn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,AEULIVPVIDOLIN-UHFFFAOYSA-N,CHEMBL2010872,CEP-11981,CHEMBL2010872,1,2.0,Recruiting,2,20,0,22,2,8,0,CEP-11981
AFDJQFFKYDCYIG-JSGFVSQVSA-M,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)[N-]1.[Na+],AFDJQFFKYDCYIG-JSGFVSQVSA-M,CHEMBL1201000,NITROFURANTOIN SODIUM,CHEMBL1201000,1,,,0,0,1,1,0,0,1,NITROFURANTOIN SODIUM
AGBSXNCBIWWLHD-FQEVSTJZSA-N,COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,AGBSXNCBIWWLHD-FQEVSTJZSA-N,CHEMBL3653256,SIREMADLIN,CHEMBL3653256,1,2.0,Recruiting,1,90,0,91,1,47,0,SIREMADLIN
AGRCPNMCOXLKFO-BDVNFPICSA-N,CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,AGRCPNMCOXLKFO-BDVNFPICSA-N,CHEMBL1977579,STREPTOZOCIN,CHEMBL1977579,1,,,0,0,1,1,0,0,1,STREPTOZOCIN
AHJUHHDDCJQACA-UHFFFAOYSA-N,COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4cc(=O)c5ccccc5o4)n3)cc1)CC2,AHJUHHDDCJQACA-UHFFFAOYSA-N,CHEMBL4594298,ENCEQUIDAR,CHEMBL4594298,1,,,0,0,1,1,0,0,1,ENCEQUIDAR
AILRADAXUVEEIR-UHFFFAOYSA-N,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,AILRADAXUVEEIR-UHFFFAOYSA-N,CHEMBL3545311,BRIGATINIB,CHEMBL3545311,1,,,0,0,1,1,0,0,1,BRIGATINIB
AKQNAIYKSALPKV-OYHXESGYSA-N,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C.Cl,AKQNAIYKSALPKV-OYHXESGYSA-N,CHEMBL1200635,HYDROCORTAMATE HYDROCHLORIDE,CHEMBL1200635,1,,,0,0,1,1,0,0,1,HYDROCORTAMATE HYDROCHLORIDE
AKUJBENLRBOFTD-QZIXMDIESA-N,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,AKUJBENLRBOFTD-QZIXMDIESA-N,CHEMBL1200538,BETAMETHASONE ACETATE,CHEMBL1200538,1,,,0,0,1,1,0,0,1,BETAMETHASONE ACETATE
AKUJBENLRBOFTD-RPRRAYFGSA-N,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,AKUJBENLRBOFTD-RPRRAYFGSA-N,CHEMBL1530428,DEXAMETHASONE ACETATE,CHEMBL1530428,1,,,0,0,1,1,0,0,1,DEXAMETHASONE ACETATE
ALEXXDVDDISNDU-JZYPGELDSA-N,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,ALEXXDVDDISNDU-JZYPGELDSA-N,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,1,,,0,0,1,1,0,0,1,HYDROCORTISONE ACETATE
