active_id,chembl_id,drug_name,canonical_smiles,inchikey,max_phase,statuses,n_protein_links,n_pathway_links,n_moa_links,n_total_links,unique_proteins,unique_pathways,unique_moas,mech_score_raw,mech_score,admet_risk_raw,admet_risk,combined_score,herg,ames,pgp,pampa,bbb,cyp3a4,cyp2c19,cyp2d6,cyp1a2,cyp2c9,logS,admet_missing
OOUGLTULBSNHNF-UHFFFAOYSA-N,CHEMBL256997,ATALUREN,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,OOUGLTULBSNHNF-UHFFFAOYSA-N,4,,18,475,0,493,18,203,0,529,1,1.32,0.281449893,0.807782516,0,0,0,0,0,0,1,0,0,1,-4,0
CHEMBL4297789,CHEMBL4297789,MT-3724,,,2,Terminated,18,475,0,493,18,203,0,529,1,1.4,0.298507463,0.805223881,0,0,0,0,,0,0,0,0,0,-4,1
CHEMBL4297744,CHEMBL4297744,ELX-02,,,2,Completed;Recruiting;Terminated,18,475,0,493,18,203,0,529,1,1.4,0.298507463,0.805223881,0,0,0,0,,0,0,0,0,0,-4,1
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL1946170,REGORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,FNHKPVJBJVTLMP-UHFFFAOYSA-N,4,,9,200,1,210,9,76,1,229,0.430740038,0.98,0.208955224,0.334785749,0,0,0.5,1,1,0,0,0,0.5,0,-6.08,0
LBWFXVZLPYTWQI-IPOVEDGCSA-N,CHEMBL1567,SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,LBWFXVZLPYTWQI-IPOVEDGCSA-N,4,Completed,7,162,1,170,7,65,1,185,0.347248577,0.5,0.106609808,0.279169819,0,0,0,0,1,0,0,0,0,0,-0.0959,0
OKKDEIYWILRZIA-OSZBKLCCSA-N,CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,OKKDEIYWILRZIA-OSZBKLCCSA-N,4,,11,146,1,158,11,23,1,181,0.339658444,0.56,0.119402985,0.27079923,0,0,0,0,1,0,0,0,0,1,-0.261,0
RXRGZNYSEHTMHC-BQBZGAKWSA-N,CHEMBL359164,TROXACITABINE,Nc1ccn([C@@H]2CO[C@H](CO)O2)c(=O)n1,RXRGZNYSEHTMHC-BQBZGAKWSA-N,2,Terminated,11,146,0,157,11,23,0,179,0.335863378,0.5,0.106609808,0.2694924,0,0,0,0,1,0,0,0,0,0,-0.156,0
SDUQYLNIPVEERB-QPPQHZFASA-N,CHEMBL888,GEMCITABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,SDUQYLNIPVEERB-QPPQHZFASA-N,4,,11,146,0,157,11,23,0,179,0.335863378,0.56,0.119402985,0.267573423,0,0,0,0,1,0,0,0,0,1,-0.986,0
PIQCTGMSNWUMAF-UHFFFAOYSA-N,CHEMBL522892,DOVITINIB,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,PIQCTGMSNWUMAF-UHFFFAOYSA-N,3,Completed,6,152,1,159,6,61,1,172,0.322580645,0.66,0.140724947,0.253084806,0,0,0,0.5,1,0,0,0,0,1,-2.35,0
GKEYKDOLBLYGRB-LGMDPLHJSA-N,CHEMBL1278146,FAMITINIB,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,GKEYKDOLBLYGRB-LGMDPLHJSA-N,3,Completed,6,152,1,159,6,61,1,172,0.322580645,0.69,0.147121535,0.252125318,0,0,0.5,1,1,0,1,0,0.5,0,-2.72,0
LOLPPWBBNUVNQZ-UHFFFAOYSA-N,CHEMBL495727,AT-9283,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,LOLPPWBBNUVNQZ-UHFFFAOYSA-N,2,Completed,3,156,0,159,3,75,0,165,0.309297913,0.65,0.138592751,0.242114313,0,0,0,0,1,1,0,0.5,1,0,-0.566,0
CTNPALGJUAXMMC-PMFHANACSA-N,CHEMBL1721885,SU-014813,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,CTNPALGJUAXMMC-PMFHANACSA-N,2,Completed,6,152,0,158,6,61,0,170,0.318785579,1.37,0.292110874,0.227151111,0,1,0,0.5,1,0,1,0,0,1,-1.38,0
OAVGBZOFDPFGPJ-UHFFFAOYSA-N,CHEMBL565612,SOTRASTAURIN,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,OAVGBZOFDPFGPJ-UHFFFAOYSA-N,2,Completed,11,128,0,139,11,42,0,161,0.30170778,0.97,0.206823028,0.225428159,0,0,1,1,1,0.5,0,0.5,1,0,-3.22,0
KGPGFQWBCSZGEL-ZDUSSCGKSA-N,CHEMBL494089,GSK-690693,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,KGPGFQWBCSZGEL-ZDUSSCGKSA-N,1,Terminated;Withdrawn,11,128,0,139,11,42,0,161,0.30170778,1.53,0.326226013,0.207517711,0,1,0,0,1,0,0.5,0,0,0,-0.439,0
JOOXLOJCABQBSG-UHFFFAOYSA-N,CHEMBL1287853,FEDRATINIB,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,JOOXLOJCABQBSG-UHFFFAOYSA-N,4,,2,130,1,133,2,64,1,138,0.258064516,0.44,0.093816631,0.205282344,0,0,0,1,1,1,0,0,0,0.5,-2.99,0
QAFZLTVOFJHYDF-UHFFFAOYSA-N,CHEMBL4297216,FEDRATINIB HYDROCHLORIDE,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1.Cl.Cl.O,QAFZLTVOFJHYDF-UHFFFAOYSA-N,4,,2,130,1,133,2,64,1,138,0.258064516,0.69,0.147121535,0.197286608,0,0,0,0.5,1,0.5,0,0,0,1,-2.31,0
DMQYDVBIPXAAJA-VHXPQNKSSA-N,CHEMBL5314391,XL-999,CCN1CCC(Nc2ccc3c(c2)/C(=C(\c2cccc(F)c2)c2nc(C)c[nH]2)C(=O)N3)CC1,DMQYDVBIPXAAJA-VHXPQNKSSA-N,2,Terminated,6,152,0,158,6,61,0,170,0.318785579,2.57,0.547974414,0.18877158,0,1,1,0.5,1,0,1,0,0,1,-4.5,0
RAHBGWKEPAQNFF-UHFFFAOYSA-N,CHEMBL572881,MOTESANIB,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,RAHBGWKEPAQNFF-UHFFFAOYSA-N,3,Terminated,6,108,1,115,6,42,1,128,0.239089184,0.65,0.138592751,0.182436894,0,0,0,1,1,1,1,1,1,1,-3.01,0
MQHIQUBXFFAOMK-UHFFFAOYSA-N,CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl,MQHIQUBXFFAOMK-UHFFFAOYSA-N,4,,5,98,1,104,5,38,1,115,0.214421252,0,0,0.182258065,0,0,0,1,1,0,0,0,0,0,-1.29,0
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL535,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,WINHZLLDWRZWRT-ATVHPVEESA-N,4,Completed;Terminated,7,162,1,170,7,65,1,185,0.347248577,3.56,0.759061834,0.181302015,1,1,1,1,1,0,1,0,0,0,-1.88,0
PBCZSGKMGDDXIJ-KRUBCLEUSA-N,CHEMBL574737,UCN-01,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O,PBCZSGKMGDDXIJ-KRUBCLEUSA-N,2,Terminated,11,128,0,139,11,42,0,161,0.30170778,2.35,0.501066098,0.181291698,0,1,0,0,0,0,0.5,1,1,0,-4.1,0
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL477772,PAZOPANIB,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,CUIHSIWYWATEQL-UHFFFAOYSA-N,3,"Active, not recruiting",5,98,0,103,5,38,0,113,0.210626186,0,0,0.179032258,0,0,0,1,1,0,0,0,0,0,-1.98,0
CHEMBL3545427,CHEMBL3545427,CM-082,,,3,Unknown status,4,120,1,125,4,54,1,134,0.250474383,1.4,0.298507463,0.168127106,0,0,0,0,,0,0,0,0,0,-4,1
VXBAJLGYBMTJCY-NSCUHMNNSA-N,CHEMBL1944698,ZOTIRACICLIB,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,VXBAJLGYBMTJCY-NSCUHMNNSA-N,1,Withdrawn,2,130,0,132,2,64,0,136,0.25426945,1.56,0.332622601,0.166235642,0,1,0,1,0,0,1,1,0.5,1,-2.31,0
MPVGZUGXCQEXTM-UHFFFAOYSA-N,CHEMBL223360,LINIFANIB,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,MPVGZUGXCQEXTM-UHFFFAOYSA-N,3,Terminated,5,112,1,118,5,45,1,129,0.240986717,1.44,0.307036247,0.158783273,0,0,0,0,1,1,1,0,1,1,-4.54,0
CXQHYVUVSFXTMY-UHFFFAOYSA-N,CHEMBL1230609,FORETINIB,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,CXQHYVUVSFXTMY-UHFFFAOYSA-N,2,Completed,6,152,0,158,6,61,0,170,0.318785579,3.7,0.78891258,0.152630855,1,1,0,1,1,0,0,0,0,0,-4.89,0
BLQYVHBZHAISJM-CMDGGOBGSA-N,CHEMBL482968,ENMD-2076,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,BLQYVHBZHAISJM-CMDGGOBGSA-N,2,Completed,3,108,0,111,3,51,0,117,0.218216319,1.1,0.234541578,0.150302634,0,0,0.5,1,1,0.5,1,0,1,0,-4.03,0
CHEMBL3545402,CHEMBL3545402,XL-820,,,2,Completed,5,98,0,103,5,38,0,113,0.210626186,1.4,0.298507463,0.134256139,0,0,0,0,,0,0,0,0,0,-4,1
JGWRKYUXBBNENE-UHFFFAOYSA-N,CHEMBL3813873,PEXIDARTINIB,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,JGWRKYUXBBNENE-UHFFFAOYSA-N,4,,2,94,1,97,2,44,1,102,0.189753321,0.94,0.200426439,0.131226357,0,0,0,1,1,1,1,1,1,0,-5.25,0
CJLUYLRKLUYCEK-UHFFFAOYSA-N,CHEMBL3989973,PEXIDARTINIB HYDROCHLORIDE,Cl.FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,CJLUYLRKLUYCEK-UHFFFAOYSA-N,4,,2,94,1,97,2,44,1,102,0.189753321,0.94,0.200426439,0.131226357,0,0,0,1,1,1,1,1,1,0,-4.53,0
WJEOLQLKVOPQFV-UHFFFAOYSA-N,CHEMBL1908391,MASITINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,WJEOLQLKVOPQFV-UHFFFAOYSA-N,4,,3,78,1,82,3,30,1,89,0.165085389,0.4,0.085287846,0.127529404,0,0,0.5,1,1,1,0,1,0,0.5,0.0163,0
AGBSXNCBIWWLHD-FQEVSTJZSA-N,CHEMBL3653256,SIREMADLIN,COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,AGBSXNCBIWWLHD-FQEVSTJZSA-N,2,Recruiting,1,90,0,91,1,47,0,93,0.172675522,0.66,0.140724947,0.125665452,0,0,0.5,1,1,0,0,0,1,0,-3.85,0
BAHHBHSHSRTKNK-BJILWQEISA-N,CHEMBL5095049,PACRITINIB CITRATE,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1.O=C(O)CC(O)(CC(=O)O)C(=O)O,BAHHBHSHSRTKNK-BJILWQEISA-N,4,,2,130,1,133,2,64,1,138,0.258064516,2.97,0.63326226,0.1243655,1,0,0,0,1,0,1,0,1,0,-2.41,0
OVSKGTONMLKNPZ-UHFFFAOYSA-N,CHEMBL52885,ENMD-981693,Cn1cc(C2=C(c3cn(C)c4cc([N+](=O)[O-])ccc34)C(=O)NC2=O)c2ccccc21,OVSKGTONMLKNPZ-UHFFFAOYSA-N,2,Completed,4,106,0,110,4,44,0,118,0.220113852,1.97,0.420042644,0.124090378,0,1,1,1,0,1,0,0,1,0,-3.28,0
YJCZPJQGFSSFOL-MNZPCBJKSA-N,CHEMBL4091801,ALRIZOMADLIN,CCN1[C@@H](C(=O)NC23CCC(C(=O)O)(CC2)CC3)[C@H](c2cccc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc32)C12CCCCC2,YJCZPJQGFSSFOL-MNZPCBJKSA-N,2,Recruiting,1,90,0,91,1,47,0,93,0.172675522,0.76,0.162046908,0.122467157,0,0,0,1,1,0.5,0,0,0,0.5,-5.29,0
UJLAWZDWDVHWOW-YPMHNXCESA-N,CHEMBL221959,TOFACITINIB,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,UJLAWZDWDVHWOW-YPMHNXCESA-N,3,,1,76,0,77,1,38,0,79,0.146110057,0.06,0.012793177,0.122274572,0,0,0,1,1,0,0,0,1,0,-0.49,0
XUZMWHLSFXCVMG-UHFFFAOYSA-N,CHEMBL2105759,BARICITINIB,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,XUZMWHLSFXCVMG-UHFFFAOYSA-N,4,,1,76,0,77,1,38,0,79,0.146110057,0.06,0.012793177,0.122274572,0,0,0,1,0,0,0,0,1,0,-1.19,0
DRLCSJFKKILATL-YWCVFVGNSA-N,CHEMBL3125702,NAVTEMADLIN,CC(C)[C@@H](CS(=O)(=O)C(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,DRLCSJFKKILATL-YWCVFVGNSA-N,2,Recruiting,1,90,1,92,1,47,1,95,0.176470588,1.01,0.215351812,0.117697228,0,0,0,0.5,1,0,1,0,0,0,-5.78,0
HWXVIOGONBBTBY-ONEGZZNKSA-N,CHEMBL2035187,PACRITINIB,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,HWXVIOGONBBTBY-ONEGZZNKSA-N,4,,2,130,1,133,2,64,1,138,0.258064516,3.32,0.707889126,0.11317147,1,0,0,0,1,0,1,0.5,0,0.5,-4.02,0
DREIJXJRTLTGJC-ZLBJMMTISA-N,CHEMBL3137308,PEFICITINIB,NC(=O)c1cnc2[nH]ccc2c1N[C@@H]1[C@@H]2CC3C[C@H]1C[C@@](O)(C3)C2,DREIJXJRTLTGJC-ZLBJMMTISA-N,3,,1,76,0,77,1,38,0,79,0.146110057,0.35,0.074626866,0.112999519,0,0,0,1,1,0,0,0,0,0,-2.34,0
MMMVNAGRWOJNMW-FJBFXRHMSA-N,CHEMBL3039504,NINTEDANIB ESYLATE,CCS(=O)(=O)O.COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,MMMVNAGRWOJNMW-FJBFXRHMSA-N,4,,4,58,1,63,4,22,1,72,0.132827324,0,0,0.112903226,0,0,0,1,1,0,0,0,0,0,-1.58,0
ZVHNDZWQTBEVRY-UHFFFAOYSA-N,CHEMBL1078178,MOMELOTINIB,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,ZVHNDZWQTBEVRY-UHFFFAOYSA-N,3,Completed,1,76,0,77,1,38,0,79,0.146110057,0.41,0.087420043,0.111080542,0,0,0,1,1,0,0,0,1,0,-3.79,0
HFNKQEVNSGCOJV-OAHLLOKOSA-N,CHEMBL1789941,RUXOLITINIB,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,HFNKQEVNSGCOJV-OAHLLOKOSA-N,4,,1,76,0,77,1,38,0,79,0.146110057,0.44,0.093816631,0.110121054,0,0,0,1,1,0,0,0.5,1,0,-2.46,0
JFMWPOCYMYGEDM-XFULWGLBSA-N,CHEMBL1795071,RUXOLITINIB PHOSPHATE,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1.O=P(O)(O)O,JFMWPOCYMYGEDM-XFULWGLBSA-N,4,,1,76,0,77,1,38,0,79,0.146110057,0.44,0.093816631,0.110121054,0,0,0,1,1,0,0,0.5,1,0,-2.2,0
QFCXANHHBCGMAS-UHFFFAOYSA-N,CHEMBL2079588,TELATINIB,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,QFCXANHHBCGMAS-UHFFFAOYSA-N,2,Completed,4,72,0,76,4,32,0,84,0.155597723,0.72,0.153518124,0.109230346,0,0,0,0.5,0,0,1,0,1,0,-3.47,0
PDOQBOJDRPLBQU-QMMMGPOBSA-N,CHEMBL1231124,AZD-1480,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,PDOQBOJDRPLBQU-QMMMGPOBSA-N,1,Terminated,1,76,0,77,1,38,0,79,0.146110057,0.53,0.113006397,0.107242589,0,0,0,1,0,1,0,1,0,1,-2.89,0
UOVCGJXDGOGOCZ-UHFFFAOYSA-N,CHEMBL1980391,RG-1530,COc1cc2c(cc1F)C(c1ccccc1Cl)=Nc1c(n[nH]c1C)N2,UOVCGJXDGOGOCZ-UHFFFAOYSA-N,1,Completed,4,86,0,90,4,38,0,98,0.182163188,1.5,0.319829424,0.106864296,0,0,0,0,1,1,1,1,1,1,-4.01,0
YYLKKYCXAOBSRM-JXMROGBWSA-N,CHEMBL1908397,KW-2449,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,YYLKKYCXAOBSRM-JXMROGBWSA-N,1,Terminated,2,80,0,82,2,40,0,86,0.159392789,0.94,0.200426439,0.105419905,0,0,0,0,1,0,0,0,0.5,1,-2.44,0
JCINBYQJBYJGDM-UHFFFAOYSA-N,CHEMBL3545215,BMS-911543,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,JCINBYQJBYJGDM-UHFFFAOYSA-N,1,Terminated,1,76,0,77,1,38,0,79,0.146110057,0.59,0.125799574,0.105323612,0,0,0,0,1,0.5,0,0,1,0,-1.41,0
KSMZEXLVHXZPEF-UHFFFAOYSA-N,CHEMBL4303201,CATEQUENTINIB,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ccnc2cc1OCC1(N)CC1,KSMZEXLVHXZPEF-UHFFFAOYSA-N,3,Not yet recruiting;Recruiting,4,72,1,77,4,32,1,86,0.159392789,0.97,0.206823028,0.104460417,0,0,1,1,0.5,1,0,1,0,0,-3.41,0
UXXQOJXBIDBUAC-UHFFFAOYSA-N,CHEMBL124660,TANDUTINIB,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,UXXQOJXBIDBUAC-UHFFFAOYSA-N,2,Completed,3,106,0,109,3,47,0,115,0.214421252,2.44,0.520255864,0.104219685,1,0,0,1,1,0.5,0,1,0,0,-3.73,0
CHEMBL2108280,CHEMBL2108280,CENERSEN,,,2,Completed,1,90,0,91,1,47,0,93,0.172675522,1.4,0.298507463,0.101998074,0,0,0,0,,0,0,0,0,0,-4,1
CHEMBL2108585,CHEMBL2108585,CONTUSUGENE LADENOVEC,,,2,Unknown status,1,90,0,91,1,47,0,93,0.172675522,1.4,0.298507463,0.101998074,0,0,0,0,,0,0,0,0,0,-4,1
CHEMBL2219776,CHEMBL2219776,CENERSEN SODIUM,,,2,Terminated,1,90,0,91,1,47,0,93,0.172675522,1.4,0.298507463,0.101998074,0,0,0,0,,0,0,0,0,0,-4,1
CHEMBL4297574,CHEMBL4297574,TEPRASIRAN,,,2,Completed,1,90,0,91,1,47,0,93,0.172675522,1.4,0.298507463,0.101998074,0,0,0,0,,0,0,0,0,0,-4,1
VQYYQSZNRVQLIS-UHFFFAOYSA-N,CHEMBL3984441,NINGETINIB,Cc1c(C(=O)Nc2ccc(Oc3ccnc4cc(OCC(C)(C)O)ccc34)c(F)c2)c(=O)n(-c2ccccc2)n1C,VQYYQSZNRVQLIS-UHFFFAOYSA-N,2,Terminated,3,70,0,73,3,34,0,79,0.146110057,0.7,0.149253731,0.101805489,0,0,0,1,1,0,0,0,0,0,-5.38,0
HXINDCTZKGGRDE-JPKZNVRTSA-L,CHEMBL5314407,ARQ-736,Cn1ccc(S(=O)(=O)N2CCC[C@@H](Nc3nccc(-c4c(-c5cccc(OCOP(=O)([O-])[O-])c5)nc5occn45)n3)C2)n1.[Na+].[Na+],HXINDCTZKGGRDE-JPKZNVRTSA-L,1,Completed,2,66,0,68,2,21,0,72,0.132827324,0.37,0.078891258,0.101069537,0,0,0,0.5,1,1,1,0,0,0,-1.26,0
UIARLYUEJFELEN-LROUJFHJSA-N,CHEMBL603469,LESTAURTINIB,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,UIARLYUEJFELEN-LROUJFHJSA-N,3,"Active, not recruiting",3,140,1,144,3,68,1,151,0.282732448,4.38,0.933901919,0.100237293,1,1,0,0,0,0,1,0.5,1,0.5,-4.1,0
SQSZANZGUXWJEA-UHFFFAOYSA-N,CHEMBL2107823,GANDOTINIB,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)n[nH]1,SQSZANZGUXWJEA-UHFFFAOYSA-N,2,"Active, not recruiting",1,76,0,77,1,38,0,79,0.146110057,0.75,0.159914712,0.100206342,0,0,0,0.5,1,1,0,0.5,1,0,-2.62,0
GJMQTRCDSIQEFK-SCDRJROZSA-N,CHEMBL5315119,UPADACITINIB HEMIHYDRATE,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12.CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12.O,GJMQTRCDSIQEFK-SCDRJROZSA-N,4,,1,76,0,77,1,38,0,79,0.146110057,0.82,0.174840085,0.097967536,0,0,0,1,1,1,0,1,0,0,-4.56,0
RIJLVEAXPNLDTC-UHFFFAOYSA-N,CHEMBL3301607,FILGOTINIB,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,RIJLVEAXPNLDTC-UHFFFAOYSA-N,3,Completed,1,76,0,77,1,38,0,79,0.146110057,0.85,0.181236674,0.097008047,0,0,0,0,1,0,0,0,0,0,-2.6,0
