active_id,chembl_id,drug_name,canonical_smiles,inchikey,max_phase,statuses,n_protein_links,n_pathway_links,n_moa_links,n_total_links,unique_proteins,unique_pathways,unique_moas,mech_score_raw,mech_score,admet_risk_raw,admet_risk,combined_score,herg,ames,pgp,pampa,bbb,cyp3a4,cyp2c19,cyp2d6,cyp1a2,cyp2c9,logS,admet_missing,mechanistic_rationale,ic50_top_uM,ic50_series_uM
OOUGLTULBSNHNF-UHFFFAOYSA-N,CHEMBL256997,ATALUREN,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,OOUGLTULBSNHNF-UHFFFAOYSA-N,4.0,,18,475,0,493,18,203,0,529,1.0,1.3199999999999998,0.28144989339019183,0.8077825159914712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-4.0,0,475 pathway links; 18 protein links,30.0,30;10;3.333;1.111;0.3704;0.1235;0.04115;0.01372;0.004572;0.001524
CHEMBL4297789,CHEMBL4297789,MT-3724,,,2.0,Terminated,18,475,0,493,18,203,0,529,1.0,1.4,0.29850746268656714,0.8052238805970149,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-4.0,1,475 pathway links; 18 protein links,30.0,30;10;3.333;1.111;0.3704;0.1235;0.04115;0.01372;0.004572;0.001524
CHEMBL4297744,CHEMBL4297744,ELX-02,,,2.0,Completed;Recruiting;Terminated,18,475,0,493,18,203,0,529,1.0,1.4,0.29850746268656714,0.8052238805970149,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-4.0,1,475 pathway links; 18 protein links,30.0,30;10;3.333;1.111;0.3704;0.1235;0.04115;0.01372;0.004572;0.001524
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL1946170,REGORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,FNHKPVJBJVTLMP-UHFFFAOYSA-N,4.0,,9,200,1,210,9,76,1,229,0.4307400379506641,0.98,0.208955223880597,0.33478574867597494,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.0,-6.08,0,200 pathway links; 9 protein links; 1 MoA links,30.0,30;10;3.333;1.111;0.3704;0.1235;0.04115;0.01372;0.004572;0.001524
LBWFXVZLPYTWQI-IPOVEDGCSA-N,CHEMBL1567,SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,LBWFXVZLPYTWQI-IPOVEDGCSA-N,4.0,Completed,7,162,1,170,7,65,1,185,0.34724857685009486,0.5,0.10660980810234541,0.2791698191072288,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0959,0,162 pathway links; 7 protein links; 1 MoA links,30.0,30;10;3.333;1.111;0.3704;0.1235;0.04115;0.01372;0.004572;0.001524
OKKDEIYWILRZIA-OSZBKLCCSA-N,CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,OKKDEIYWILRZIA-OSZBKLCCSA-N,4.0,,11,146,1,158,11,23,1,181,0.3396584440227704,0.56,0.11940298507462686,0.2707992296581608,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.261,0,146 pathway links; 11 protein links; 1 MoA links,30.0,30;10;3.333;1.111;0.3704;0.1235;0.04115;0.01372;0.004572;0.001524
RXRGZNYSEHTMHC-BQBZGAKWSA-N,CHEMBL359164,TROXACITABINE,Nc1ccn([C@@H]2CO[C@H](CO)O2)c(=O)n1,RXRGZNYSEHTMHC-BQBZGAKWSA-N,2.0,Terminated,11,146,0,157,11,23,0,179,0.33586337760910817,0.5,0.10660980810234541,0.2694923997523901,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.156,0,146 pathway links; 11 protein links,30.0,30;10;3.333;1.111;0.3704;0.1235;0.04115;0.01372;0.004572;0.001524
SDUQYLNIPVEERB-QPPQHZFASA-N,CHEMBL888,GEMCITABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,SDUQYLNIPVEERB-QPPQHZFASA-N,4.0,,11,146,0,157,11,23,0,179,0.33586337760910817,0.56,0.11940298507462686,0.26757342320654787,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.986,0,146 pathway links; 11 protein links,30.0,30;10;3.333;1.111;0.3704;0.1235;0.04115;0.01372;0.004572;0.001524
PIQCTGMSNWUMAF-UHFFFAOYSA-N,CHEMBL522892,DOVITINIB,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,PIQCTGMSNWUMAF-UHFFFAOYSA-N,3.0,Completed,6,152,1,159,6,61,1,172,0.3225806451612903,0.6599999999999999,0.14072494669509591,0.2530848063828324,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,-2.35,0,152 pathway links; 6 protein links; 1 MoA links,10.0,10;3.333;1.111;0.3704;0.1235;0.04115;0.01372;0.004572;0.001524;0.0005081
GKEYKDOLBLYGRB-LGMDPLHJSA-N,CHEMBL1278146,FAMITINIB,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,GKEYKDOLBLYGRB-LGMDPLHJSA-N,3.0,Completed,6,152,1,159,6,61,1,172,0.3225806451612903,0.69,0.14712153518123666,0.25212531810991123,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.0,-2.72,0,152 pathway links; 6 protein links; 1 MoA links,10.0,10;3.333;1.111;0.3704;0.1235;0.04115;0.01372;0.004572;0.001524;0.0005081
