chembl_id,drug_name,targets_x,diseases,min_phase,max_phase,any_status,smiles,n_target_links,drug_name_path,pathways,pathway_ids,n_pathway_links,max_phase_path,drug_name_mech,mechanisms_x,smiles_mech,n_mech_links,preferred_name,trade_names,url,targets_y,mechanisms_y,drug_name_final,smiles_final,name_upper,exclude_approved_aml,in_known_drugs_kg
CHEMBL101253,VATALANIB,"['FLT4', 'KDR', 'KIT', 'PDGFRA', 'PDGFRB']","['colonic neoplasm', 'rectum cancer']",3.0,3.0,['Completed'],Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,5.0,VATALANIB,"['Constitutive Signaling by Aberrant PI3K in Cance', 'Constitutive Signaling by Aberrant PI3K in Cancer', 'Dasatinib-resistant KIT mutant', 'Dasatinib-resistant KIT mutants', 'Downstream signal transductio', 'Downstream signal transduction', 'High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell', 'High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells', 'Imatinib-resistant KIT mutant', 'Imatinib-resistant KIT mutants', 'Imatinib-resistant PDGFR mutant', 'Imatinib-resistant PDGFR mutants', 'Integrin cell surface interaction', 'Integrin cell surface interactions', 'KIT mutants bind TKI', 'KIT mutants bind TKIs', 'Masitinib-resistant KIT mutant', 'Masitinib-resistant KIT mutants', 'NOTCH4 Intracellular Domain Regulates Transcriptio', 'NOTCH4 Intracellular Domain Regulates Transcription', 'Neurophilin interactions with VEGF and VEGF', 'Neurophilin interactions with VEGF and VEGFR', 'Nilotinib-resistant KIT mutant', 'Nilotinib-resistant KIT mutants', 'PDGFR mutants bind TKI', 'PDGFR mutants bind TKIs', 'PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin', 'PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling', 'PIP3 activates AKT signalin', 'PIP3 activates AKT signaling', 'RAF/MAP kinase cascad', 'RAF/MAP kinase cascade', 'Regorafenib-resistant KIT mutant', 'Regorafenib-resistant KIT mutants', 'Regorafenib-resistant PDGFR mutant', 'Regorafenib-resistant PDGFR mutants', 'Regulation of KIT signalin', 'Regulation of KIT signaling', 'Signaling by PDG', 'Signaling by PDGF', 'Signaling by PDGFRA extracellular domain mutant', 'Signaling by PDGFRA extracellular domain mutants', 'Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutant', 'Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants', 'Signaling by SCF-KI', 'Signaling by SCF-KIT', 'Signaling by extracellular domain mutants of KI', 'Signaling by extracellular domain mutants of KIT', 'Signaling by juxtamembrane domain KIT mutant', 'Signaling by juxtamembrane domain KIT mutants', 'Signaling by kinase domain mutants of KI', 'Signaling by kinase domain mutants of KIT', 'Signaling by membrane-tethered fusions of PDGFRA or PDGFR', 'Signaling by membrane-tethered fusions of PDGFRA or PDGFRB', 'Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant', 'Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants', 'Sorafenib-resistant KIT mutant', 'Sorafenib-resistant KIT mutants', 'Sorafenib-resistant PDGFR mutant', 'Sorafenib-resistant PDGFR mutants', 'Sunitinib-resistant KIT mutant', 'Sunitinib-resistant KIT mutants', 'Sunitinib-resistant PDGFR mutant', 'Sunitinib-resistant PDGFR mutants', 'TFAP2 (AP-2) family regulates transcription of growth factors and their receptor', 'TFAP2 (AP-2) family regulates transcription of growth factors and their receptors', 'Transcriptional and post-translational regulation of MITF-M expression and activit', 'Transcriptional and post-translational regulation of MITF-M expression and activity', 'VEGF binds to VEGFR leading to receptor dimerizatio', 'VEGF binds to VEGFR leading to receptor dimerization', 'VEGFA-VEGFR2 Pathwa', 'VEGFA-VEGFR2 Pathway', 'VEGFR2 mediated cell proliferatio', 'VEGFR2 mediated cell proliferation']","['R-HSA-1257604', 'R-HSA-1433557', 'R-HSA-1433559', 'R-HSA-186763', 'R-HSA-186797', 'R-HSA-194306', 'R-HSA-195399', 'R-HSA-2028269', 'R-HSA-216083', 'R-HSA-2219530', 'R-HSA-4420097', 'R-HSA-5218921', 'R-HSA-5673001', 'R-HSA-6811558', 'R-HSA-8866910', 'R-HSA-9013695', 'R-HSA-9669914', 'R-HSA-9669917', 'R-HSA-9669921', 'R-HSA-9669924', 'R-HSA-9669926', 'R-HSA-9669929', 'R-HSA-9669933', 'R-HSA-9669934', 'R-HSA-9669935', 'R-HSA-9669936', 'R-HSA-9670439', 'R-HSA-9673767', 'R-HSA-9673768', 'R-HSA-9673770', 'R-HSA-9674396', 'R-HSA-9674401', 'R-HSA-9674403', 'R-HSA-9674404', 'R-HSA-9674428', 'R-HSA-9680187', 'R-HSA-9856530', 'R-HSA-9856649']",98.0,3.0,VATALANIB,"['Macrophage colony stimulating factor receptor inhibitor', 'Platelet-derived growth factor receptor inhibitor', 'Stem cell growth factor receptor inhibitor', 'Vascular endothelial growth factor receptor inhibitor']",Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,1.0,,,,,,VATALANIB,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,VATALANIB,False,False
CHEMBL1024,,,,,,,,,,,,,,IFOSFAMIDE,['DNA inhibitor'],O=P1(NCCCl)OCCCN1CCCl,1.0,,,,,,IFOSFAMIDE,O=P1(NCCCl)OCCCN1CCCl,IFOSFAMIDE,False,False
CHEMBL105,,,,,,,,,,,,,,MITOMYCIN,['DNA inhibitor'],CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,1.0,,,,,,MITOMYCIN,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,MITOMYCIN,False,False
CHEMBL107,,,,,,,,,,,,,,COLCHICINE,['Tubulin inhibitor'],COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,1.0,,,,,,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,COLCHICINE,False,False
CHEMBL107430,NRX195183,['RARA'],['acute promyelocytic leukemia'],2.0,2.0,['Withdrawn'],CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,1.0,NRX195183,"['Activation of anterior HOX genes in hindbrain development during early embryogenesi', 'Activation of anterior HOX genes in hindbrain development during early embryogenesis', 'Nuclear Receptor transcription pathwa', 'Nuclear Receptor transcription pathway', 'SUMOylation of intracellular receptor', 'SUMOylation of intracellular receptors', 'Signaling by Retinoic Aci', 'Signaling by Retinoic Acid', 'TGFBR3 expressio', 'TGFBR3 expression', 'Transcriptional regulation of granulopoiesi', 'Transcriptional regulation of granulopoiesis']","['R-HSA-383280', 'R-HSA-4090294', 'R-HSA-5362517', 'R-HSA-5617472', 'R-HSA-9616222', 'R-HSA-9839394']",12.0,2.0,,,,,,,,,,NRX195183,CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,NRX195183,False,False
CHEMBL1078178,MOMELOTINIB,['JAK2'],['primary myelofibrosis'],3.0,3.0,['Completed'],N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,1.0,MOMELOTINIB,"['Cyclin D associated events in G', 'Cyclin D associated events in G1', 'Erythropoietin activates Phosphoinositide-3-kinase (PI3K', 'Erythropoietin activates Phosphoinositide-3-kinase (PI3K)', 'Erythropoietin activates Phospholipase C gamma (PLCG', 'Erythropoietin activates Phospholipase C gamma (PLCG)', 'Erythropoietin activates RA', 'Erythropoietin activates RAS', 'Erythropoietin activates STAT', 'Erythropoietin activates STAT5', 'Factors involved in megakaryocyte development and platelet productio', 'Factors involved in megakaryocyte development and platelet production', 'Growth hormone receptor signalin', 'Growth hormone receptor signaling', 'IFNG signaling activates MAPK', 'IFNG signaling activates MAPKs', 'IL-6-type cytokine receptor ligand interaction', 'IL-6-type cytokine receptor ligand interactions', 'Inactivation of CSF3 (G-CSF) signalin', 'Inactivation of CSF3 (G-CSF) signaling', 'Interferon gamma signalin', 'Interferon gamma signaling', 'Interleukin receptor SHC signalin', 'Interleukin receptor SHC signaling', 'Interleukin-12 signalin', 'Interleukin-12 signaling', 'Interleukin-20 family signalin', 'Interleukin-20 family signaling', 'Interleukin-23 signalin', 'Interleukin-23 signaling', 'Interleukin-27 signalin', 'Interleukin-27 signaling', 'Interleukin-3, Interleukin-5 and GM-CSF signalin', 'Interleukin-3, Interleukin-5 and GM-CSF signaling', 'Interleukin-35 Signallin', 'Interleukin-35 Signalling', 'Interleukin-4 and Interleukin-13 signalin', 'Interleukin-4 and Interleukin-13 signaling', 'Interleukin-6 signalin', 'Interleukin-6 signaling', 'MAPK1 (ERK2) activatio', 'MAPK1 (ERK2) activation', 'MAPK3 (ERK1) activatio', 'MAPK3 (ERK1) activation', 'Paradoxical activation of RAF signaling by kinase inactive BRA', 'Paradoxical activation of RAF signaling by kinase inactive BRAF', 'Potential therapeutics for SAR', 'Potential therapeutics for SARS', 'Prolactin receptor signalin', 'Prolactin receptor signaling', 'RAF activatio', 'RAF activation', 'RAF/MAP kinase cascad', 'RAF/MAP kinase cascade', 'RMTs methylate histone arginine', 'RMTs methylate histone arginines', 'Regulation of IFNG signalin', 'Regulation of IFNG signaling', 'Signaling by BRAF and RAF1 fusion', 'Signaling by BRAF and RAF1 fusions', 'Signaling by CSF3 (G-CSF', 'Signaling by CSF3 (G-CSF)', 'Signaling by Erythropoieti', 'Signaling by Erythropoietin', 'Signaling by Lepti', 'Signaling by Leptin', 'Signaling by RAF1 mutant', 'Signaling by RAF1 mutants', 'Signaling by SCF-KI', 'Signaling by SCF-KIT', 'Signaling by moderate kinase activity BRAF mutant', 'Signaling by moderate kinase activity BRAF mutants', 'Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant', 'Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants', 'Signaling downstream of RAS mutant', 'Signaling downstream of RAS mutants']","['R-HSA-1059683', 'R-HSA-110056', 'R-HSA-112411', 'R-HSA-1170546', 'R-HSA-1433557', 'R-HSA-2586552', 'R-HSA-3214858', 'R-HSA-512988', 'R-HSA-5673000', 'R-HSA-5673001', 'R-HSA-6785807', 'R-HSA-6788467', 'R-HSA-6802946', 'R-HSA-6802952', 'R-HSA-6802955', 'R-HSA-69231', 'R-HSA-877300', 'R-HSA-877312', 'R-HSA-8854691', 'R-HSA-8984722', 'R-HSA-9006335', 'R-HSA-9020591', 'R-HSA-9020933', 'R-HSA-9020956', 'R-HSA-9027276', 'R-HSA-9027277', 'R-HSA-9027283', 'R-HSA-9027284', 'R-HSA-912526', 'R-HSA-9649948', 'R-HSA-9656223', 'R-HSA-9670439', 'R-HSA-9674555', 'R-HSA-9679191', 'R-HSA-9705462', 'R-HSA-9732724', 'R-HSA-982772', 'R-HSA-983231']",76.0,3.0,,,,,,,,,,MOMELOTINIB,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,MOMELOTINIB,False,False
CHEMBL1079742,,,,,,,,,,,,,,ERLOTINIB HYDROCHLORIDE,['Epidermal growth factor receptor erbB1 inhibitor'],C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,1.0,,,,,,ERLOTINIB HYDROCHLORIDE,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,ERLOTINIB HYDROCHLORIDE,False,False
CHEMBL1086218,,,,,,,,,,,,,,VALSPODAR,['P-glycoprotein 1 inhibitor'],C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,1.0,VALSPODAR,Amdray,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1086218,,"bp(MOA:""P-glycoprotein 1 inhibitor"")",VALSPODAR,C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,VALSPODAR,False,True
CHEMBL1089636,,,,,,,,,,,,,,ANG1005,['Tubulin inhibitor'],CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)CCC(=O)NCCCC[C@H](NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)CNC(=O)CNC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](NC(=O)CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CCCCNC(=O)CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc4ccc(O)cc4)C(=O)O)[C@@H](C)O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,1.0,,,,,,ANG1005,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)CCC(=O)NCCCC[C@H](NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)CNC(=O)CNC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](NC(=O)CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CCCCNC(=O)CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc4ccc(O)cc4)C(=O)O)[C@@H](C)O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,ANG1005,False,False
CHEMBL1091,,,,,,,,,,,,,,HYDROCORTISONE ACETATE,['Glucocorticoid receptor agonist'],CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1.0,,,,,,HYDROCORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,HYDROCORTISONE ACETATE,False,False
