chembl_id,drug_name,top_conc_uM,dilution_scheme,concentration_series_uM,logS,logP,hERG_inhibition,AMES_mutagenic
CHEMBL1567,SUNITINIB MALATE,100.0,"10-point, 3-fold",100.0;33.333333;11.111111;3.703704;1.234568;0.411523;0.137174;0.045725;0.015242;0.005081,-0.594,2.24154,0.0,0.0
CHEMBL1278146,FAMITINIB,50.0,"10-point, 3-fold",50.0;16.666667;5.555556;1.851852;0.617284;0.205761;0.068587;0.022862;0.007621;0.00254,-3.45,3.295020000000001,0.0,0.0
CHEMBL522892,DOVITINIB,100.0,"10-point, 3-fold",100.0;33.333333;11.111111;3.703704;1.234568;0.411523;0.137174;0.045725;0.015242;0.005081,-2.89,2.5445,0.0,0.0
CHEMBL608533,MIDOSTAURIN,10.0,"10-point, 3-fold",10.0;3.333333;1.111111;0.37037;0.123457;0.041152;0.013717;0.004572;0.001524;0.000508,-5.99,5.906800000000007,0.0,0.0
CHEMBL1200485,SORAFENIB TOSYLATE,10.0,"10-point, 3-fold",10.0;3.333333;1.111111;0.37037;0.123457;0.041152;0.013717;0.004572;0.001524;0.000508,-5.09,6.791420000000006,0.0,0.0
CHEMBL3545427,CM-082,30.0,"10-point, 3-fold",30.0;10.0;3.333333;1.111111;0.37037;0.123457;0.041152;0.013717;0.004572;0.001524,,,,
CHEMBL576982,QUIZARTINIB,10.0,"10-point, 3-fold",10.0;3.333333;1.111111;0.37037;0.123457;0.041152;0.013717;0.004572;0.001524;0.000508,-5.83,5.856500000000005,0.0,0.0
CHEMBL535,SUNITINIB,100.0,"10-point, 3-fold",100.0;33.333333;11.111111;3.703704;1.234568;0.411523;0.137174;0.045725;0.015242;0.005081,-2.48,3.3349400000000013,1.0,1.0
CHEMBL1946170,REGORAFENIB,10.0,"10-point, 3-fold",10.0;3.333333;1.111111;0.37037;0.123457;0.041152;0.013717;0.004572;0.001524;0.000508,-6.84,5.688800000000002,0.0,0.0
CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,100.0,"10-point, 3-fold",100.0;33.333333;11.111111;3.703704;1.234568;0.411523;0.137174;0.045725;0.015242;0.005081,-2.0,3.560840000000001,0.0,0.0
CHEMBL223360,LINIFANIB,10.0,"10-point, 3-fold",10.0;3.333333;1.111111;0.37037;0.123457;0.041152;0.013717;0.004572;0.001524;0.000508,-5.54,4.903620000000003,0.0,0.0
CHEMBL1336,SORAFENIB,10.0,"10-point, 3-fold",10.0;3.333333;1.111111;0.37037;0.123457;0.041152;0.013717;0.004572;0.001524;0.000508,-6.43,5.549700000000003,0.0,0.0
CHEMBL1721885,SU-014813,100.0,"10-point, 3-fold",100.0;33.333333;11.111111;3.703704;1.234568;0.411523;0.137174;0.045725;0.015242;0.005081,-1.94,1.68624,0.0,1.0
CHEMBL1421,DASATINIB ANHYDROUS,100.0,"10-point, 3-fold",100.0;33.333333;11.111111;3.703704;1.234568;0.411523;0.137174;0.045725;0.015242;0.005081,-2.73,3.313540000000001,0.0,0.0
CHEMBL572881,MOTESANIB,30.0,"10-point, 3-fold",30.0;10.0;3.333333;1.111111;0.37037;0.123457;0.041152;0.013717;0.004572;0.001524,-4.28,4.044100000000002,0.0,0.0
CHEMBL482968,ENMD-2076,30.0,"10-point, 3-fold",30.0;10.0;3.333333;1.111111;0.37037;0.123457;0.041152;0.013717;0.004572;0.001524,-4.6,3.1739200000000016,0.0,0.0
CHEMBL1287853,FEDRATINIB,30.0,"10-point, 3-fold",30.0;10.0;3.333333;1.111111;0.37037;0.123457;0.041152;0.013717;0.004572;0.001524,-3.65,4.823620000000004,0.0,0.0
CHEMBL4297216,FEDRATINIB HYDROCHLORIDE,30.0,"10-point, 3-fold",30.0;10.0;3.333333;1.111111;0.37037;0.123457;0.041152;0.013717;0.004572;0.001524,-3.19,4.842520000000008,0.0,0.0
CHEMBL495727,AT-9283,100.0,"10-point, 3-fold",100.0;33.333333;11.111111;3.703704;1.234568;0.411523;0.137174;0.045725;0.015242;0.005081,-0.99,2.0691,0.0,0.0
CHEMBL477772,PAZOPANIB,100.0,"10-point, 3-fold",100.0;33.333333;11.111111;3.703704;1.234568;0.411523;0.137174;0.045725;0.015242;0.005081,-2.64,3.1390400000000005,0.0,0.0
