chembl_id,drug_name,combined_score,mechanistic_score,ADMET_score,n_targets,n_pathways,n_moas,associated_targets,associated_moas,logS,logP,hERG_inhibition,AMES_mutagenic,n_cyp_inhib
CHEMBL1567,SUNITINIB MALATE,0.9417073905277481,10.620179061748361,1.0,7,65,6,FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,Macrophage colony stimulating factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor,-0.594,2.24154,0.0,0.0,0
CHEMBL1278146,FAMITINIB,0.8930162324550301,10.11891525401196,0.95,6,61,4,FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Vascular endothelial growth factor receptor 2 inhibitor,-3.45,3.295020000000001,0.0,0.0,1
CHEMBL522892,DOVITINIB,0.8930162324550301,10.11891525401196,0.95,6,61,4,FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Vascular endothelial growth factor receptor inhibitor,-2.89,2.5445,0.0,0.0,1
CHEMBL608533,MIDOSTAURIN,0.875,11.427557906278317,0.5000000000000001,16,99,5,FLT3|KDR|KIT|PDGFRA|PDGFRB|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCH|PRKCI|PRKCQ|PRKCZ|PRKD1|PRKD3,Platelet-derived growth factor receptor inhibitor | Protein kinase C (PKC) inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Vascular endothelial growth factor receptor 2 inhibitor,-5.99,5.906800000000007,0.0,0.0,4
CHEMBL1200485,SORAFENIB TOSYLATE,0.8561453964748413,10.473890696352274,0.7000000000000001,8,80,7,BRAF|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET,Platelet-derived growth factor receptor beta inhibitor | Serine/threonine-protein kinase B-raf inhibitor | Serine/threonine-protein kinase RAF inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor,-5.09,6.791420000000006,0.0,0.0,0
CHEMBL3545427,CM-082,0.790798272534178,9.222542417484437,0.8,4,54,4,FLT3|KDR|KIT|PDGFRB,Platelet-derived growth factor receptor beta inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Vascular endothelial growth factor receptor 2 inhibitor,,,,,0
CHEMBL576982,QUIZARTINIB,0.7815427006916742,9.61374044372932,0.65,5,57,5,FLT3|KIT|PDGFRA|PDGFRB|RET,Macrophage colony stimulating factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Tyrosine-protein kinase receptor RET inhibitor,-5.83,5.856500000000005,0.0,0.0,1
CHEMBL535,SUNITINIB,0.7792073905277481,10.620179061748361,0.35,7,65,6,FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,Macrophage colony stimulating factor receptor inhibitor | Platelet-derived growth factor receptor beta inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase receptor FLT3 inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor 2 inhibitor,-2.48,3.3349400000000013,1.0,1.0,1
CHEMBL1946170,REGORAFENIB,0.7621283529278683,9.171712381257107,0.7000000000000001,9,76,8,ABL1|BRAF|FLT4|KDR|KIT|PDGFRA|PDGFRB|RAF1|RET,Ephrin type-A receptor 2 inhibitor | Platelet-derived growth factor receptor inhibitor | Serine/threonine-protein kinase B-raf inhibitor | Serine/threonine-protein kinase RAF inhibitor | Stem cell growth factor receptor inhibitor | Tyrosine-protein kinase ABL inhibitor | Tyrosine-protein kinase receptor RET inhibitor | Vascular endothelial growth factor receptor inhibitor,-6.84,5.688800000000002,0.0,0.0,0
CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,0.7332520003889567,7.732978204726979,1.0,5,38,4,FLT4|KDR|KIT|PDGFRA|PDGFRB,Macrophage colony stimulating factor receptor inhibitor | Platelet-derived growth factor receptor inhibitor | Stem cell growth factor receptor inhibitor | Vascular endothelial growth factor receptor inhibitor,-2.0,3.560840000000001,0.0,0.0,0
