chembl_id,drug_name_canonical,smiles_canonical,protein_genes,protein_pairs,pathways,pathway_pairs,pathway_genes,moa_terms,moa_pairs,evidence_sources_count,aml_known_drug_flag,preferred_name_chembl,trade_names_chembl,url,known_targets_chembl,known_mechanisms_chembl,Solubility_logS,Solubility_logS_lower_bound,Solubility_logS_upper_bound,Solubility_Capped_logS_lower_bound,Solubility_Capped_logS_upper_bound,Lipophilicity,CYP3A4_p0,CYP3A4_p1,CYP3A4,CYP2C19_p0,CYP2C19_p1,CYP2C19,CYP2D6_p0,CYP2D6_p1,CYP2D6,CYP1A2_p0,CYP1A2_p1,CYP1A2,CYP2C9_p0,CYP2C9_p1,CYP2C9,PGP_p0,PGP_p1,PGP,hERG_p0,hERG_p1,hERG,AMES_p0,AMES_p1,AMES,PAMPA_p0,PAMPA_p1,PAMPA,BBB_p0,BBB_p1,BBB,mech_subscore,exp_subscore,clin_subscore,admet_subscore,tract_subscore,overall_score
CHEMBL608533,MIDOSTAURIN,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,16,16,99,274,16,1,1,3,True,MIDOSTAURIN,Rydapt,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL608533,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:PRKD3); p(HGNC:KDR),"bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor""); bp(MOA:""Stem cell growth factor receptor inhibitor""); bp(MOA:""Platelet-derived growth factor receptor inhibitor"")",-5.99,-6.66,-5.31,-6.66,-5.31,5.906800000000007,0.102,0.475,1.0,0.0234,0.854,1.0,0.116,0.45,1.0,0.0756,0.452,1.0,0.66,0.0567,0.0,0.171,0.196,0.5,0.476,0.112,0,0.303,0.114,0,0.79,0.0276,0.0,0.112,0.529,1.0,1.0,1.0,0.8,0.2525740201567745,0.635498320268757,0.8770323180291153
CHEMBL1200485,SORAFENIB TOSYLATE,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,8,8,80,202,8,1,1,3,True,SORAFENIB TOSYLATE,Nexavar; Sorafenib accord,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1200485,p(HGNC:RAF1); p(HGNC:PDGFRB); p(HGNC:KIT); p(HGNC:FLT3); p(HGNC:BRAF),"bp(MOA:""Serine/threonine-protein kinase RAF inhibitor""); bp(MOA:""Platelet-derived growth factor receptor beta inhibitor""); bp(MOA:""Stem cell growth factor receptor inhibitor"")",-5.09,-5.92,-4.26,-5.92,-4.26,6.791420000000006,0.336,0.19,0.0,0.299,0.179,0.0,0.526,0.118,0.0,0.67,0.0306,0.0,0.803,0.0272,0.0,0.388,0.148,0,0.913,0.0185,0,0.99,0.00263,0,0.073,0.884,1.0,0.135,0.491,1.0,0.879176395707317,1.0,0.8,0.5550111982082867,0.6657334826427772,0.8483759918066259
CHEMBL1750,CLOFARABINE,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,11,11,22,146,11,1,1,3,True,CLOFARABINE,Clolar; Evoltra; Ivozall,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1750,p(HGNC:POLA1),"bp(MOA:""Ribonucleoside-diphosphate reductase RR1 inhibitor""); bp(MOA:""DNA inhibitor""); bp(MOA:""DNA polymerase (alpha/delta/epsilon) inhibitor"")",-1.37,-2.04,-0.704,-2.04,-0.704,-0.3494000000000002,0.625,0.0649,0.0,0.439,0.108,0.0,0.455,0.144,0.0,0.65,0.027,0.0,0.542,0.0912,0.0,0.883,0.00205,0,0.967,0.006,0,0.313,0.11,0,0.924,0.000775,0.0,0.14,0.367,1.0,0.8234712742913373,1.0,0.8,0.5810740341545353,0.7907054871220605,0.8293783149172251
CHEMBL1096882,FLUDARABINE PHOSPHATE,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,11,11,22,146,11,1,1,3,True,FLUDARABINE PHOSPHATE,Fludara; Fludarabine phosphate; Oforta,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1096882,p(HGNC:POLA1),"bp(MOA:""Ribonucleoside-diphosphate reductase RR1 inhibitor""); bp(MOA:""DNA polymerase (alpha/delta/epsilon) inhibitor"")",-0.481,-1.29,0.328,-1.29,0.328,-1.7239000000000009,0.686,0.0472,0.0,0.454,0.105,0.0,0.337,0.232,0.5,0.962,0.00289,0.0,0.102,0.496,1.0,0.932,0.0161,0,0.903,0.0194,0,0.836,0.017,0,0.994,0.00608,0.0,0.201,0.289,0.5,0.8234712742913373,1.0,0.8,0.4657143966965285,0.8205711086226204,0.8193356322464524
CHEMBL803,CYTARABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,11,11,22,146,11,1,1,3,True,CYTARABINE,Alexan; Alexan 100; Cytarabine; Cytarabine component of vyxeos; Cytosar; Cytosar-u; Depocyt; Depocyte; Tarabine pfs,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL803,p(HGNC:POLA1),"bp(MOA:""DNA inhibitor""); bp(MOA:""RNA inhibitor""); bp(MOA:""DNA polymerase (alpha/delta/epsilon) inhibitor"")",-1.64,-2.58,-0.693,-2.58,-0.693,-2.563,0.762,0.0345,0.0,0.713,0.0421,0.0,0.741,0.0575,0.0,0.875,0.0056,0.0,0.356,0.188,0.0,0.744,0.0494,0,0.823,0.0274,0,0.599,0.0545,0,0.985,0.00442,0.0,0.129,0.509,1.0,0.8234712742913373,1.0,0.8,0.47262038073908175,0.7816349384098544,0.8180794221400695
CHEMBL1642,IMATINIB MESYLATE,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,4,4,46,87,4,1,1,3,True,IMATINIB MESYLATE,Gleevec; Glivec; Imatinib accord; Imatinib actavis; Imatinib koanaa; Imatinib medac; Imatinib mesylate; Imatinib teva; Imatinib teva b.v.,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1642,p(HGNC:ABL1); p(HGNC:PDGFRB); p(HGNC:KIT),"bp(MOA:""Tyrosine-protein kinase ABL inhibitor""); bp(MOA:""Platelet-derived growth factor receptor beta inhibitor""); bp(MOA:""Stem cell growth factor receptor inhibitor"")",1.52,0.82,2.22,0.82,2.14,4.094320000000002,0.706,0.0398,0.0,0.994,0.000625,0.0,0.839,0.036,0.0,0.649,0.0284,0.0,0.754,0.024,0.0,0.315,0.147,0,0.232,0.22,0.5,0.953,0.0073,0,0.132,0.691,1.0,0.0577,0.724,1.0,0.7390255334836359,1.0,0.8,0.7880264725643896,0.8877939529675252,0.8127051116466332
CHEMBL1421,DASATINIB ANHYDROUS,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,4,4,46,87,4,1,1,3,True,DASATINIB ANHYDROUS,Dasatinib accord; Dasatinib accordpharma,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1421,p(HGNC:ABL1); p(HGNC:PDGFRB); p(HGNC:KIT),"bp(MOA:""Tyrosine-protein kinase ABL inhibitor""); bp(MOA:""Platelet-derived growth factor receptor beta inhibitor""); bp(MOA:""Stem cell growth factor receptor inhibitor"")",-2.73,-3.23,-2.22,-3.23,-2.22,3.313540000000001,0.213,0.311,0.5,0.827,0.0223,0.0,0.656,0.0812,0.0,0.325,0.125,0.0,0.0394,0.692,1.0,0.215,0.177,0.5,0.639,0.0744,0,0.411,0.0745,0,0.179,0.535,1.0,0.113,0.56,1.0,0.7390255334836359,1.0,0.8,0.7066635484322508,0.74501679731243,0.7974299614506645
CHEMBL576982,QUIZARTINIB,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,5,5,57,142,5,1,1,3,True,QUIZARTINIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL576982,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:RET),"bp(MOA:""Macrophage colony stimulating factor receptor inhibitor""); bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor""); bp(MOA:""Stem cell growth factor receptor inhibitor"")",-5.83,-6.61,-5.05,-6.61,-5.05,5.856500000000005,0.857,0.0185,0.0,0.439,0.122,0.0,0.982,0.00284,0.0,0.2,0.223,0.5,0.162,0.398,1.0,0.714,0.0485,0,0.671,0.0609,0,0.808,0.0193,0,0.961,0.00409,0.0,0.066,0.666,1.0,0.7858766913502775,1.0,0.49999999999999994,0.3526032684770434,0.6408734602463606,0.735242345535161
CHEMBL3301603,GILTERITINIB FUMARATE,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1.CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1.O=C(O)/C=C/C(=O)O,2,2,28,56,2,1,1,3,True,GILTERITINIB FUMARATE,Xospata,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3301603,p(HGNC:FLT3); p(HGNC:AXL),"bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor""); bp(MOA:""Tyrosine-protein kinase receptor UFO inhibitor"")",-3.17,-3.61,-2.73,-3.61,-2.73,5.106200000000014,1.0,0.00221,0.0,0.19,0.3,1.0,0.616,0.111,0.0,1.0,0.00194,0.0,0.998,0.00278,0.0,0.775,0.0454,0,0.584,0.0817,0,0.957,0.00606,0,0.276,0.403,0.5,0.0232,0.971,1.0,0.616425106278367,1.0,0.8,0.5422496780515109,0.7302351623740202,0.7189492790630355
CHEMBL3678958,RUSERONTINIB,CC(C)n1c(Nc2cccnc2)nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,2,2,40,80,2,1,1,3,True,RUSERONTINIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3678958,p(HGNC:FLT3); p(HGNC:ABL1),"bp(MOA:""Epidermal growth factor receptor erbB1 inhibitor""); bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor""); bp(MOA:""Tyrosine-protein kinase ABL inhibitor"")",-2.33,-3.39,-1.28,-3.39,-1.28,4.041200000000003,0.708,0.0535,0.0,0.688,0.0416,0.0,0.149,0.381,1.0,0.893,0.00626,0.0,0.926,0.00747,0.0,0.553,0.112,0,0.506,0.104,0,0.479,0.0746,0,0.077,0.885,1.0,0.248,0.169,0.0,0.6446428060830809,1.0,0.49999999999999994,0.7002735442329225,0.758454647256439,0.7052714898276545
