chembl_id,drug_name,overall_score,mech_subscore,exp_subscore,clin_subscore,admet_subscore,protein_genes,pathways,moa_terms,evidence_sources_count,Solubility_logS,Lipophilicity,hERG,AMES,PGP,CYP3A4,CYP2D6,CYP2C9,CYP1A2,CYP2C19,PAMPA,BBB,top_uM,ic50_series_uM,rationale
CHEMBL1567,SUNITINIB MALATE,0.6552869238454769,0.8432918658880421,0.6,0.0,0.7280224510078387,7,65,1,3,-0.594,2.24154,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,"3,1,0.333333,0.111111,0.037037,0.0123457,0.00411523,0.00137174,0.000457247,0.000152416","Supported by KG evidence: proteins=7, pathways=65, MoA terms=1. Mechanism: KG-linked to AML pathways/targets"
CHEMBL1946170,REGORAFENIB,0.6457867793037975,0.8922209326277518,0.6,0.0,0.49329168533034695,9,76,1,3,-6.84,5.688800000000002,0,0,1,0.0,0.0,0.0,0.5,0.0,1.0,1.0,3,"3,1,0.333333,0.111111,0.037037,0.0123457,0.00411523,0.00137174,0.000457247,0.000152416","Supported by KG evidence: proteins=9, pathways=76, MoA terms=1. Mechanism: KG-linked to AML pathways/targets"
CHEMBL535,SUNITINIB,0.6440892320761599,0.8432918658880421,0.6,0.0,0.6477252645576707,7,65,1,3,-2.48,3.3349400000000013,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,"3,1,0.333333,0.111111,0.037037,0.0123457,0.00411523,0.00137174,0.000457247,0.000152416","Supported by KG evidence: proteins=7, pathways=65, MoA terms=1. Mechanism: KG-linked to AML pathways/targets"
CHEMBL522892,DOVITINIB,0.6359836226007058,0.8164344694455324,0.6,0.0,0.707843050111982,6,61,1,3,-2.89,2.5445,0,0,0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,3,"3,1,0.333333,0.111111,0.037037,0.0123457,0.00411523,0.00137174,0.000457247,0.000152416","Supported by KG evidence: proteins=6, pathways=61, MoA terms=1. Mechanism: KG-linked to AML pathways/targets"
CHEMBL1278146,FAMITINIB,0.6336297986925311,0.8164344694455324,0.6,0.0,0.6937113059910415,6,61,1,3,-3.45,3.295020000000001,0,0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,1.0,3,"3,1,0.333333,0.111111,0.037037,0.0123457,0.00411523,0.00137174,0.000457247,0.000152416","Supported by KG evidence: proteins=6, pathways=61, MoA terms=1. Mechanism: KG-linked to AML pathways/targets"
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,0.624220572755971,0.8234712742913373,0.6,0.0,0.5239534994400896,11,22,1,3,-1.04,-0.8668,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,50,"50,16.6667,5.55556,1.85185,0.617284,0.205761,0.0685871,0.0228624,0.00762079,0.00254026","Supported by KG evidence: proteins=11, pathways=22, MoA terms=1. Mechanism: KG-linked to AML pathways/targets"
CHEMBL256997,ATALUREN,0.6207516169429513,0.9096096686563395,0.39999999999999997,0.0,0.5212259448488241,18,202,0,2,-4.77,3.240900000000001,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20,"20,6.66667,2.22222,0.740741,0.246914,0.0823045,0.0274348,0.00914495,0.00304832,0.00101611","Supported by KG evidence: proteins=18, pathways=202, MoA terms=0. Mechanism: KG-linked to AML pathways/targets"
CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,0.6120459600972165,0.753535230944713,0.6,0.0,0.7680130095184771,5,38,1,3,-2.0,3.560840000000001,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,"3,1,0.333333,0.111111,0.037037,0.0123457,0.00411523,0.00137174,0.000457247,0.000152416","Supported by KG evidence: proteins=5, pathways=38, MoA terms=1. Mechanism: KG-linked to AML pathways/targets"
CHEMBL572881,MOTESANIB,0.60164252552049,0.7866148564721109,0.6,0.0,0.5368784084546471,6,42,1,3,-4.28,4.044100000000002,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,"3,1,0.333333,0.111111,0.037037,0.0123457,0.00411523,0.00137174,0.000457247,0.000152416","Supported by KG evidence: proteins=6, pathways=42, MoA terms=1. Mechanism: KG-linked to AML pathways/targets"
CHEMBL4297744,ELX-02,0.5998048343281698,0.9096096686563395,0.39999999999999997,0.0,0.5,18,202,0,2,,,,,,,,,,,,,20,"20,6.66667,2.22222,0.740741,0.246914,0.0823045,0.0274348,0.00914495,0.00304832,0.00101611","Supported by KG evidence: proteins=18, pathways=202, MoA terms=0. Mechanism: KG-linked to AML pathways/targets"
