drug_name,category,mechanism,test_range_start,test_range_end,unit,additional_notes,_name_norm,_in_known,chembl_id
Sunitinib,Multikinase inhibitor,"Inhibits FLT3, KIT, and VEGFR family kinases",1.0,10000.0,nM,Reported activity in FLT3‑mutant AML cell lines,sunitinib,False,CHEMBL597365
Dasatinib,Src/Abl kinase inhibitor,Inhibits Src family and ABL kinases and multiple other tyrosine kinases,0.5,5000.0,nM,CML drug; activity reported in some FLT3‑mutant AML and other AML subsets,dasatinib,False,CHEMBL1421
Nilotinib,BCR‑ABL / KIT inhibitor,Inhibits BCR‑ABL and KIT tyrosine kinases,1.0,10000.0,nM,May target oncogenic tyrosine kinases implicated in specific AML subtypes,nilotinib,False,CHEMBL255863
Navitoclax,BCL‑2/BCL‑XL/BCL‑W inhibitor,"Inhibits anti‑apoptotic BCL‑2 family proteins BCL‑2, BCL‑XL, and BCL‑W",0.5,5000.0,nM,Also known as ABT‑263; potent apoptosis inducer in AML cell lines; tool and repurposing candidate,navitoclax,False,CHEMBL2105690
Ruxolitinib,JAK1/2 inhibitor,"Inhibits JAK1 and JAK2, blocking JAK‑STAT signaling",1.0,10000.0,nM,Approved for myelofibrosis and polycythemia vera; JAK‑STAT pathway activated in subsets of AML,ruxolitinib,False,CHEMBL1287854
Tofacitinib,JAK inhibitor,"Inhibits JAK family kinases, reducing JAK/STAT pathway signaling",10.0,20000.0,nM,Approved for rheumatoid arthritis; candidate for combinatorial or repurposing screens in AML,tofacitinib,False,CHEMBL2103743
Ibrutinib,BTK inhibitor,Irreversibly inhibits Bruton's tyrosine kinase (BTK) and affects other kinases off‑target,10.0,20000.0,nM,Approved for CLL and MCL; off‑target kinome profile hits multiple kinases in myeloid cells; some activity reported in myeloid malignancies and AML stem‑cell–like populations,ibrutinib,False,CHEMBL1873475
Everolimus,mTORC1 inhibitor,"Inhibits mTORC1, suppressing mTOR‑dependent cell growth and proliferation",0.5,5000.0,nM,Approved for solid tumors and tuberous sclerosis complex; mTOR signaling often hyperactive in AML; antiproliferative effects in AML cell lines,everolimus,False,CHEMBL1908360
Temsirolimus,mTOR inhibitor,"Inhibits mTOR signaling, reducing protein synthesis and cell growth",1.0,10000.0,nM,"Approved for renal cell carcinoma; reported activity in AML cells, including in combinations",temsirolimus,False,CHEMBL1201182
Panobinostat,Pan‑HDAC inhibitor,"Broadly inhibits class I/II HDACs, causing strong epigenetic modulation",1.0,5000.0,nM,Approved for multiple myeloma; very potent with strong epigenetic effects in AML cell lines; synergizes with other agents,panobinostat,False,CHEMBL483254
Bortezomib,Proteasome inhibitor,"Reversibly inhibits the 26S proteasome, disrupting protein degradation and inducing apoptosis",0.5,1000.0,nM,"Approved for multiple myeloma; induces apoptosis in AML cell lines, including FLT3‑mutant; affects NF‑κB and protein homeostasis",bortezomib,False,CHEMBL325041
Carfilzomib,Proteasome inhibitor,"Irreversibly inhibits the proteasome, blocking protein degradation and triggering apoptosis",1.0,2000.0,nM,Second‑generation irreversible proteasome inhibitor; reported cytotoxicity in AML preclinical models,carfilzomib,False,CHEMBL451887
Disulfiram,ALDH inhibitor and pleiotropic small molecule,Inhibits ALDH and also interferes with NF‑κB/proteasome activity and ROS handling,50.0,10000.0,nM,"Alcohol aversion drug; AML (including stem‑like cells) often ALDH‑high; disulfiram plus copper (Cu²⁺, e.g., CuCl₂) has preclinical activity in AML cell lines; recommended Cu²⁺ kept constant at ~0.5–2 µM across wells",disulfiram,False,CHEMBL964
