rank,compound_name,chembl_id,priority_hits_count,composite_score,cp_best_score,cp_best_conc_uM,flag_cp_top150,cp_norm,ab_best_infection,ab_best_conc_uM,flag_ab_lt60,ab_norm,cpe_best_inhib,cpe_best_conc_uM,flag_cpe_gt15,cpe_norm,cpe_min_viability,cpe_viability_at_best,flag_cytotox_strong,flag_cytotox_moderate,flag_ab_good_but_cytotox,flag_cp_only,flag_ab_only,flag_cpe_only,flag_cpe_best_at_max_conc,assay_discordance,confounder_notes,discrepancy_explanation,cp_n,ab_n,cpe_n
101,amlodipine,CHEMBL1491,2,0.7522630354719907,0.697116805352426,10.0,True,0.9912773793370808,47.0,10.0,True,0.9843962008141113,1.37,0.1,False,0.3162434580345028,84.77747741,91.10545751,False,False,False,False,False,False,False,0.38775985549712627,,Multi-assay support (>=2 priority criteria met).,1,1,5
103,duloxetine,CHEMBL1175,2,0.7258625702655553,0.746942238487353,10.0,True,0.9947664276022485,47.0,10.0,True,0.9843962008141113,0.92,0.1,False,0.2383213801124249,90.96407586,100.6002484,False,False,False,False,False,False,False,0.43377111659656264,,Multi-assay support (>=2 priority criteria met).,1,1,5
104,chloroquine,CHEMBL76,2,0.6951250242295018,0.553941756275188,10.0,True,0.9813917425857724,57.5,10.0,True,0.9792595464237255,0.51,0.1,False,0.16592362861019577,100.8955099,104.468705,False,False,False,False,False,False,False,0.47019643171355063,,Multi-assay support (>=2 priority criteria met).,1,1,5
105,suloctidil,CHEMBL1520837,2,0.6926633068424114,0.833940290322619,10.0,True,0.997867803837953,21.5,10.0,True,0.9962201977127351,0.21,0.83333,False,0.12773793370808295,92.97044548,98.2789713,False,False,False,False,False,False,False,0.5018947679193343,,Multi-assay support (>=2 priority criteria met).,1,1,5
107,STA-5326,CHEMBL4297643,2,0.644449544917581,-0.333719615906638,10.0,False,0.0067842605156037995,43.5,10.0,True,0.9855592169025005,26.76,0.1,True,0.9784842023647994,42.42412888,93.83884077,True,False,True,False,False,False,False,0.5630647162435549,Strong cytotoxicity in non-infected cells (min viability <70%); Low infection rate but low viability suggests apparent antiviral signal may be driven by cell loss,Multi-assay support (>=2 priority criteria met).,1,1,5
184,NVP-BHG712,CHEMBL3752910,1,0.7762841635975964,-0.061302510610007,10.0,False,0.19228532661368483,74.0,10.0,False,0.963171157201008,28.14,10.0,True,0.9798410544679201,96.45516101,107.6972052,False,False,False,False,False,True,True,0.44996053044521045,CPE protection without AB/CP support: could be host-cell protection downstream of infection or assay artifact; CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,"Discordant profile: strongest relative signal in CPE, weakest in CP. CPE protection without lowered infection could indicate mitigation of downstream cytotoxicity (e.g., anti-inflammatory/cytoprotective) rather than blocking replication.",1,1,5
209,aztreonam,CHEMBL158,1,0.7261097111843381,-0.044717867859542,10.0,False,0.22678813723589844,94.0,10.0,False,0.8244814886605931,19.97,0.00833,True,0.9703430897460749,92.98795409,95.1633888,False,False,False,False,False,True,False,0.3939938486006506,CPE protection without AB/CP support: could be host-cell protection downstream of infection or assay artifact,"Discordant profile: strongest relative signal in CPE, weakest in CP. CPE protection without lowered infection could indicate mitigation of downstream cytotoxicity (e.g., anti-inflammatory/cytoprotective) rather than blocking replication.",1,1,5
216,JW-642,CHEMBL3356976,1,0.7045987594495058,-0.14249097139172,10.0,False,0.078309749951541,24.5,10.0,True,0.9941849195580539,4.7,0.00833,False,0.8209924403954255,90.52007574,106.2210664,False,False,False,False,True,False,False,0.48655259048144406,AB antiviral signal without CP/CPE support: could be assay-specific interference or effect on antibody readout,"Discordant profile: strongest relative signal in AB, weakest in CP. May reflect differences in assay sensitivity, dynamic range, or timepoint readouts.",1,1,5
219,BAN-ORL-24,CHEMBL201945,1,0.6941267687536344,0.505504032419514,10.0,True,0.9757704981585579,63.5,10.0,False,0.9751889901143632,0.56,10.0,False,0.1717387090521419,91.59709947,99.49363548,False,False,False,True,False,False,True,0.46404019405367464,Morphology rescue (top 150) without supporting AB/CPE efficacy: possible morphological modulation unrelated to viral suppression,"Discordant profile: strongest relative signal in CP, weakest in CPE. Morphology rescue without infection reduction suggests host morphology modulation or imaging artifact.",1,1,5
225,fluoxetine,CHEMBL41,1,0.6815177359953479,0.538858975503185,10.0,True,0.9802287264973832,66.0,10.0,False,0.9734444659817794,0.27,0.00833,False,0.13452219422368675,88.62475455,98.32719751,False,False,False,True,False,False,False,0.486322277057252,Morphology rescue (top 150) without supporting AB/CPE efficacy: possible morphological modulation unrelated to viral suppression,"Discordant profile: strongest relative signal in CP, weakest in CPE. Morphology rescue without infection reduction suggests host morphology modulation or imaging artifact.",1,1,5
