compound_name,chembl_id,is_AB_hit,infection rate (%)
(-)-Huperzine A,CHEMBL395280,False,108.0
"1,12-Besm",CHEMBL18794,False,80.5
"1,2,3,4,5,6-hexabromocyclohexane",CHEMBL444236,False,85.0
"1,3-dipropyl-8-phenylxanthine",CHEMBL158507,False,103.5
"1,4-butanediol",CHEMBL171623,False,105.0
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",CHEMBL3306352,False,99.0
"1-(1,2-diphenylethyl)piperidine-(+/-)",CHEMBL4303426,False,69.0
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,CHEMBL4303224,False,95.5
1-EBIO,CHEMBL452887,False,92.5
1-acetyl-4-methylpiperazine,CHEMBL575239,False,102.5
1-azakenpaullone,CHEMBL336961,False,91.5
1-deoxymannojirimycin,CHEMBL84844,False,101.5
1-ethyl-2-pyrrolidone,CHEMBL12221,False,103.5
1-hexadecanal,CHEMBL1235338,False,100.0
1-hexadecanol,CHEMBL706,False,110.0
1-naphthyl-PP1,CHEMBL264406,False,96.5
1-octacosanol,CHEMBL1951714,False,100.0
1-phenylbiguanide,CHEMBL13791,False,86.5
10-DEBC,CHEMBL1398474,False,93.0
10-deacetylbaccatin,CHEMBL393912,False,109.0
10-hydroxycamptothecin,CHEMBL273862,False,103.0
10058-F4,CHEMBL1568415,False,92.5
1400W,CHEMBL107251,False,107.0
17-PA,CHEMBL4303423,False,104.0
17-alpha-Methyltestosterone,CHEMBL1395,False,108.5
17-hydroxyprogesterone-caproate,CHEMBL1200848,False,85.5
"1S,2R-phenylpropanolamine",CHEMBL2092846,False,113.5
2'-MeCCPA,CHEMBL251997,False,102.0
"2,3-DCPE",CHEMBL1356094,False,111.5
"2,3-cis/exo-pinanediol",CHEMBL4303395,False,95.5
"2,4-dinitrophenol",CHEMBL273386,False,97.5
"2,5-furandimethanol",CHEMBL4303433,False,112.5
2-(1-adamantylamino)benzoic-acid,CHEMBL4303278,False,101.0
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",CHEMBL4303207,False,103.5
2-APB,CHEMBL169233,False,101.5
2-BFI,CHEMBL404505,False,106.5
2-CMDO,CHEMBL90882,False,106.0
2-PMDQ,CHEMBL71492,False,93.0
2-TEDC,CHEMBL37081,False,107.5
2-[1-(4-piperonyl)piperazinyl]benzothiazole,CHEMBL24909,False,102.0
2-aminobenzenesulfonamide,CHEMBL6705,False,108.0
2-chloro-N6-cyclopentyladenosine,CHEMBL284969,False,95.0
