compound_name,chembl_id
BMS-566419,CHEMBL229008
maltobionic-acid,CHEMBL3039602
hydroxyzine,CHEMBL896
safinamide,CHEMBL396778
YC-1,CHEMBL333985
doxycycline,CHEMBL1433
trifluridine,CHEMBL1129
4-carboxy-3-hydroxyphenylglycine-(RS),CHEMBL1357932
difloxacin,CHEMBL6259
GLPG0492-R-enantiomer,CHEMBL2178101
atrasentan,CHEMBL9194
sapropterin,CHEMBL1201774
regadenoson,CHEMBL317052
MK-2461,CHEMBL1822792
diminazene-aceturate,CHEMBL35241
SB-206553,CHEMBL297784
SKF-81297,CHEMBL353335
candesartan-cilexetil,CHEMBL1014
disopyramide,CHEMBL517
efaproxiral,CHEMBL18901
rivastigmine,CHEMBL636
deslanoside,CHEMBL1614
mafenide,CHEMBL419
CKD-712,CHEMBL5863227
coumophos,CHEMBL251680
triclosan,CHEMBL849
amcinonide,CHEMBL1200732
tolbutamide,CHEMBL782
Brivaracetam,CHEMBL607400
isbufylline,CHEMBL1453416
GSK9027,CHEMBL1086484
3-deazaneplanocin-A,CHEMBL154745
eterobarb,CHEMBL327407
bleomycetin,CHEMBL6067679
famotidine,CHEMBL902
VUF11207,CHEMBL2013230
ellagic-acid,CHEMBL6246
ceftibuten,CHEMBL1605
baicalin,CHEMBL485818
xamoterol,CHEMBL75753
ACPC,CHEMBL265325
JTC-801,CHEMBL531742
CI-976,CHEMBL22373
PF-03814735,CHEMBL4289017
WAY-200070,CHEMBL188528
2-deoxyglucose,CHEMBL2074932
SB-258585,CHEMBL60264
empagliflozin,CHEMBL2107830
LDN-209929,CHEMBL4303455
nor-binaltorphimine,CHEMBL573214
meclofenoxate,CHEMBL64545
DC-260126,CHEMBL3931570
SNC-80,CHEMBL13470
telaprevir,CHEMBL231813
titanocene-dichloride,CHEMBL4303407
GW-2580,CHEMBL261849
xylose,CHEMBL1236821
macelignan,CHEMBL254071
ICG-001,CHEMBL2312139
pirlindole,CHEMBL32350
BIX-01294,CHEMBL569864
LX1031,CHEMBL4303338
Ro-60-0175,CHEMBL76781
ARQ-092,CHEMBL4297188
etoposide,CHEMBL44657
DMP-543,CHEMBL343822
vipadenant,CHEMBL447664
Oxymetholone,CHEMBL1200585
SB-705498,CHEMBL207433
SB-239063,CHEMBL256835
dexfenfluramine,CHEMBL248702
MK-2295,CHEMBL214796
SB-399885,CHEMBL1210710
pipobroman,CHEMBL1585
EXO-1,CHEMBL250428
midodrine,CHEMBL1201212
oxaprozin,CHEMBL1071
4-iodo-L-phenylalanine,CHEMBL1235284
carebastine,CHEMBL67654
PP242,CHEMBL1241674
mizolastine,CHEMBL94454
lapatinib,CHEMBL554
dibenzothiophene,CHEMBL219828
setipiprant,CHEMBL2386081
ethisterone,CHEMBL241694
ameltolide,CHEMBL22916
Salinomycin (Procoxacin),CHEMBL2135651
MK-5046,CHEMBL1672354
pregnenolone,CHEMBL253363
camphor-(+),CHEMBL15768
difenpiramide,CHEMBL1489662
HEMADO,CHEMBL260563
azilsartan-medoxomil,CHEMBL2028661
TC-S-7005,CHEMBL522618
GDC-0152,CHEMBL2063869
SYM-2206,CHEMBL114898
tandospirone,CHEMBL274047
UAMC-00039,CHEMBL98869
perhexiline,CHEMBL75880
BMS-833923,CHEMBL3545403
ciglitazone,CHEMBL7002
sanguinarium-chloride,CHEMBL417799
PF-4981517,CHEMBL3527048
peramivir,CHEMBL139367
R-59022,CHEMBL259388
CCT128930,CHEMBL263664
clodronic-acid,CHEMBL12318
GYKI-52466,CHEMBL275006
omarigliptin,CHEMBL2105762
ispinesib,CHEMBL228814
benzalkonium,CHEMBL1187417
succinylsulfathiazole,CHEMBL1484857
revaprazan,CHEMBL1618279
hesperetin,CHEMBL399121
estropipate,CHEMBL1200980
ICI-192605,CHEMBL4751326
L-161982,CHEMBL1179743
taranabant,CHEMBL220360
etodolac,CHEMBL622
VS-4718,CHEMBL3040440
5-iodo-A-85380,CHEMBL123433
GW-842166,CHEMBL225411
dacarbazine,CHEMBL476
fexofenadine,CHEMBL914
todralazine,CHEMBL1079787
ODQ,CHEMBL598952
proflavine-hemisulfate,CHEMBL55400
NSC-4644,CHEMBL23236
LY2109761,CHEMBL260015
ibudilast,CHEMBL19449
L-733060,CHEMBL27006
faropenem-medoxomil,CHEMBL1257070
JW-67,CHEMBL1459534
ginsenoside-RE3,CHEMBL1095008
lirimilast,CHEMBL1922282
Proxyphylline,CHEMBL37390
SB-203186,CHEMBL1255781
hetacillin,CHEMBL1201116
piperidolate,CHEMBL1623992
sodium-nitrite,CHEMBL93268
kynurenic-acid,CHEMBL299155
BMS-688521,CHEMBL1098726
olmesartan-medoxomil,CHEMBL1200692
proglumide,CHEMBL316561
oxytocin,CHEMBL395429
prolylleucylglycinamide,CHEMBL317488
verteporfin,CHEMBL5314346
LY2228820,CHEMBL2364627
ampalex,CHEMBL136800
TAK-285,CHEMBL1614725
efavirenz,CHEMBL223228
2-chloroadenosine,CHEMBL285819
oxybuprocaine,CHEMBL1200
geldanamycin,CHEMBL278315
beta-lapachone,CHEMBL15192
imipenem,CHEMBL148
voxtalisib,CHEMBL3545366
1-azakenpaullone,CHEMBL336961
S-07662,CHEMBL4303710
ML281,CHEMBL2204239
oleoylethanolamide,CHEMBL280065
amfepramone,CHEMBL1194666
colfosceril-palmitate,CHEMBL1200737
bakuchiol,CHEMBL262344
caffeic-acid-phenethyl-ester,CHEMBL319244
pralatrexate,CHEMBL1201746
MM77,CHEMBL279841
cabozantinib,CHEMBL2105717
AGI-5198,CHEMBL2180727
BMS-863233,CHEMBL2030402
hydroxystilbamidine,CHEMBL1301
valnemulin,CHEMBL1688852
PNU-142633,CHEMBL441095
fluoxetine,CHEMBL41
meglumine,CHEMBL1200570
WZ4003,CHEMBL4303523
gliquidone,CHEMBL383634
SB-2343,CHEMBL3393066
silymarin,CHEMBL5308485
mitomycin-C,CHEMBL105
pioglitazone,CHEMBL595
RX-821002,CHEMBL10332
quinagolide,CHEMBL5316219
dimaprit,CHEMBL12344
inositol,CHEMBL1222251
UNC0638,CHEMBL1231795
olvanil,CHEMBL76903
LDN-27219,CHEMBL179945
ESI-09,CHEMBL3260990
cilostazol,CHEMBL799
GP2a,CHEMBL216735
rebamipide,CHEMBL1697771
dizocilpine-(-),CHEMBL132153
flunarizine,CHEMBL30008
telbivudine,CHEMBL374731
benzoyl-peroxide,CHEMBL1200370
agmatine,CHEMBL58343
iohexol,CHEMBL1200455
U-0521,CHEMBL353187
FRAX486,CHEMBL3609326
AG-555,CHEMBL53898
parbendazole,CHEMBL528271
afimoxifene,CHEMBL489
minoxidil,CHEMBL1372483
CZC24832,CHEMBL2064571
salirasib,CHEMBL23293
BAY-61-3606,CHEMBL541400
ribociclib,CHEMBL3545110
2-iodomelatonin,CHEMBL289233
CC-223,CHEMBL3586404
flumazenil,CHEMBL407
GS-6201,CHEMBL260933
OR-486,CHEMBL168276
biotin,CHEMBL857
raclopride,CHEMBL8809
preladenant,CHEMBL240624
PS178990,CHEMBL229264
"tropanyl-3,5-dimethylbenzoate",CHEMBL1476871
SirReal-2,CHEMBL3770903
ixabepilone,CHEMBL1201752
S-isopropylisothiourea,CHEMBL483091
glutathione,CHEMBL1543
homoquinolinic-acid,CHEMBL280828
naltrindole,CHEMBL567175
desoxycortone,CHEMBL1498
parecoxib,CHEMBL1206690
antimony-potassium,CHEMBL2219662
roflumilast,CHEMBL193240
API-001,CHEMBL2170062
"ICI-215,001",CHEMBL308150
"BETAMETHASONE 17,21-DIPROPIONATE",CHEMBL1200384
MONENSIN SODIUM,CHEMBL5314365
dutasteride,CHEMBL1200969
lisuride,CHEMBL157138
mesalazine,CHEMBL704
trapidil,CHEMBL132767
levobunolol,CHEMBL1201237
citalopram,CHEMBL549
SR-140333,CHEMBL1178725
BMS-299897,CHEMBL247471
cis-aconitic-acid,CHEMBL347285
alpha-asarone,CHEMBL333306
ibuprofen,CHEMBL521
diphenyleneiodonium,CHEMBL365739
"Isoquinoline,-6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro,",CHEMBL1196026
L-368899,CHEMBL1253853
iopanic-acid,CHEMBL867
NVP-TNKS656,CHEMBL2419706
I-BZA2,CHEMBL230302
GR-103691,CHEMBL294747
faropenem,CHEMBL556262
indeloxazine,CHEMBL2105022
FR-122047,CHEMBL275809
albuterol,CHEMBL714
procarbazine,CHEMBL1321
chicago-sky-blue-6b,CHEMBL311909
chlorothymol,CHEMBL1441646
alda-1,CHEMBL465952
acalisib,CHEMBL4303323
camostat-mesilate,CHEMBL590799
tipranavir,CHEMBL183041
SCH-51344,CHEMBL3793901
sphingosylphosphorylcholine,CHEMBL1481114
chlorhexidine,CHEMBL790
T-62,CHEMBL57997
ER-27319,CHEMBL2170739
NQDI-1,CHEMBL1345690
captan,CHEMBL388676
ritonavir,CHEMBL163
3-alpha-hydroxy-5-beta-androstan-17-one,CHEMBL85799
emodin,CHEMBL289277
sulfanitran,CHEMBL493636
pexidartinib,CHEMBL3813873
MDL-73005EF,CHEMBL2218891
PF-670462,CHEMBL4643847
inimur,CHEMBL514315
danirixin,CHEMBL3039531
TCS-3035,CHEMBL2425825
reversine,CHEMBL188343
thiamine,CHEMBL1547
doxylamine,CHEMBL1004
leucovorin,CHEMBL1679
oxiracetam,CHEMBL36633
resatorvid,CHEMBL225157
TH005427,
cytarabine,CHEMBL803
efinaconazole,CHEMBL2103877
dihydrexidine,CHEMBL4280145
SNAP-5089,CHEMBL5483012
propranolol,CHEMBL27
MOMETASONE FUROATE,CHEMBL1161
SDM25N,CHEMBL1324873
gestodene,CHEMBL1213583
nadide,CHEMBL1234613
clorprenaline,CHEMBL1902627
DR-4485,CHEMBL348890
oritavancin,CHEMBL1688530
chromocarb,CHEMBL83628
bromosporine,CHEMBL3133807
SNAP,CHEMBL73188
zaldaride,CHEMBL1474352
zolimidine,CHEMBL2105534
xaliproden,CHEMBL1512580
enoxolone,CHEMBL230006
cephalothin,CHEMBL617
BMS-345541,CHEMBL471496
CDPPB,CHEMBL190270
YIL-781,CHEMBL243001
