compound_name,Concentration uM,morphology score,infection rate (%),Cell model,chembl_id,is_CP_hit,is_324_hit,top_74_rank,is_74_hit,is_5_hit,HIT_antiviral_AB_Y/N,HIT_CPE_Y/N,HIT_cellpaiting_Y/N,is_AB_hit,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
(-)-Huperzine A,10.0,-0.12,108.0,Vero E6,CHEMBL395280,False,False,,False,False,N,N,N,False,False,8.33,2.1
"1,12-Besm",0.83,0.31,80.5,Vero E6,CHEMBL18794,False,False,,False,False,N,N,N,False,False,10000.0,11.44
"1,2,3,4,5,6-hexabromocyclohexane",10.0,0.42,85.0,Vero E6,CHEMBL444236,False,False,,False,False,N,N,N,False,False,10000.0,9.07
"1,3-dipropyl-8-phenylxanthine",10.0,0.1,103.5,Vero E6,CHEMBL158507,False,False,,False,False,N,N,N,False,False,10000.0,-1.61
"1,4-butanediol",10.0,0.02,105.0,Vero E6,CHEMBL171623,False,False,,False,False,N,N,N,False,False,833.33,0.26
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",10.0,0.03,99.0,Vero E6,CHEMBL3306352,False,False,,False,False,N,N,N,False,False,10000.0,5.36
"1-(1,2-diphenylethyl)piperidine-(+/-)",10.0,0.35,69.0,Vero E6,CHEMBL4303426,False,False,,False,False,N,N,N,False,False,10000.0,2.17
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,10.0,0.08,95.5,Vero E6,CHEMBL4303224,False,False,,False,False,N,N,N,False,False,833.33,0.3
1-EBIO,10.0,0.18,92.5,Vero E6,CHEMBL452887,False,False,,False,False,N,N,N,False,False,8.33,-3.46
1-acetyl-4-methylpiperazine,10.0,-0.04,102.5,Vero E6,CHEMBL575239,False,False,,False,False,N,N,N,False,False,1.0,4.74
1-azakenpaullone,10.0,0.3,91.5,Vero E6,CHEMBL336961,False,False,,False,False,N,N,N,False,False,10000.0,8.39
1-deoxymannojirimycin,10.0,-0.09,101.5,Vero E6,CHEMBL84844,False,False,,False,False,N,N,N,False,False,833.33,1.33
1-ethyl-2-pyrrolidone,10.0,0.13,103.5,Vero E6,CHEMBL12221,False,False,,False,False,N,N,N,False,False,100.0,3.54
1-hexadecanal,10.0,0.19,100.0,Vero E6,CHEMBL1235338,False,False,,False,False,N,N,N,False,False,8.33,2.85
1-hexadecanol,10.0,-0.28,110.0,Vero E6,CHEMBL706,False,False,,False,False,N,N,N,False,False,8.33,0.36
1-naphthyl-PP1,0.83,0.13,96.5,Vero E6,CHEMBL264406,False,False,,False,False,N,N,N,False,False,8.33,1.77
1-octacosanol,10.0,0.12,100.0,Vero E6,CHEMBL1951714,False,False,,False,False,N,N,N,False,False,100.0,4.36
1-phenylbiguanide,10.0,0.22,86.5,Vero E6,CHEMBL13791,False,False,,False,False,N,N,N,False,False,833.33,1.34
10-DEBC,0.83,0.33,93.0,Vero E6,CHEMBL1398474,False,True,52.0,True,False,N,Y,N,False,True,10000.0,40.87
10-deacetylbaccatin,10.0,0.18,109.0,Vero E6,CHEMBL393912,False,False,,False,False,N,N,N,False,False,8.33,0.94
10-hydroxycamptothecin,10.0,-0.13,103.0,Vero E6,CHEMBL273862,False,False,,False,False,N,N,N,False,False,8.33,-0.13
10058-F4,10.0,0.04,92.5,Vero E6,CHEMBL1568415,False,False,,False,False,N,N,N,False,False,833.33,3.21
1400W,10.0,-0.02,107.0,Vero E6,CHEMBL107251,False,False,,False,False,N,N,N,False,False,833.33,1.65
17-PA,10.0,0.09,104.0,Vero E6,CHEMBL4303423,False,False,,False,False,N,N,N,False,False,1.0,2.41
17-alpha-Methyltestosterone,10.0,0.08,108.5,Vero E6,CHEMBL1395,False,False,,False,False,N,N,N,False,False,10000.0,1.92
17-hydroxyprogesterone-caproate,10.0,0.52,85.5,Vero E6,CHEMBL1200848,True,True,,False,False,N,N,Y,False,False,10000.0,5.84
"1S,2R-phenylpropanolamine",10.0,-0.13,113.5,Vero E6,CHEMBL2092846,False,False,,False,False,N,N,N,False,False,10000.0,0.8
2'-MeCCPA,10.0,0.08,102.0,Vero E6,CHEMBL251997,False,False,,False,False,N,N,N,False,False,8.33,2.06
