chembl_id,compound_name,smiles
CHEMBL1398474,10-DEBC,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21
CHEMBL540034,3-CPMT,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2.Cl
CHEMBL1256415,7-methoxytacrine,COc1ccc2nc3c(c(N)c2c1)CCCC3
CHEMBL1331148,A-7,NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12
CHEMBL4303462,A12B4C3,CCCCCCCCCCC(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc([N+](=O)[O-])cc1
CHEMBL408430,AM-1241,CN1CCCCC1Cn1cc(C(=O)c2cc([N+](=O)[O-])ccc2I)c2ccccc21
CHEMBL3421968,AZ191,COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2cn(C)c3cnccc23)n1
CHEMBL441472,BCTC,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1
CHEMBL2220483,BCX-1470,N=C(N)c1cc2ccc(OC(=O)c3cccs3)cc2s1
CHEMBL229008,BMS-566419,CCN1CCN(c2ccc(C(C)(C)NC(=O)c3cc4[nH]c5ccccc5c(=O)c4cc3F)cn2)CC1
CHEMBL252172,BNTX,O=C1/C(=C/c2ccccc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
CHEMBL1801932,BS-181,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12
CHEMBL508207,C-021,COc1cc2nc(N3CCC(N4CCCCC4)CC3)nc(NC3CCCCCC3)c2cc1OC
CHEMBL1254945,ELN-441958,O=C(c1cccc(N2Cc3cccc(Cl)c3C2=O)c1)N1CCC2(CC1)CCN(c1ccncc1)CC2
CHEMBL3604460,FLI-06,CC1=C(C(=O)OC2CCCCC2)C(c2ccc([N+](=O)[O-])cc2)C2=C(CC(C)(C)CC2=O)N1
CHEMBL134713,GTS21,COc1ccc(/C=C2\CCCN=C2c2cccnc2)c(OC)c1
CHEMBL214957,GW-803430,COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OCCN1CCCC1
CHEMBL200027,IKK-16,O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCC(N2CCCC2)CC1
CHEMBL460491,IT1t,CC1(C)CN2C(CS/C(=N\C3CCCCC3)NC3CCCCC3)=CSC2=N1
CHEMBL3084652,JHW-007,CCCCN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccc(F)cc1)c1ccc(F)cc1)C2
CHEMBL1908397,KW-2449,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1
CHEMBL2364627,LY2228820,CC(C)(C)Cn1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3)nc21.CS(=O)(=O)O.CS(=O)(=O)O
CHEMBL1604618,ML167,Cc1ccc(CNc2ncnc3ccc(-c4ccc(CO)o4)cc23)o1
CHEMBL5314365,MONENSIN SODIUM,CC[C@@]1([C@H]2O[C@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@H]2C)CC[C@H]([C@@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@H](C)[C@H](OC)[C@@H](C)C(=O)[O-])O3)O2)O1.[Na+]
CHEMBL5483034,NS-3861,CN1C2C=C(c3sccc3Br)CC1CC2.O=C(O)/C=C/C(=O)O
CHEMBL303958,NU-6027,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1
CHEMBL188678,NU-7441,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12
CHEMBL2442630,P7C3,OC(CNc1ccccc1)Cn1c2ccc(Br)cc2c2cc(Br)ccc21
CHEMBL59898,PD-102807,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3
CHEMBL29197,PD-153035,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
CHEMBL66114,RS-39604,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1
CHEMBL3622372,SAR405,C[C@@H]1COCCN1c1cc(=O)n2c(n1)N(Cc1cncc(Cl)c1)[C@H](C(F)(F)F)CC2
CHEMBL2386889,SCH-900776,Cn1cc(-c2cnn3c(N)c(Br)c([C@@H]4CCCNC4)nc23)cn1
CHEMBL2336409,SGI-1027,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1
CHEMBL2135651,Salinomycin (Procoxacin),CC[C@@H](C(=O)O)C1CC[C@H](C)C([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)C2O[C@]3(C=C[C@@H](O)[C@]4(CC[C@@](C)(C5CC[C@](O)(CC)[C@H](C)O5)O4)O3)[C@H](C)C[C@@H]2C)O1
CHEMBL1829304,UNC0646,COc1cc2c(NC3CCN(C4CCCCC4)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1
CHEMBL3414619,UNC1999,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C(C)C)CC3)nc2)cc2c1cnn2C(C)C
CHEMBL2436978,URMC-099,CN1CCN(Cc2ccc(-c3cnc4[nH]cc(-c5ccc6[nH]ccc6c5)c4c3)cc2)CC1
CHEMBL178334,Y-134,CC(C)N1CCN(c2ccc(C(=O)c3c(-c4ccc(O)cc4)sc4cc(O)ccc34)cc2)CC1
CHEMBL1402866,Y-26763,CC(=O)N(O)[C@@H]1c2cc(C#N)ccc2OC(C)(C)[C@H]1O
CHEMBL294803,Y-29794,CC(C)c1ccc(C(=O)c2cccs2)c(SCCCCCCCCN(C)C)n1
CHEMBL4303340,Y-320,Cc1c(C(=O)Nc2ccc(N3CCC(N4CCOCC4)CC3)c(C#N)c2)cnn1-c1ccc(Cl)cc1
CHEMBL4303368,ZLN005,CC(C)(C)c1ccc(-c2nc3ccccc3[nH]2)cc1
CHEMBL423192,anisomycin,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1
CHEMBL371064,balicatib,CCCN1CCN(c2ccc(C(=O)NC3(C(=O)NCC#N)CCCCC3)cc2)CC1
CHEMBL1201203,benztropine-mesylate,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2
CHEMBL1101,biperiden,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
CHEMBL990,butenafine,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12
CHEMBL92708,calpeptin,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1
CHEMBL2403108,ceritinib,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1
CHEMBL1370236,cinnarazine,C(=C/N1CCN(C(c2ccccc2)c2ccccc2)CC1)\Cc1ccccc1
CHEMBL527026,cot-inhibitor-2,CCN1CCC(n2cc(CNc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)nn2)CC1
CHEMBL123292,cycloheximide,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1
CHEMBL160,cyclosporin-A,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
CHEMBL1123,dicycloverine,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
