batch_ID,compound_name,HIT_CPE_Y/N,HIT_cellpaiting_Y/N,HIT_antiviral_AB_Y/N,MOA_clue_METADATA,Target_clue_METADATA,Pubchem_IsomericSMILES,Pubchem_CID
BJ1898416,KW-2449,N,Y,N,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor","ABL1, AURKA, AURKB, FLT3",C1CN(CCN1)C(=O)C2=CC=C(C=C2)/C=C/C3=NNC4=CC=CC=C43,11427553
BJ1898207,serdemetan,Y,Y,Y,MDM inhibitor,MDM2,C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4,11609586
BJ1898700,PF-02545920,Y,Y,Y,phosphodiesterase inhibitor,PDE10A,CC(C)(C)C1=NN(C(=C1)C(=O)N[C@@H](CC2=CC(=CC=C2)Cl)C(=O)NCC#N)C,44224135
BJ1896670,sulforaphane,Y,Y,Y,"anticancer agent, aryl hydrocarbon receptor antagonist",NFE2L2,CS(=O)CCCCN=C=S,5350
BJ1898155,elesclomol,Y,Y,Y,oxidative stress inducer,HSPA1A,CN(C(=S)C1=CC=CC=C1)NC(=O)CC(=O)NN(C)C(=S)C2=CC=CC=C2,300471
BJ1898077,prenylamine,Y,Y,Y,calcium channel blocker,,CC(CC1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3,9801
BJ1896146,CYM-5442,N,Y,Y,sphingosine 1-phosphate receptor agonist,S1PR1,CCOC1=C(C=C(C=C1)C2=NC(=NO2)C3=C4CCC(C4=CC=C3)NCCO)OCC,25110406
BJ1898237,cinacalcet,N,Y,Y,calcium channel activator,CASR,C[C@H](C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F,156419
BJ1897134,URMC-099,Y,Y,N,mixed lineage kinase inhibitor,"CDKL2, DAPK3, FLT3, LRRK2, MAP3K10, MAP3K11, MAP3K2, MAP3K9, SRPK2",CN1CCN(CC1)CC2=CC=C(C=C2)C3=CC4=C(NC=C4C5=CC6=C(C=C5)NC=C6)N=C3,54764565
BJ1894509,amodiaquine,Y,Y,Y,histamine receptor agonist,HNMT,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,2165
BJ1894461,homoharringtonine,Y,Y,Y,protein synthesis inhibitor,RPL3,CC(C)(CCC[C@@](CC(=O)OC)(C(=O)O[C@H]1[C@H]2C3=CC4=C(C=C3CCN5[C@@]2(CCC5)C=C1OC)OCO4)O)O,285033
BJ1894949,suloctidil,N,Y,Y,adrenergic receptor antagonist,,CCCCCCCCNC(C)C(C1=CC=C(C=C1)SC(C)C)O,5354
BJ1899023,Endoxifen HCl,Y,Y,Y,,,CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCNC)/C3=CC=CC=C3,10090750
BJ1894069,calpeptin,Y,Y,Y,calpain inhibitor,,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,73364
BJ1896977,afimoxifene,Y,Y,Y,estrogen receptor antagonist,"ESR1, ESR2, ESRRG, PLD1, PRKCD, PRKCE, PRKCQ, PRKCZ",CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,449459
BJ1894184,ICI-199441,Y,Y,Y,opioid receptor agonist,"CYP2D6, OPRD1, OPRK1, OPRM1, UTS2R",CN([C@H](CN1CCCC1)C2=CC=CC=C2)C(=O)CC3=CC(=C(C=C3)Cl)Cl,3082718
BJ1895795,mibefradil,Y,Y,Y,T-type calcium channel blocker,"ANO1, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CATSPER1, CATSPER2, CATSPER3, CATSPER4",CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F,60663
BJ1894340,L-733060,Y,Y,Y,tachykinin antagonist,TACR1,C1C[C@@H]([C@@H](NC1)C2=CC=CC=C2)OCC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,132846
BJ1897914,gallium-triquinolin-8-olate,N,Y,Y,,,C1=CC2=C(C(=C1)O[Ga](OC3=CC=CC4=C3N=CC=C4)OC5=CC=CC6=C5N=CC=C6)N=CC=C2,16686135
BJ1897887,fendiline,N,Y,Y,calcium channel blocker,HTR2B,CC(C1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3,3336
BJ1898414,LY2608204,N,Y,Y,glucokinase activator,GCK,C1CCC(CC1)[C@@H]2C[C@@]2(C3=CC=C(C=C3)S(=O)(=O)C4CC4)C(=O)NC5=NC=C(S5)SCCN6CCCC6,46832368
BJ1896266,VU0364739,Y,Y,Y,phospholipase inhibitor,PLD2,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4,46937439
BJ1894256,spiperone,Y,Y,Y,dopamine receptor antagonist,"ADRA1A, ADRA1B, ADRA1D, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1D, HTR2A, HTR2B, HTR2C, HTR6, HTR7",C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,5265
DD4386006,Remdesivir,N,Y,Y,,,0,0
BJ1899181,ditiocarb-sodium-trihydrate,Y,Y,Y,immunostimulant,"CA1, CA2, CA4",CCN(CC)C(=S)[S-],28343
BJ1897355,ELN-441958,Y,Y,Y,bradykinin receptor antagonist,BDKRB1,C1CN(CCC12CCN(CC2)C(=O)C3=CC(=CC=C3)N4CC5=C(C4=O)C(=CC=C5)Cl)C6=CC=NC=C6,11848206
BJ1898158,masitinib,Y,Y,Y,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, SRC inhibitor","FGFR3, KIT, PDGFRA, PDGFRB",CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5,10074640
BJ1895431,duloxetine,N,Y,Y,"norepinephrine reuptake inhibitor, serotonin–norepinephrine reuptake inhibitor (SNRI)","HTR2A, HTR2C, HTR6, SLC6A2, SLC6A3, SLC6A4",CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,60835
BJ1894762,prochlorperazine,N,Y,Y,dopamine receptor antagonist,"DRD1, DRD2, DRD3, DRD4",CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,4917
BJ1898144,imatinib,Y,Y,Y,"Bcr-Abl kinase inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor","ABL1, CSF1R, DDR1, KIT, NTRK1, PDGFRA, PDGFRB, RET",CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,5291
BJ1898678,lonafarnib,N,Y,Y,farnesyltransferase inhibitor,"FNTA, HRAS, KRAS, NRAS",C1CN(CCC1CC(=O)N2CCC(CC2)[C@@H]3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,148195
BJ1894223,BNTX,N,Y,Y,opioid receptor antagonist,"OPRD1, OPRK1, OPRM1",C1CC1CN2CC[C@]34[C@@H]5C(=O)/C(=C/C6=CC=CC=C6)/C[C@]3(C2CC7=C4C(=C(C=C7)O)O5)O,44369694
BJ1896888,droloxifene,Y,Y,Y,selective estrogen receptor modulator (SERM),ESR1,0,0
BJ1895625,PD-102807,Y,Y,Y,acetylcholine receptor antagonist,CHRM4,CCOC(=O)C1=C(NC2=C1C3=C(C=C2)OC4C5=C(CCN4C3)C=C(C=C5)OC)C,4995951
BJ1897624,Ro-48-8071,N,Y,Y,oxidosqualene cyclase inhibitor,LSS,CN(CCCCCCOC1=CC(=C(C=C1)C(=O)C2=CC=C(C=C2)Br)F)CC=C,1949
BJ1896894,nelfinavir,Y,Y,Y,HIV protease inhibitor,"CYP1A2, CYP2B6, CYP2C19, CYP2C9, CYP2D6, CYP3A4, CYP3A7",CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,64143
BJ1898014,thiethylperazine,Y,Y,Y,dopamine receptor antagonist,"DRD1, DRD2, DRD4",CCSC1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)C,5440
BJ1898853,fingolimod,Y,Y,Y,"immunosuppressant, sphingosine 1-phosphate receptor agonist","S1PR1, S1PR5",CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,107970
BJ1896407,CYM-50358,Y,Y,Y,sphingosine 1-phosphate receptor antagonist,S1PR4,CC1=CC(=CC(=C1NC(=O)C2=CC=C(O2)C3=C(C=CC(=C3)Cl)Cl)C)CN,53358422
BJ1896659,BS-181,N,Y,Y,CDK inhibitor,CDK7,CC(C)C1=C2N=C(C=C(N2N=C1)NCC3=CC=CC=C3)NCCCCCCN,49867929
BJ1896497,pyrintegrin,Y,Y,N,integrin signaling activator,,C1CC2=C(C=CC(=C2)O)N(C1)C3=NC(=NC=C3)NC4=CC=C(C=C4)S(=O)(=O)NCC5CC5,46223724
BJ1897292,pimavanserin,Y,Y,Y,serotonin receptor inverse agonist,"DRD2, HTR2A",CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C,10071196
BJ1896382,IT1t,Y,Y,Y,CC chemokine receptor antagonist,CXCR4,CC1(CN2C(=CSC2=N1)CSC(=NC3CCCCC3)NC4CCCCC4)C,25147749
BJ1898588,NPS-2143,Y,Y,Y,calcium receptor antagonist,CASR,CC(C)(CC1=CC2=CC=CC=C2C=C1)NC[C@H](COC3=C(C(=CC=C3)Cl)C#N)O,6918446
BJ1897652,ARQ-092,N,Y,Y,AKT inhibitor,AKT2,C1CC(C1)(C2=CC=C(C=C2)N3C4=C(C=CC(=N4)C5=CC=CC=C5)N=C3C6=C(N=CC=C6)N)N,53262401
BJ1895367,amlodipine,N,Y,Y,calcium channel blocker,"CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNA2D1",CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,2162
