bm25_k1,bm25_b,recall@1
0.4,0.0,0.7618181818181818
0.4,0.1,0.7563636363636363
0.4,0.2,0.76
0.4,0.3,0.7654545454545455
0.4,0.4,0.7727272727272727
0.4,0.5,0.7781818181818182
0.4,0.75,0.78
0.4,0.9,0.78
0.6,0.0,0.7618181818181818
0.6,0.1,0.7636363636363637
0.6,0.2,0.76
0.6,0.3,0.7672727272727272
0.6,0.4,0.7745454545454545
0.6,0.5,0.7836363636363637
0.6,0.75,0.7890909090909091
0.6,0.9,0.7872727272727272
0.8,0.0,0.7563636363636363
0.8,0.1,0.769090909090909
0.8,0.2,0.7709090909090909
0.8,0.3,0.7763636363636364
0.8,0.4,0.7872727272727272
0.8,0.5,0.7927272727272727
0.8,0.75,0.7981818181818182
0.8,0.9,0.7945454545454546
1.0,0.0,0.7563636363636363
1.0,0.1,0.7654545454545455
1.0,0.2,0.7727272727272727
1.0,0.3,0.78
1.0,0.4,0.7890909090909091
1.0,0.5,0.7963636363636364
1.0,0.75,0.8036363636363636
1.0,0.9,0.7927272727272727
1.2,0.0,0.7563636363636363
1.2,0.1,0.76
1.2,0.2,0.769090909090909
1.2,0.3,0.7872727272727272
1.2,0.4,0.7890909090909091
1.2,0.5,0.8
1.2,0.75,0.8036363636363636
1.2,0.9,0.7909090909090909
1.5,0.0,0.7490909090909091
1.5,0.1,0.7563636363636363
1.5,0.2,0.7654545454545455
1.5,0.3,0.7818181818181819
1.5,0.4,0.7890909090909091
1.5,0.5,0.8
1.5,0.75,0.7963636363636364
1.5,0.9,0.78
1.8,0.0,0.7345454545454545
1.8,0.1,0.7545454545454545
1.8,0.2,0.7654545454545455
1.8,0.3,0.7727272727272727
1.8,0.4,0.7872727272727272
1.8,0.5,0.7927272727272727
1.8,0.75,0.7909090909090909
1.8,0.9,0.78
2.0,0.0,0.7363636363636363
2.0,0.1,0.7509090909090909
2.0,0.2,0.7618181818181818
2.0,0.3,0.769090909090909
2.0,0.4,0.7854545454545454
2.0,0.5,0.7909090909090909
2.0,0.75,0.7872727272727272
2.0,0.9,0.7745454545454545
