fuse_func,bm25_weight,recall@1
rrf,0.0,0.7636363636363637
rrf,0.1,0.769090909090909
rrf,0.2,0.7709090909090909
rrf,0.3,0.7872727272727272
rrf,0.4,0.7909090909090909
rrf,0.5,0.8272727272727273
rrf,0.6,0.8327272727272728
rrf,0.7,0.8309090909090909
rrf,0.8,0.8236363636363636
rrf,0.9,0.8072727272727273
rrf,1.0,0.8036363636363636
borda,0.0,0.7636363636363637
borda,0.1,0.7672727272727272
borda,0.2,0.7781818181818182
borda,0.3,0.7872727272727272
borda,0.4,0.7945454545454546
borda,0.5,0.8272727272727273
borda,0.6,0.8327272727272728
borda,0.7,0.8290909090909091
borda,0.8,0.8236363636363636
borda,0.9,0.8072727272727273
borda,1.0,0.8036363636363636
log_rank,0.0,0.7527272727272727
log_rank,0.1,0.7527272727272727
log_rank,0.2,0.7527272727272727
log_rank,0.3,0.7563636363636363
log_rank,0.4,0.7854545454545454
log_rank,0.5,0.8181818181818182
log_rank,0.6,0.8290909090909091
log_rank,0.7,0.8181818181818182
log_rank,0.8,0.8
log_rank,0.9,0.8
log_rank,1.0,0.8036363636363636
condorcet,0.0,0.7636363636363637
condorcet,0.1,0.7636363636363637
condorcet,0.2,0.7636363636363637
condorcet,0.3,0.7636363636363637
condorcet,0.4,0.7636363636363637
condorcet,0.5,0.8272727272727273
condorcet,0.6,0.8036363636363636
condorcet,0.7,0.8036363636363636
condorcet,0.8,0.8036363636363636
condorcet,0.9,0.8036363636363636
condorcet,1.0,0.8036363636363636
combsum,0.0,0.7636363636363637
combsum,0.1,0.7872727272727272
combsum,0.2,0.8163636363636364
combsum,0.3,0.850909090909091
combsum,0.4,0.8490909090909091
combsum,0.5,0.8527272727272728
combsum,0.6,0.8581818181818182
combsum,0.7,0.8490909090909091
combsum,0.8,0.8381818181818181
combsum,0.9,0.8290909090909091
combsum,1.0,0.8036363636363636
isrc,0.0,0.7636363636363637
isrc,0.1,0.7636363636363637
isrc,0.2,0.7636363636363637
isrc,0.3,0.7636363636363637
isrc,0.4,0.7636363636363637
isrc,0.5,0.8454545454545455
isrc,0.6,0.8036363636363636
isrc,0.7,0.8036363636363636
isrc,0.8,0.8036363636363636
isrc,0.9,0.8036363636363636
isrc,1.0,0.8036363636363636
log_odds,0.0,0.7636363636363637
log_odds,0.1,0.7636363636363637
log_odds,0.2,0.7654545454545455
log_odds,0.3,0.7654545454545455
log_odds,0.4,0.7709090909090909
log_odds,0.5,0.8527272727272728
log_odds,0.6,0.8072727272727273
log_odds,0.7,0.8036363636363636
log_odds,0.8,0.8036363636363636
log_odds,0.9,0.8036363636363636
log_odds,1.0,0.8036363636363636
