k,recall@k,tokens@k,d_recall_per_1k_tokens
1,0.86,1140.7127272727273,
2,0.9345454545454546,2237.9745454545455,0.06793770940556165
3,0.9527272727272728,3227.978181818182,0.018365405453056195
4,0.9563636363636364,4171.532727272727,0.003853898700272688
5,0.96,5162.2072727272725,0.003670593590042326
6,0.9654545454545455,6134.981818181818,0.0056072041358738054
8,0.9654545454545455,8042.150909090909,0.0
10,0.9690909090909091,9957.354545454546,0.0018986825042103409
12,0.9690909090909091,11854.365454545454,0.0
15,0.9690909090909091,14611.569090909092,0.0
20,0.9690909090909091,19295.561818181817,0.0
