compound_name,chembl_id,morphology score,is_CP_hit
(-)-Huperzine A,CHEMBL395280,-0.12,False
"1,12-Besm",CHEMBL18794,0.31,False
"1,2,3,4,5,6-hexabromocyclohexane",CHEMBL444236,0.42,False
"1,3-dipropyl-8-phenylxanthine",CHEMBL158507,0.1,False
"1,4-butanediol",CHEMBL171623,0.02,False
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",CHEMBL3306352,0.03,False
"1-(1,2-diphenylethyl)piperidine-(+/-)",CHEMBL4303426,0.35,False
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,CHEMBL4303224,0.08,False
1-EBIO,CHEMBL452887,0.18,False
1-acetyl-4-methylpiperazine,CHEMBL575239,-0.04,False
1-azakenpaullone,CHEMBL336961,0.3,False
1-deoxymannojirimycin,CHEMBL84844,-0.09,False
1-ethyl-2-pyrrolidone,CHEMBL12221,0.13,False
1-hexadecanal,CHEMBL1235338,0.19,False
1-hexadecanol,CHEMBL706,-0.28,False
1-naphthyl-PP1,CHEMBL264406,0.13,False
1-octacosanol,CHEMBL1951714,0.12,False
1-phenylbiguanide,CHEMBL13791,0.22,False
10-DEBC,CHEMBL1398474,0.33,False
10-deacetylbaccatin,CHEMBL393912,0.18,False
10-hydroxycamptothecin,CHEMBL273862,-0.13,False
10058-F4,CHEMBL1568415,0.04,False
1400W,CHEMBL107251,-0.02,False
17-PA,CHEMBL4303423,0.09,False
17-alpha-Methyltestosterone,CHEMBL1395,0.08,False
17-hydroxyprogesterone-caproate,CHEMBL1200848,0.52,True
"1S,2R-phenylpropanolamine",CHEMBL2092846,-0.13,False
2'-MeCCPA,CHEMBL251997,0.08,False
"2,3-DCPE",CHEMBL1356094,0.09,False
"2,3-cis/exo-pinanediol",CHEMBL4303395,0.09,False
"2,4-dinitrophenol",CHEMBL273386,0.06,False
"2,5-furandimethanol",CHEMBL4303433,0.09,False
2-(1-adamantylamino)benzoic-acid,CHEMBL4303278,0.01,False
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",CHEMBL4303207,0.19,False
2-APB,CHEMBL169233,0.05,False
2-BFI,CHEMBL404505,0.03,False
2-CMDO,CHEMBL90882,0.22,False
2-PMDQ,CHEMBL71492,0.22,False
2-TEDC,CHEMBL37081,-0.01,False
2-[1-(4-piperonyl)piperazinyl]benzothiazole,CHEMBL24909,0.0,False
2-aminobenzenesulfonamide,CHEMBL6705,-0.16,False
2-chloro-N6-cyclopentyladenosine,CHEMBL284969,0.11,False
2-chloroadenosine,CHEMBL285819,-0.02,False
2-cyanopyrimidine,CHEMBL3352946,0.06,False
2-deoxyglucose,CHEMBL2074932,-0.12,False
2-ethoxybenzoic-acid,CHEMBL4303266,0.04,False
"2-ethyl-1,3-hexanediol",CHEMBL1451179,-0.1,False
2-fluoro-2-deoxy-D-galactose,CHEMBL1234222,0.13,False
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione",CHEMBL569170,0.06,False
2-hydroxyethyl-salicylate,CHEMBL173562,-0.2,False
2-hydroxyflutamide,CHEMBL491,0.09,False
2-hydroxysaclofen,CHEMBL1256573,0.27,False
2-iminobiotin,CHEMBL1233598,0.08,False
2-iodohippuric-acid,CHEMBL1681,-0.11,False
2-iodomelatonin,CHEMBL289233,0.05,False
2-methoxyestradiol,CHEMBL299613,0.01,False
2-methyl-5-hydroxytryptamine,CHEMBL266591,0.0,False
2-methyl-5-nitrophenol,CHEMBL4303614,0.06,False
2-methylimidazole,CHEMBL293391,0.05,False
2-octyldodecan-1-ol,CHEMBL1572050,0.04,False
2-oxoglutaric-acid,CHEMBL1686,-0.13,False
2-phenylmelatonin,CHEMBL15060,0.06,False
2-pyridylethylamine,CHEMBL32813,0.07,False
