Compound	SMILES	chembl_id	Evidence_Summary (1–2 sentences)	Score	Confidence (H/M/L)	Sources (edge/node/pub IDs; dataset/analysis refs)
ERIBULIN MESYLATE	C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C.CS(=O)(=O)O	CHEMBL1683544	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.958	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
COLCHICINE	COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2	CHEMBL107	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.957	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
FILGOTINIB	O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1	CHEMBL3301607	KG links to proteins TYK2, JAK1 and pathway R-HSA-8984722. (no PubMed evidence in KG)	0.945	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
FOSBRETABULIN TROMETHAMINE	COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1OP(=O)(O)O.NC(CO)(CO)CO	CHEMBL2105643	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.944	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
FILGOTINIB MALEATE	O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1.O=C(O)/C=C\C(=O)O	CHEMBL4298167	KG links to proteins TYK2, JAK1 and pathway R-HSA-8984722. (no PubMed evidence in KG)	0.941	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
PLINABULIN	CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O	CHEMBL1096380	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.94	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
VINORELBINE TARTRATE	CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2.O=C(O)C(O)C(O)C(=O)O.O=C(O)C(O)C(O)C(=O)O	CHEMBL538943	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.937	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
ERIBULIN	C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C	CHEMBL1683590	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.937	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
IXABEPILONE	C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1	CHEMBL1201752	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.933	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
ANG1005	CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](OC(=O)CCC(=O)NCCCC[C@H](NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)CNC(=O)CNC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](NC(=O)CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CCCCNC(=O)CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc4ccc(O)cc4)C(=O)O)[C@@H](C)O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O	CHEMBL1089636	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.932	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
RUXOLITINIB PHOSPHATE	N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1.O=P(O)(O)O	CHEMBL1795071	KG links to proteins JAK1, JAK2 and pathway R-HSA-8984722. (no PubMed evidence in KG)	0.93	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
BARICITINIB	CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1	CHEMBL2105759	KG links to proteins JAK1, JAK2 and pathway R-HSA-8984722. (no PubMed evidence in KG)	0.928	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
MILATAXEL	CCC(=O)O[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)C2[C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](CC(=O)OC(C)(C)C)c4ccco4)C(C)=C([C@@H](O)C(=O)[C@@]21C)C3(C)C	CHEMBL2107759	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.927	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
BMS-275183	COC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C	CHEMBL4297268	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.926	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
PLOCABULIN	C/C=C\C[C@@H](C/C=C\NC(=O)[C@@H](NC(=O)/C=C\C=C/C(C)=C/[C@H](C)[C@@H]1CC=C(OC)C(=O)O1)C(C)(C)C)OC(N)=O	CHEMBL4297636	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.926	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
MOMELOTINIB	N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1	CHEMBL1078178	KG links to proteins JAK1, JAK2 and pathway R-HSA-8984722. (no PubMed evidence in KG)	0.918	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
OMBRABULIN	COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@@H](N)CO	CHEMBL572284	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.916	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
DAVUNETIDE	CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](N)CC(N)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)O	CHEMBL2103826	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.883	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
DOCETAXEL	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O	CHEMBL3545252	KG links to proteins TUBB3, TUBB2A and pathway R-HSA-9609736. (no PubMed evidence in KG)	0.879	H	no PubMed evidence in KG; datasets:protein_drug_candidates.csv;pathway_drug_candidates.csv;mechanism_drug_candidate.csv
