Total unique compounds: 1461
Compounds with chembl_id: 1461
Compounds with SMILES: 1218
Compounds missing SMILES: 243
Top 50 by total_support_count (chembl_id | compound_name | total_support_count):
CHEMBL4297841 | TISOTUMAB VEDOTIN | 39
CHEMBL4297736 | PRALUZATAMAB RAVTANSINE | 39
CHEMBL4297938 | LIFASTUZUMAB VEDOTIN | 39
CHEMBL4297636 | PLOCABULIN | 39
CHEMBL4298209 | BELANTAMAB MAFODOTIN | 39
CHEMBL107 | COLCHICINE | 39
CHEMBL3545132 | MIRVETUXIMAB SORAVTANSINE | 39
CHEMBL4298101 | LADIRATUZUMAB VEDOTIN | 39
CHEMBL552212 | LEXIBULIN | 39
CHEMBL3989512 | SOBLIDOTIN | 39
CHEMBL1743028 | GLEMBATUMUMAB VEDOTIN | 39
CHEMBL501867 | VINCRISTINE SULFATE | 39
CHEMBL4297892 | ANVATABART OPADOTIN | 39
CHEMBL538943 | VINORELBINE TARTRATE | 39
CHEMBL2107759 | MILATAXEL | 39
CHEMBL289351 | FOSBRETABULIN DISODIUM | 39
CHEMBL1743037 | LORVOTUZUMAB MERTANSINE | 39
CHEMBL39541 | DOLASTATIN-10 | 39
CHEMBL2110725 | VINFLUNINE | 39
CHEMBL1089636 | ANG1005 | 39
CHEMBL4298045 | INDUSATUMAB VEDOTIN | 39
CHEMBL572284 | OMBRABULIN | 39
CHEMBL1096380 | PLINABULIN | 39
CHEMBL3990032 | TELISOTUZUMAB VEDOTIN | 39
CHEMBL4298098 | TUSAMITAMAB RAVTANSINE | 39
CHEMBL3301585 | PINATUZUMAB VEDOTIN | 39
CHEMBL1743082 | TRASTUZUMAB EMTANSINE | 39
CHEMBL428647 | PACLITAXEL | 39
CHEMBL1683544 | ERIBULIN MESYLATE | 39
CHEMBL3301582 | POLATUZUMAB VEDOTIN | 39
CHEMBL1201748 | CABAZITAXEL | 39
CHEMBL3545252 | DOCETAXEL | 39
CHEMBL49642 | INDIBULIN | 39
CHEMBL3301589 | ENFORTUMAB VEDOTIN | 39
CHEMBL378544 | VINBLASTINE SULFATE | 39
CHEMBL3833306 | VANDORTUZUMAB VEDOTIN | 39
CHEMBL1742994 | BRENTUXIMAB VEDOTIN | 39
CHEMBL2103852 | CROLIBULIN | 39
CHEMBL4650293 | APRUTUMAB IXADOTIN | 39
CHEMBL3545372 | SOFITUZUMAB VEDOTIN | 39
CHEMBL2109574 | ASG-5ME | 39
CHEMBL4297859 | AZINTUXIZUMAB VEDOTIN | 39
CHEMBL4297935 | RG-7841 | 39
CHEMBL1201752 | IXABEPILONE | 39
CHEMBL2108628 | PACLITAXEL POLIGLUMEX | 38
CHEMBL1683590 | ERIBULIN | 38
CHEMBL4279455 | LAROTAXEL | 38
CHEMBL90555 | VINCRISTINE | 38
CHEMBL159 | VINBLASTINE | 38
CHEMBL553025 | VINORELBINE | 38
