phase,status,disease_id,disease_name,chembl_id,drug_name,gene_symbol,smiles
4.0,,EFO_0000274,atopic eczema,CHEMBL1201109,DESONIDE,NR3C1,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
4.0,,EFO_0000274,atopic eczema,CHEMBL131,PREDNISOLONE,NR3C1,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
4.0,,EFO_0000274,atopic eczema,CHEMBL1473,FLUTICASONE PROPIONATE,NR3C1,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
4.0,,EFO_0000274,atopic eczema,CHEMBL1650,CORTISONE ACETATE,NR3C1,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C
4.0,,EFO_0000274,atopic eczema,CHEMBL1683,HYDROCORTISONE BUTYRATE,NR3C1,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
4.0,,EFO_0000274,atopic eczema,CHEMBL389621,HYDROCORTISONE,NR3C1,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
4.0,,EFO_0000274,atopic eczema,CHEMBL635,PREDNISONE,NR3C1,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
4.0,,EFO_0000274,atopic eczema,CHEMBL650,METHYLPREDNISOLONE,NR3C1,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12
4.0,,EFO_0000341,chronic obstructive pulmonary disease,CHEMBL1201014,PREDNISOLONE SODIUM PHOSPHATE,NR3C1,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+]
4.0,,EFO_0000341,chronic obstructive pulmonary disease,CHEMBL1370,BUDESONIDE,NR3C1,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
4.0,,EFO_0000341,chronic obstructive pulmonary disease,CHEMBL1676,FLUTICASONE FUROATE,NR3C1,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF
