chembl_id,compound_name,SMILES,found_in,num_proteins,num_pathways,num_moas,proteins_list,pathways_list,moas_list,total_support_count,source_edges,evidence_pubmed_ids,multi_entity_support,support_from_multiple_entity_types
CHEMBL1201109,DESONIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,"mechanisms,pathways,proteins",1,8,1,NR3C1,R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,10,,,True,True
CHEMBL131,PREDNISOLONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,"mechanisms,pathways,proteins",1,8,1,NR3C1,R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,10,,,True,True
CHEMBL1473,FLUTICASONE PROPIONATE,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,"mechanisms,pathways,proteins",1,8,1,NR3C1,R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,10,,,True,True
CHEMBL1650,CORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,"mechanisms,pathways,proteins",1,8,1,NR3C1,R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,10,,,True,True
CHEMBL1683,HYDROCORTISONE BUTYRATE,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,"mechanisms,pathways,proteins",1,8,1,NR3C1,R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,10,,,True,True
CHEMBL389621,HYDROCORTISONE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,"mechanisms,pathways,proteins",1,8,1,NR3C1,R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,10,,,True,True
CHEMBL635,PREDNISONE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,"mechanisms,pathways,proteins",1,8,1,NR3C1,R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,10,,,True,True
CHEMBL650,METHYLPREDNISOLONE,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,"mechanisms,pathways,proteins",1,8,1,NR3C1,R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,10,,,True,True
CHEMBL1201014,PREDNISOLONE SODIUM PHOSPHATE,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],"mechanisms,pathways,proteins",1,8,1,NR3C1,R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,10,,,True,True
CHEMBL1370,BUDESONIDE,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,"mechanisms,pathways,proteins",1,8,1,NR3C1,R-HSA-3371497;R-HSA-383280;R-HSA-4090294;R-HSA-8849473;R-HSA-8939902;R-HSA-9615017;R-HSA-9679191;R-HSA-9768777,Glucocorticoid receptor agonist,10,,,True,True
