source,term,count,studies_returned,has_nextPageToken
pubmed,"(""SR-33805 oxalate""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(SR-33805 oxalate) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Ozanimod""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(Ozanimod) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""CYCLOSPORINE""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
clinicaltrials,(CYCLOSPORINE) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PERHEXILINE MALEATE""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(PERHEXILINE MALEATE) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Ceritinib""[Title/Abstract] AND ""Ebastine""[Title/Abstract])",0.0,,
clinicaltrials,(Ceritinib) AND (Ebastine) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""HomochlorcyclizineÂ·2HCl""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
clinicaltrials,(HomochlorcyclizineÂ·2HCl) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Tenovin-6""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(Tenovin-6) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Y-29794 oxalate""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(Y-29794 oxalate) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NNC-05-2090""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(NNC-05-2090) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NVP-BSK805 2HCl""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(NVP-BSK805 2HCl) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""NNC-05-2090""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
