type,batch_id_1,batch_id_2,conc_1,conc_2,name_1,name_2,score,target_1,moa_1,target_2,moa_2,targets_1_set,targets_2_set,moa_1_set,moa_2_set,target_overlap,target_union,complementarity,drugA,drugB,pair_key,score_z,pubmed_pair_count,ctgov_pair_count_approx,novelty_score,composite_score
combo,BJ1895675,BJ1898949,0.17,10.0,SR-33805 oxalate,SGI-1027,71.101637,,calcium channel blocker,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,set(),"{'DNMT3A', 'DNMT1', 'DNMT3B'}",{'calcium channel blocker'},{'dna methyltransferase inhibitor'},0,3,1.0,SR-33805 oxalate,SGI-1027,sgi-1027||sr-33805 oxalate,10.730514663723133,0.0,0.0,1.0,6.838308798233879
combo,BJ1897102,BJ1898949,0.17,10.0,Ozanimod,SGI-1027,63.195974,S1PR1;S1PR5,sphingosine 1-phosphate receptor agonist,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,"{'S1PR1', 'S1PR5'}","{'DNMT3A', 'DNMT1', 'DNMT3B'}",{'sphingosine 1-phosphate receptor agonist'},{'dna methyltransferase inhibitor'},0,5,1.0,Ozanimod,SGI-1027,ozanimod||sgi-1027,9.381489996260768,0.0,0.0,1.0,6.0288939977564615
combo,BJ1895013,BJ1897431,0.83,10.0,CYCLOSPORINE,Ceritinib,62.884222,ABCB11;CAMLG;CYP3A5;CYP3A7;FPR1;PPIA;PPID;PPIF;PPP3CA;PPP3R2;SLC10A1;SLCO1B1;SLCO1B3,calcineurin inhibitor,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,"{'PPIF', 'SLCO1B3', 'ABCB11', 'PPIA', 'PPP3R2', 'PPID', 'SLCO1B1', 'PPP3CA', 'CYP3A5', 'CAMLG', 'SLC10A1', 'CYP3A7', 'FPR1'}","{'MET', 'FGFR4', 'ROS1', 'TNK1', 'FER', 'FLT3', 'TSSK1B', 'IGF1R', 'TNK2', 'FGFR2', 'ALK', 'RET', 'FGFR3', 'ABCB1', 'INSR', 'LYN', 'JAK2', 'PTK2', 'CAMK4', 'LCK', 'EGFR'}",{'calcineurin inhibitor'},{'alk tyrosine kinase receptor inhibitor'},0,34,1.0,CYCLOSPORINE,Ceritinib,ceritinib||cyclosporine,9.328292542975609,0.0,0.0,1.0,5.9969755257853645
combo,BJ1895156,BJ1898949,0.17,10.0,PERHEXILINE MALEATE,SGI-1027,61.592244,CHRM1;CHRM3;CHRM4;CHRM5;CPT1A;CPT2;CYP2D6,carnitine palmitoyltransferase inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,"{'CHRM4', 'CHRM5', 'CHRM3', 'CPT1A', 'CYP2D6', 'CHRM1', 'CPT2'}","{'DNMT3A', 'DNMT1', 'DNMT3B'}",{'carnitine palmitoyltransferase inhibitor'},{'dna methyltransferase inhibitor'},0,10,1.0,PERHEXILINE MALEATE,SGI-1027,perhexiline maleate||sgi-1027,9.107829035763285,0.0,0.0,1.0,5.864697421457971
combo,BJ1897431,BJ1898834,10.0,0.17,Ceritinib,Ebastine,60.669931,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CYP2J2;CYP3A4;DRD1;DRD2;DRD3;DRD4;EGFR;FYN;HRH1;HTR1A;HTR2A;HTR2B;HTR2C;KCNH2;MLNR;SLC6A2;SLC6A3;SLC6A4;TACR2,histamine receptor antagonist,"{'MET', 'FGFR4', 'ROS1', 'TNK1', 'FER', 'FLT3', 'TSSK1B', 'IGF1R', 'TNK2', 'FGFR2', 'ALK', 'RET', 'FGFR3', 'ABCB1', 'INSR', 'LYN', 'JAK2', 'PTK2', 'CAMK4', 'LCK', 'EGFR'}","{'CHRM3', 'CYP2J2', 'HTR2C', 'HTR2B', 'FYN', 'ADRA2C', 'ADRA1D', 'ADRA2A', 'TACR2', 'SLC6A3', 'DRD1', 'MLNR', 'CHRM4', 'DRD4', 'KCNH2', 'DRD3', 'CHRM1', 'HTR1A', 'SLC6A4', 'CHRM5', 'CYP3A4', 'CHRM2', 'DRD2', 'HRH1', 'SLC6A2', 'ADRA2B', 'EGFR', 'HTR2A'}",{'alk tyrosine kinase receptor inhibitor'},{'histamine receptor antagonist'},1,48,0.9791666666666666,Ceritinib,Ebastine,ceritinib||ebastine,8.950445273247576,0.0,0.0,1.0,5.76610049728188
combo,BJ1896786,BJ1897431,0.83,10.0,HomochlorcyclizineÂ·2HCl,Ceritinib,59.113013,CHRM1;CHRM2;DRD3;HRH1;KCNH2;SLC6A3,antihistamine,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,"{'KCNH2', 'DRD3', 'CHRM2', 'HRH1', 'CHRM1', 'SLC6A3'}","{'MET', 'FGFR4', 'ROS1', 'TNK1', 'FER', 'FLT3', 'TSSK1B', 'IGF1R', 'TNK2', 'FGFR2', 'ALK', 'RET', 'FGFR3', 'ABCB1', 'INSR', 'LYN', 'JAK2', 'PTK2', 'CAMK4', 'LCK', 'EGFR'}",{'antihistamine'},{'alk tyrosine kinase receptor inhibitor'},0,27,1.0,HomochlorcyclizineÂ·2HCl,Ceritinib,ceritinib||homochlorcyclizineâ·2hcl,8.684772326245387,0.0,0.0,1.0,5.6108633957472325
combo,BJ1894372,BJ1897109,0.33,3.33,CY208-243,GK921,48.140841,CALY;CYP1A2;DRD1,dopamine receptor agonist,TGM2,transglutaminase inhibitor,"{'CYP1A2', 'DRD1', 'CALY'}",{'TGM2'},{'dopamine receptor agonist'},{'transglutaminase inhibitor'},0,4,1.0,CY208-243,GK921,cy208-243||gk921,6.812477658025927,0.0,0.0,1.0,4.4874865948155565
combo,BJ1894773,BJ1895494,3.33,10.0,QUINACRINE HYDROCHLORIDE,PENFLURIDOL,43.793959,ACHE;ADRA2A;ADRA2B;ADRA2C;AKT1;CHRM1;CHRM2;CHRM3;CHRM4;DRD3;HRH3;HTR2A;KCNH2;MTOR;NFKB1;PLA2G1B;PLA2G2A;PLA2G2D;PRNP;TP53,cytokine production inhibitor | NFkB pathway inhibitor | TP53 activator,ADRA1D;ADRA2B;ADRA2C;ADRB3;CACNA1G;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;OPRK1;OPRM1,T-type calcium channel blocker,"{'AKT1', 'CHRM3', 'PLA2G1B', 'NFKB1', 'PRNP', 'PLA2G2A', 'ADRA2C', 'ADRA2A', 'PLA2G2D', 'CHRM4', 'KCNH2', 'DRD3', 'TP53', 'CHRM1', 'HRH3', 'CHRM2', 'ADRA2B', 'HTR2A', 'MTOR', 'ACHE'}","{'HTR2C', 'HTR5A', 'OPRK1', 'HTR2B', 'OPRM1', 'ADRA2C', 'ADRA1D', 'DRD1', 'HRH2', 'DRD4', 'DRD3', 'HTR6', 'ADRB3', 'HTR1A', 'CACNA1G', 'DRD2', 'HRH1', 'DRD5', 'ADRA2B', 'HTR2A'}","{'tp53 activator', 'cytokine production inhibitor', 'nfkb pathway inhibitor'}",{'t-type calcium channel blocker'},4,36,0.8888888888888888,QUINACRINE HYDROCHLORIDE,PENFLURIDOL,penfluridol||quinacrine hydrochloride,6.070724430681408,0.0,0.0,1.0,4.020212436186623
combo,BJ1895156,BJ1897775,0.17,10.0,PERHEXILINE MALEATE,Auranofin,40.511427,CHRM1;CHRM3;CHRM4;CHRM5;CPT1A;CPT2;CYP2D6,carnitine palmitoyltransferase inhibitor,,,"{'CHRM4', 'CHRM5', 'CHRM3', 'CPT1A', 'CYP2D6', 'CHRM1', 'CPT2'}",set(),{'carnitine palmitoyltransferase inhibitor'},set(),0,7,1.0,PERHEXILINE MALEATE,Auranofin,auranofin||perhexiline maleate,5.510592201450972,0.0,0.0,1.0,3.706355320870584
combo,BJ1896256,BJ1897109,0.33,3.33,SB-772077B,GK921,38.343176,AKT1;ROCK1;ROCK2;RPS6KA1;RPS6KA5,rho associated kinase inhibitor,TGM2,transglutaminase inhibitor,"{'AKT1', 'RPS6KA5', 'ROCK2', 'RPS6KA1', 'ROCK1'}",{'TGM2'},{'rho associated kinase inhibitor'},{'transglutaminase inhibitor'},0,6,1.0,SB-772077B,GK921,gk921||sb-772077b,5.140601210910403,0.0,0.0,1.0,3.484360726546242
