rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroe6_relevant,mechanistic_rationale,compound_name,morphology_score,is_cp_hit,compound_identifier_used,antiviral_score_norm,cp_morphology_norm,integrated_score,integrated_rank
3.0,CHEMBL35241,2.9619950895637284,2.7289240857553416,4.961680155918803,0.0,0.0,"ACE2,FURIN,TMPRSS2",,,False,"Host protein hits: ACE2,FURIN,TMPRSS2",diminazene-aceturate,0.32,False,CHEMBL35241,1.0,0.5616438356164384,0.8246575342465754,1
4.0,CHEMBL590799,1.9415657758231557,1.8064318812677724,3.0168384637512915,0.981138174697081,0.0,"CTSL,TMPRSS2",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSL,TMPRSS2 | Relevant pathways: Endosomal/Vacuolar pathway",camostat-mesilate,0.1,False,CHEMBL590799,0.6619575424238188,0.410958904109589,0.5615580870981269,2
13.0,CHEMBL76,1.270033105672097,1.1386179930418092,2.070214532803289,0.0,0.0,ACE2,,,False,Host protein hits: ACE2,chloroquine,0.55,True,CHEMBL76,0.4172406257049287,0.7191780821917809,0.5380156082996697,3
34.0,CHEMBL92708,0.8620657757975001,0.7976482034634937,1.1826863222889663,0.981138174697081,0.0,"CTSK,CTSL",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSK,CTSL | Relevant pathways: Endosomal/Vacuolar pathway",calpeptin,0.81,True,CHEMBL92708,0.29229402445715597,0.8972602739726028,0.5342805242633347,4
9.0,CHEMBL1535,1.44923811955006,1.3067692048552433,2.070214532803289,1.1210080787562275,0.0,ACE2,MyD88 dependent cascade initiated on endosome,,True,Host protein hits: ACE2 | Relevant pathways: MyD88 dependent cascade initiated on endosome,hydroxychloroquine,0.36,False,CHEMBL1535,0.4788587603724203,0.589041095890411,0.5229316945796165,5
14.0,CHEMBL449782,1.232920059894461,1.1386179930418092,2.070214532803289,0.0,0.0,ACE2,,,False,Host protein hits: ACE2,cepharanthine,0.46,False,CHEMBL449782,0.4172406257049287,0.6575342465753424,0.5133580740530942,6
26.0,CHEMBL371064,0.9564823332067426,0.8887905599431484,1.341144453180426,0.981138174697081,0.013301281631173,"CTSB,CTSD,CTSK,CTSL",Endosomal/Vacuolar pathway,Cathepsin K inhibitor,True,"Host protein hits: CTSB,CTSD,CTSK,CTSL | Relevant pathways: Endosomal/Vacuolar pathway | MoA: Cathepsin K inhibitor",balicatib,0.59,True,CHEMBL371064,0.3256926656855459,0.7465753424657533,0.49404573639762883,7
6.0,CHEMBL1908397,1.5260956475321117,0.3865399813173067,0.0360726078658958,2.4446669799404277,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,KW-2449,0.96,True,CHEMBL1908397,0.1416455603638809,1.0,0.48498733621832857,8
29.0,CHEMBL64925,0.9420329037606132,0.8743207325750735,1.3220909206736569,0.981138174697081,0.0,"CTSB,CTSK,CTSL",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSB,CTSK,CTSL | Relevant pathways: Endosomal/Vacuolar pathway",MG-132,0.51,True,CHEMBL64925,0.32039027290605976,0.6917808219178082,0.46894649251075915,9
2.0,CHEMBL1232461,3.161486676640062,1.514003961646072,0.0190535325067693,10.023496791782325,0.0,CTSD,Aggrephagy; Cargo recognition for clathrin-mediated endocytosis; Chaperone Mediated Autophagy,,True,Host protein hits: CTSD | Relevant pathways: Aggrephagy; Cargo recognition for clathrin-mediated endocytosis; Chaperone Mediated Autophagy,I-BET-762,-0.07,False,CHEMBL1232461,0.5547988562778248,0.2945205479452055,0.45068753294477704,10
