compound_identifier_used,chembl_id,direct_antiviral_score,morphology_score,antiviral_score_norm,cp_morphology_norm,integrated_score,integrated_rank,rank
CHEMBL35241,CHEMBL35241,2.7289240857553416,0.32,1.0,0.5616438356164384,0.8246575342465754,1,3.0
CHEMBL590799,CHEMBL590799,1.8064318812677724,0.1,0.6619575424238188,0.410958904109589,0.5615580870981269,2,4.0
CHEMBL76,CHEMBL76,1.1386179930418092,0.55,0.4172406257049287,0.7191780821917809,0.5380156082996697,3,13.0
CHEMBL92708,CHEMBL92708,0.7976482034634937,0.81,0.29229402445715597,0.8972602739726028,0.5342805242633347,4,34.0
CHEMBL1535,CHEMBL1535,1.3067692048552433,0.36,0.4788587603724203,0.589041095890411,0.5229316945796165,5,9.0
CHEMBL449782,CHEMBL449782,1.1386179930418092,0.46,0.4172406257049287,0.6575342465753424,0.5133580740530942,6,14.0
CHEMBL371064,CHEMBL371064,0.8887905599431484,0.59,0.3256926656855459,0.7465753424657533,0.49404573639762883,7,26.0
CHEMBL1908397,CHEMBL1908397,0.3865399813173067,0.96,0.1416455603638809,1.0,0.48498733621832857,8,6.0
CHEMBL64925,CHEMBL64925,0.8743207325750735,0.51,0.32039027290605976,0.6917808219178082,0.46894649251075915,9,29.0
CHEMBL1232461,CHEMBL1232461,1.514003961646072,-0.07,0.5547988562778248,0.2945205479452055,0.45068753294477704,10,2.0
CHEMBL2436978,CHEMBL2436978,0.276011846614385,0.84,0.1011431018015979,0.9178082191780821,0.4278091487521916,11,84.0
CHEMBL24072,CHEMBL24072,0.2168684790029854,0.88,0.07947032317059056,0.9452054794520548,0.42576438568317626,12,186.0
CHEMBL267930,CHEMBL267930,0.2853290085509496,0.76,0.10455732720464193,0.863013698630137,0.40793987577484,13,87.0
CHEMBL2140173,CHEMBL2140173,0.4577042230404515,0.62,0.1677233256247812,0.767123287671233,0.40748331044336195,14,76.0
CHEMBL273264,CHEMBL273264,1.011709959763137,0.17,0.37073583873004834,0.45890410958904115,0.4060031470736455,15,19.0
CHEMBL63440,CHEMBL63440,0.7947219215046357,0.33,0.29122170369377054,0.5684931506849316,0.40213028249023497,16,36.0
CHEMBL27006,CHEMBL27006,0.2102994524510134,0.78,0.07706313764781932,0.8767123287671234,0.396922814095541,17,222.0
CHEMBL231813,CHEMBL231813,0.8881462329658749,0.23,0.32545655542486224,0.5,0.39527393325491733,18,23.0
CHEMBL2137530,CHEMBL2137530,0.0,0.93,0.0,0.9794520547945207,0.3917808219178083,19,3939.0
CHEMBL562318,CHEMBL562318,0.0,0.93,0.0,0.9794520547945207,0.3917808219178083,20,1423.0
CHEMBL48802,CHEMBL48802,0.0,0.92,0.0,0.9726027397260274,0.38904109589041097,21,4856.0
CHEMBL3622372,CHEMBL3622372,0.4577042230404515,0.55,0.1677233256247812,0.7191780821917809,0.3883052282515811,22,81.0
CHEMBL535,CHEMBL535,0.6352060527577144,0.4,0.23276794546004934,0.6164383561643836,0.386236109741783,23,5.0
CHEMBL564131,CHEMBL564131,0.8881462329658749,0.19,0.32545655542486224,0.4726027397260274,0.38431502914532834,24,27.0
CHEMBL1908391,CHEMBL1908391,0.1696796375454481,0.76,0.062178218306311844,0.863013698630137,0.38251241043584194,25,94.0
CHEMBL87563,CHEMBL87563,1.011709959763137,0.08,0.37073583873004834,0.3972602739726027,0.38134561282707014,26,17.0
CHEMBL262697,CHEMBL262697,0.7976482034634937,0.25,0.29229402445715597,0.5136986301369864,0.3808558667290881,27,35.0
CHEMBL1972860,CHEMBL1972860,0.0,0.88,0.0,0.9452054794520548,0.3780821917808219,28,3763.0
CHEMBL941,CHEMBL941,0.1696796375454481,0.74,0.062178218306311844,0.8493150684931507,0.37703295838104744,29,83.0
CHEMBL481611,CHEMBL481611,0.8921366174552268,0.16,0.32691881101129694,0.452054794520548,0.3769732044149974,30,24.0
CHEMBL1491,CHEMBL1491,0.2168684790029854,0.7,0.07947032317059056,0.821917808219178,0.37644931719002556,31,183.0
CHEMBL180672,CHEMBL180672,0.2168684790029854,0.7,0.07947032317059056,0.821917808219178,0.37644931719002556,32,230.0
CHEMBL1201284,CHEMBL1201284,0.0,0.85,0.0,0.9246575342465754,0.36986301369863017,33,893.0
CHEMBL3922179,CHEMBL3922179,0.0,0.85,0.0,0.9246575342465754,0.36986301369863017,34,2119.0
CHEMBL72365,CHEMBL72365,0.5787584721314006,0.38,0.21208302391131026,0.6027397260273972,0.3683457047577451,35,45.0
CHEMBL218394,CHEMBL218394,0.8881462329658749,0.13,0.32545655542486224,0.4315068493150685,0.36787667298094473,36,25.0
CHEMBL46286,CHEMBL46286,0.0,0.84,0.0,0.9178082191780821,0.36712328767123287,37,4795.0
CHEMBL682,CHEMBL682,0.0,0.84,0.0,0.9178082191780821,0.36712328767123287,38,2614.0
CHEMBL1520837,CHEMBL1520837,0.0,0.83,0.0,0.9109589041095891,0.3643835616438357,39,3502.0
CHEMBL1093458,CHEMBL1093458,0.0,0.82,0.0,0.9041095890410958,0.36164383561643837,40,532.0
CHEMBL314854,CHEMBL314854,0.1223456269146212,0.72,0.04483291695553232,0.8356164383561644,0.3611463255157852,41,361.0
CHEMBL2316582,CHEMBL2316582,0.4524790334545282,0.45,0.16580858215016492,0.6506849315068493,0.35975912189283865,42,55.0
