pair_key,name_1,name_2,target_1,moa_1,target_2,moa_2,mech_comp,external_novelty,priority_score
SGI-1027||SR-33805 oxalate,SR-33805 oxalate,SGI-1027,,calcium channel blocker,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,6.204414643995092
Ozanimod||SGI-1027,Ozanimod,SGI-1027,S1PR1;S1PR5,sphingosine 1-phosphate receptor agonist,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,5.482334117826465
CYCLOSPORINE||Ceritinib,CYCLOSPORINE,Ceritinib,ABCB11;CAMLG;CYP3A5;CYP3A7;FPR1;PPIA;PPID;PPIF;PPP3CA;PPP3R2;SLC10A1;SLCO1B1;SLCO1B3,calcineurin inhibitor,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,5.451905927876351
PERHEXILINE MALEATE||SGI-1027,PERHEXILINE MALEATE,SGI-1027,CHRM1;CHRM3;CHRM4;CHRM5;CPT1A;CPT2;CYP2D6,carnitine palmitoyltransferase inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,5.3177855018335505
Ceritinib||Ebastine,Ceritinib,Ebastine,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CYP2J2;CYP3A4;DRD1;DRD2;DRD3;DRD4;EGFR;FYN;HRH1;HTR1A;HTR2A;HTR2B;HTR2C;KCNH2;MLNR;SLC6A2;SLC6A3;SLC6A4;TACR2,histamine receptor antagonist,0.9791666666666666,1,5.23466010496453
Ceritinib||HomochlorcyclizineÂ·2HCl,HomochlorcyclizineÂ·2HCl,Ceritinib,CHRM1;CHRM2;DRD3;HRH1;KCNH2;SLC6A3,antihistamine,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,5.09796980867473
SGI-1027||Tenovin-6,Tenovin-6,SGI-1027,SIRT1;SIRT2;SIRT3,SIRT inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,4.952152741452123
SGI-1027||Y-29794 oxalate,Y-29794 oxalate,SGI-1027,PREP,prolyl endopeptidase inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,4.923925408609899
NNC-05-2090||SGI-1027,NNC-05-2090,SGI-1027,SLC6A11;SLC6A12;SLC6A13,GABA uptake inhibitor | GAT inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,4.877865094743406
NVP-BSK805 2HCl||SGI-1027,NVP-BSK805 2HCl,SGI-1027,ABL1;JAK1;JAK2;JAK3;TYK2,JAK inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,4.709713084935981
Ceritinib||NNC-05-2090,NNC-05-2090,Ceritinib,SLC6A11;SLC6A12;SLC6A13,GABA uptake inhibitor | GAT inhibitor,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,4.446792723005931
10-DEBC||SGI-1027,10-DEBC,SGI-1027,PIM1,AKT inhibitor,DNMT1;DNMT3A;DNMT3B,DNA methyltransferase inhibitor,1.0,1,4.445699256459242
