pair_key,name_1,name_2,target_overlap_jaccard,moa_overlap_jaccard
SGI-1027||SR-33805 oxalate,SR-33805 oxalate,SGI-1027,0.0,0.0
Ozanimod||SGI-1027,Ozanimod,SGI-1027,0.0,0.0
CYCLOSPORINE||Ceritinib,CYCLOSPORINE,Ceritinib,0.0,0.0
PERHEXILINE MALEATE||SGI-1027,PERHEXILINE MALEATE,SGI-1027,0.0,0.0
Ceritinib||Ebastine,Ceritinib,Ebastine,0.020833333333333332,0.0
Ceritinib||HomochlorcyclizineÂ·2HCl,HomochlorcyclizineÂ·2HCl,Ceritinib,0.0,0.0
SGI-1027||Tenovin-6,Tenovin-6,SGI-1027,0.0,0.0
SGI-1027||Y-29794 oxalate,Y-29794 oxalate,SGI-1027,0.0,0.0
NNC-05-2090||SGI-1027,NNC-05-2090,SGI-1027,0.0,0.0
NVP-BSK805 2HCl||SGI-1027,NVP-BSK805 2HCl,SGI-1027,0.0,0.0
Ceritinib||NNC-05-2090,NNC-05-2090,Ceritinib,0.0,0.0
10-DEBC||SGI-1027,10-DEBC,SGI-1027,0.0,0.0
Imatinib Mesylate (STI571)||SGI-1027,Imatinib Mesylate (STI571),SGI-1027,0.0,0.0
CY208-243||GK921,CY208-243,GK921,0.0,0.0
SGI-1027||pyrintegrin,pyrintegrin,SGI-1027,0.0,0.0
SGI-1027||calpeptin,calpeptin,SGI-1027,0.0,0.0
Ceritinib||PERHEXILINE MALEATE,PERHEXILINE MALEATE,Ceritinib,0.0,0.0
CYM-5442||SGI-1027,CYM-5442,SGI-1027,0.0,0.0
Ebastine||SGI-1027,Ebastine,SGI-1027,0.0,0.0
Lasofoxifene (Tartrate)||SGI-1027,Lasofoxifene (Tartrate),SGI-1027,0.0,0.0
Ceritinib||Y-29794 oxalate,Y-29794 oxalate,Ceritinib,0.0,0.0
AMG-548||SGI-1027,AMG-548,SGI-1027,0.0,0.0
CGP-71683||SGI-1027,CGP-71683,SGI-1027,0.0,0.0
PENFLURIDOL||QUINACRINE HYDROCHLORIDE,QUINACRINE HYDROCHLORIDE,PENFLURIDOL,0.1111111111111111,0.0
SGI-1027||VE-822,VE-822,SGI-1027,0.0,0.0
Ceritinib||SIMVASTATIN,SIMVASTATIN,Ceritinib,0.0,0.0
3-CPMT||Ceritinib,3-CPMT,Ceritinib,0.0,0.0
Ceritinib||norfluoxetine,norfluoxetine,Ceritinib,0.0,0.0
Auranofin||PERHEXILINE MALEATE,PERHEXILINE MALEATE,Auranofin,0.0,0.0
CLOMIPHENE CITRATE||Ceritinib,CLOMIPHENE CITRATE,Ceritinib,0.0,0.0
SGI-1027||TOREMIFENE CITRATE,TOREMIFENE CITRATE,SGI-1027,0.0,0.0
10-DEBC||Ceritinib,10-DEBC,Ceritinib,0.0,0.0
SGI-1027||droloxifene,droloxifene,SGI-1027,0.0,0.0
Cathepsin Inhibitor 1||SGI-1027,Cathepsin Inhibitor 1,SGI-1027,0.0,0.0
PD173074||SGI-1027,PD173074,SGI-1027,0.0,0.0
GK921||SB-772077B,SB-772077B,GK921,0.0,0.0
GW-803430||SGI-1027,GW-803430,SGI-1027,0.0,0.0
MCOPPB||SGI-1027,MCOPPB,SGI-1027,0.0,0.0
GK921||Thiazovivin,GK921,Thiazovivin,0.0,0.0
Ceritinib||UNC0638,UNC0638,Ceritinib,0.0,0.0
SGI-1027||StemRegenin 1,StemRegenin 1,SGI-1027,0.0,0.0
Ceritinib||GSK2606414,GSK2606414,Ceritinib,0.0,0.0
Ceritinib||SR-33805 oxalate,SR-33805 oxalate,Ceritinib,0.0,0.0
Bazedoxifene HCl||SGI-1027,Bazedoxifene HCl,SGI-1027,0.0,0.0
Ceritinib||Curcumin,Ceritinib,Curcumin,0.0,0.0
SGI-1027||norfluoxetine,norfluoxetine,SGI-1027,0.0,0.0
Ceritinib||JHW-007,JHW-007,Ceritinib,0.0,0.0
AY-9944||SGI-1027,AY-9944,SGI-1027,0.0,0.0
Auranofin||Ceritinib,Ceritinib,Auranofin,0.0,0.0
Auranofin||NPS-2143 (SB262470),Auranofin,NPS-2143 (SB262470),0.0,0.0
Auranofin||thaliblastine,Auranofin,thaliblastine,,0.0
Ceritinib||PENFLURIDOL,PENFLURIDOL,Ceritinib,0.0,0.0
Auranofin||Flupentixol,Flupentixol,Auranofin,0.0,0.0
Ceritinib||droloxifene,droloxifene,Ceritinib,0.0,0.0
Ceritinib||GR-127935,GR-127935,Ceritinib,0.0,0.0
Ceritinib||NPS-2143 (SB262470),Ceritinib,NPS-2143 (SB262470),0.0,0.0
Ceritinib||FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE,Ceritinib,0.0,0.0
Auranofin||PHA-665752,PHA-665752,Auranofin,0.0,0.0
Auranofin||PENFLURIDOL,PENFLURIDOL,Auranofin,0.0,0.0
Crizotinib (PF-02341066)||SGI-1027,Crizotinib (PF-02341066),SGI-1027,0.0,0.0
BMS-833923 (XL139)||Ceritinib,Ceritinib,BMS-833923 (XL139),0.0,0.0
Dronedarone HCl (Multaq)||Y-29794 oxalate,Y-29794 oxalate,Dronedarone HCl (Multaq),0.0,0.0
Crizotinib (PF-02341066)||PENFLURIDOL,PENFLURIDOL,Crizotinib (PF-02341066),0.007936507936507936,0.0
SB-772077B||Tenovin-6,SB-772077B,Tenovin-6,0.0,0.0
Crizotinib (PF-02341066)||RU-SKI-43,RU-SKI-43,Crizotinib (PF-02341066),0.0,0.0
L-733060||SGI-1027,L-733060,SGI-1027,0.0,0.0
Auranofin||Y-29794 oxalate,Y-29794 oxalate,Auranofin,0.0,0.0
SB-216641||SGI-1027,SB-216641,SGI-1027,0.0,0.0
JHW-007||SGI-1027,JHW-007,SGI-1027,0.0,0.0
Crizotinib (PF-02341066)||LY2608204,Crizotinib (PF-02341066),LY2608204,0.0,0.0
MK-2206 dihydrochloride||SB-216641,SB-216641,MK-2206 dihydrochloride,0.0,0.0
SGI-1027||UNC0638,UNC0638,SGI-1027,0.0,0.0
Ceritinib||Ozanimod,Ozanimod,Ceritinib,0.0,0.0
IKK-16||pyrintegrin,pyrintegrin,IKK-16,0.0,0.0
BAY-11-7082||Golvatinib (E7050),BAY-11-7082,Golvatinib (E7050),0.0,0.0
ML-298||SB-772077B,SB-772077B,ML-298,0.0,0.0
KU-60019||SB-772077B,SB-772077B,KU-60019,0.0,0.0
DCC-2036 (Rebastinib)||Thiazovivin,Thiazovivin,DCC-2036 (Rebastinib),0.0,0.0
Thiazovivin||madrasin,madrasin,Thiazovivin,0.0,0.0
THIORIDAZINE HYDROCHLORIDE||Thiazovivin,THIORIDAZINE HYDROCHLORIDE,Thiazovivin,0.0,0.0
Lomitapide||SIMVASTATIN,SIMVASTATIN,Lomitapide,0.07692307692307693,0.0
Lomitapide||PENFLURIDOL,PENFLURIDOL,Lomitapide,0.0,0.0
Ceritinib||Thiazovivin,Ceritinib,Thiazovivin,0.0,0.0
IT1t||Thiazovivin,IT1t,Thiazovivin,0.0,0.0
LY2608204||SB-772077B,SB-772077B,LY2608204,0.0,0.0
Thiazovivin||U-18666A,U-18666A,Thiazovivin,0.0,0.0
Ebastine||Thiazovivin,Thiazovivin,Ebastine,0.0,0.0
BMS-833923 (XL139)||PENFLURIDOL,PENFLURIDOL,BMS-833923 (XL139),0.0,0.0
NVP-ADW742||Revaprazan Hydrochloride,Revaprazan Hydrochloride,NVP-ADW742,0.0,0.0
Lasofoxifene (Tartrate)||Thiazovivin,Lasofoxifene (Tartrate),Thiazovivin,0.0,0.0
GK921||MCOPPB,MCOPPB,GK921,0.0,0.0
IT1t||SGI-1027,IT1t,SGI-1027,0.0,0.0
NPS-2143 (SB262470)||SGI-1776 free base,SGI-1776 free base,NPS-2143 (SB262470),0.0625,0.0
Dronedarone HCl (Multaq)||pyrintegrin,pyrintegrin,Dronedarone HCl (Multaq),0.0,0.0
AY-9944||Thiazovivin,AY-9944,Thiazovivin,,0.0
GK921||GSK2606414,GSK2606414,GK921,0.0,0.0
AS-1892802||PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE EDISYLATE,AS-1892802,0.0,0.0
3-CPMT||NVP-ADW742,3-CPMT,NVP-ADW742,0.0,0.0
BMS-833923 (XL139)||UNC0638,UNC0638,BMS-833923 (XL139),0.0,0.0
MK-2206 dihydrochloride||SNAP-5089,SNAP-5089,MK-2206 dihydrochloride,0.0,0.0
AMODIAQUINE DIHYDROCHLORIDE||Dronedarone HCl (Multaq),AMODIAQUINE DIHYDROCHLORIDE,Dronedarone HCl (Multaq),0.038461538461538464,0.0
NPS-2143 (SB262470)||PENFLURIDOL,PENFLURIDOL,NPS-2143 (SB262470),0.0,0.0
WAY-600||pifithrin-mu,pifithrin-mu,WAY-600,0.0,0.0
UNC0638||WAY-600,UNC0638,WAY-600,0.0,0.0
MK-2206 dihydrochloride||fendiline,fendiline,MK-2206 dihydrochloride,0.0,0.0
AG-1478 (Tyrphostin AG-1478)||NVP-ADW742,NVP-ADW742,AG-1478 (Tyrphostin AG-1478),0.0,0.0
SB-268262||SB-772077B,SB-772077B,SB-268262,0.0,0.0
MCOPPB||Thiazovivin,MCOPPB,Thiazovivin,0.0,0.0
AS-1892802||EHop-016,AS-1892802,EHop-016,0.0,0.0
PERHEXILINE MALEATE||SB-216641,SB-216641,PERHEXILINE MALEATE,0.0,0.0
7-methoxytacrine||AS-1892802,AS-1892802,7-methoxytacrine,0.0,0.0
BMS-833923 (XL139)||Dronedarone HCl (Multaq),Dronedarone HCl (Multaq),BMS-833923 (XL139),0.0,0.0
SB-216641||Y-29794 oxalate,SB-216641,Y-29794 oxalate,0.0,0.0
GW-803430||SB-216641,SB-216641,GW-803430,0.15384615384615385,0.0
AS-1892802||Lasofoxifene (Tartrate),AS-1892802,Lasofoxifene (Tartrate),0.0,0.0
MK-2206 dihydrochloride||PD173074,MK-2206 dihydrochloride,PD173074,0.0,0.0
BAY-11-7082||BCX 1470 (methanesulfonate),BAY-11-7082,BCX 1470 (methanesulfonate),0.0,0.0
BMS-833923 (XL139)||PD173074,PD173074,BMS-833923 (XL139),0.0,0.0
EHop-016||Miransertib,Miransertib,EHop-016,0.0,0.0
Bazedoxifene HCl||MK-2206 dihydrochloride,MK-2206 dihydrochloride,Bazedoxifene HCl,0.0,0.0
JHW-007||NVP-ADW742,JHW-007,NVP-ADW742,0.0,0.0
PERHEXILINE MALEATE||Thiazovivin,PERHEXILINE MALEATE,Thiazovivin,0.0,0.0
BMS-833923 (XL139)||Bazedoxifene HCl,Bazedoxifene HCl,BMS-833923 (XL139),0.0,0.0
JHW-007||WAY-600,JHW-007,WAY-600,0.0,0.0
SIMVASTATIN||Y-29794 oxalate,SIMVASTATIN,Y-29794 oxalate,0.0,0.0
AMODIAQUINE DIHYDROCHLORIDE||PENFLURIDOL,AMODIAQUINE DIHYDROCHLORIDE,PENFLURIDOL,0.0,0.0
PENFLURIDOL||Siramesine (hydrochloride),PENFLURIDOL,Siramesine (hydrochloride),0.04,0.0
Bazedoxifene HCl||SGI-1776 free base,Bazedoxifene HCl,SGI-1776 free base,0.0,0.0
Miransertib||PENFLURIDOL,PENFLURIDOL,Miransertib,0.0,0.0
SGI-1776 free base||SR-33805 oxalate,SR-33805 oxalate,SGI-1776 free base,0.0,0.0
PENFLURIDOL||Thiazovivin,PENFLURIDOL,Thiazovivin,0.0,0.0
MK-2206 dihydrochloride||PERHEXILINE MALEATE,PERHEXILINE MALEATE,MK-2206 dihydrochloride,0.0,0.0
NVP-BSK805 2HCl||PENFLURIDOL,PENFLURIDOL,NVP-BSK805 2HCl,0.0,0.0
BMS-833923 (XL139)||MCOPPB,MCOPPB,BMS-833923 (XL139),0.0,0.0
MK-2206 dihydrochloride||Tenovin-6,MK-2206 dihydrochloride,Tenovin-6,0.0,0.0
CGP-71683||SB-772077B,CGP-71683,SB-772077B,0.0,0.0
Flumatinib (mesylate)||NVP-BSK805 2HCl,Flumatinib (mesylate),NVP-BSK805 2HCl,0.14285714285714285,0.0
Dronedarone HCl (Multaq)||SB-268262,SB-268262,Dronedarone HCl (Multaq),0.0,0.0
FLUPHENAZINE HYDROCHLORIDE||MK-2206 dihydrochloride,FLUPHENAZINE HYDROCHLORIDE,MK-2206 dihydrochloride,0.0,0.0
Ebastine||GR-127935,GR-127935,Ebastine,0.15151515151515152,0.0
PENFLURIDOL||WAY-600,PENFLURIDOL,WAY-600,0.0,0.0
EHop-016||NPS-2143 (SB262470),NPS-2143 (SB262470),EHop-016,0.0,0.0
Arglabin||tecalcet,tecalcet,Arglabin,0.0,0.0
NPS-2143 (SB262470)||SGI-1027,NPS-2143 (SB262470),SGI-1027,0.0,0.0
NVP-BSK805 2HCl||Salmeterol (xinafoate),Salmeterol (xinafoate),NVP-BSK805 2HCl,0.0,0.0
PENFLURIDOL||THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,PENFLURIDOL,0.48484848484848486,0.0
Dronedarone HCl (Multaq)||NVP-BSK805 2HCl,Dronedarone HCl (Multaq),NVP-BSK805 2HCl,0.0,0.0
BAY-11-7082||Y-29794 oxalate,Y-29794 oxalate,BAY-11-7082,0.0,0.0
NTNCB||Thiazovivin,NTNCB,Thiazovivin,0.0,0.0
BAY-11-7082||SR-33805 oxalate,BAY-11-7082,SR-33805 oxalate,0.0,0.0
Dronedarone HCl (Multaq)||Imatinib Mesylate (STI571),Imatinib Mesylate (STI571),Dronedarone HCl (Multaq),0.0,0.0
Dronedarone HCl (Multaq)||GR-127935,GR-127935,Dronedarone HCl (Multaq),0.0,0.0
METITEPINE MESYLATE||MK-2206 dihydrochloride,METITEPINE MESYLATE,MK-2206 dihydrochloride,0.0,0.0
CHLORHEXIDINE DIHYDROCHLORIDE||Dronedarone HCl (Multaq),CHLORHEXIDINE DIHYDROCHLORIDE,Dronedarone HCl (Multaq),0.05714285714285714,0.0
BAY-11-7082||PENFLURIDOL,PENFLURIDOL,BAY-11-7082,0.0,0.0
MK-2206 dihydrochloride||thiethylperazine,thiethylperazine,MK-2206 dihydrochloride,0.0,0.0
BMS-833923 (XL139)||VE-822,VE-822,BMS-833923 (XL139),0.0,0.0
GK921||N-benzylnaltrindole,N-benzylnaltrindole,GK921,0.0,0.0
AMG-548||GNF-5837,AMG-548,GNF-5837,0.0,0.0
BNTX||parthenolide-(alternate-stereo),BNTX,parthenolide-(alternate-stereo),0.0,0.0
EHop-016||SB-216641,SB-216641,EHop-016,0.0,0.0
NPS-2143 (SB262470)||NVP-ADW742,NVP-ADW742,NPS-2143 (SB262470),0.0,0.0
Dronedarone HCl (Multaq)||Endoxifen HCl,Dronedarone HCl (Multaq),Endoxifen HCl,0.0,0.0
AMG-548||Miransertib,AMG-548,Miransertib,0.0,0.0
MK-2206 dihydrochloride||Y-320,MK-2206 dihydrochloride,Y-320,0.0,0.0
GNF-5837||Miransertib,GNF-5837,Miransertib,0.0,0.0
SB-268262||VE-822,SB-268262,VE-822,0.0,0.0
L-760735||MK-2206 dihydrochloride,L-760735,MK-2206 dihydrochloride,0.0,0.0
SGI-1027||Siramesine (hydrochloride),Siramesine (hydrochloride),SGI-1027,0.0,0.0
MK-2206 dihydrochloride||PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,MK-2206 dihydrochloride,0.0,0.0
JHW-007||Tenovin-6,JHW-007,Tenovin-6,0.0,0.0
NVP-ADW742||Ozanimod,NVP-ADW742,Ozanimod,0.0,0.0
EHop-016||PERHEXILINE MALEATE,PERHEXILINE MALEATE,EHop-016,0.0,0.0
MK-2206 dihydrochloride||TRIFLUPROMAZINE HYDROCHLORIDE,TRIFLUPROMAZINE HYDROCHLORIDE,MK-2206 dihydrochloride,0.0,0.0
JHW-007||Sunitinib,JHW-007,Sunitinib,0.0,0.0
NPS-2143 (SB262470)||NVP-BSK805 2HCl,NPS-2143 (SB262470),NVP-BSK805 2HCl,0.0,0.0
NVP-BSK805 2HCl||haloprogin,haloprogin,NVP-BSK805 2HCl,0.0,0.0
BMS-833923 (XL139)||SB-216641,SB-216641,BMS-833923 (XL139),0.0,0.0
BNTX||PD173074,BNTX,PD173074,0.0,0.0
AY-9944||SGI-1776 free base,AY-9944,SGI-1776 free base,0.0,0.0
Revaprazan Hydrochloride||SULOCTIDIL,SULOCTIDIL,Revaprazan Hydrochloride,0.0,0.0
SR-33805 oxalate||cyclovalone,SR-33805 oxalate,cyclovalone,0.0,0.0
BMS-833923 (XL139)||NPS-2143 (SB262470),NPS-2143 (SB262470),BMS-833923 (XL139),0.0,0.0
BMS-833923 (XL139)||L-733060,L-733060,BMS-833923 (XL139),0.0,0.0
Miransertib||UNC1999,Miransertib,UNC1999,0.0,0.0
Ceritinib||MK-2206 dihydrochloride,Ceritinib,MK-2206 dihydrochloride,0.0,0.0
BMS-833923 (XL139)||WAY-600,WAY-600,BMS-833923 (XL139),0.0,0.0
