rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroE6_relevant,mechanistic_rationale
1,CHEMBL3752910,3.4512915960161155,1.0719986624365254,0.06204585876457055,6.919156267440078,0.0,"AAK1,ATP6V0C,ATP6V1H,CLTC",Aggrephagy; COPII-mediated vesicle transport; Chaperone Mediated Autophagy,,True,"Host protein hits: AAK1,ATP6V0C,ATP6V1H,CLTC | Relevant pathways: Aggrephagy; COPII-mediated vesicle transport; Chaperone Mediated Autophagy"
2,CHEMBL1232461,3.161486676640062,1.5140039616460719,0.0190535325067693,10.023496791782325,0.0,CTSD,Aggrephagy; Cargo recognition for clathrin-mediated endocytosis; Chaperone Mediated Autophagy,,True,Host protein hits: CTSD | Relevant pathways: Aggrephagy; Cargo recognition for clathrin-mediated endocytosis; Chaperone Mediated Autophagy
3,CHEMBL35241,2.9619950895637284,2.7289240857553416,4.961680155918803,0.0,0.0,"ACE2,FURIN,TMPRSS2",,,False,"Host protein hits: ACE2,FURIN,TMPRSS2"
4,CHEMBL590799,1.9415657758231553,1.8064318812677724,3.0168384637512915,0.981138174697081,0.0,"CTSL,TMPRSS2",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSL,TMPRSS2 | Relevant pathways: Endosomal/Vacuolar pathway"
5,CHEMBL535,1.9277848697173288,0.6352060527577144,0.0360726078658958,4.102440789543145,0.0,AAK1,Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis; ER-Phagosome pathway,,True,Host protein hits: AAK1 | Relevant pathways: Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis; ER-Phagosome pathway
6,CHEMBL1908397,1.5260956475321115,0.38653998131730677,0.0360726078658958,2.4446669799404273,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy
7,CHEMBL608533,1.4634793063317082,0.41051985172967903,0.0360726078658958,2.6045327826895757,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy
8,CHEMBL1287853,1.4562076064299496,0.38653998131730677,0.0360726078658958,2.4446669799404273,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy
9,CHEMBL1535,1.44923811955006,1.3067692048552433,2.0702145328032895,1.1210080787562275,0.0,ACE2,MyD88 dependent cascade initiated on endosome,,True,Host protein hits: ACE2 | Relevant pathways: MyD88 dependent cascade initiated on endosome
10,CHEMBL509032,1.3293919249582893,0.3638038509630142,0.0360726078658958,2.293092777578477,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy
11,CHEMBL1230609,1.2902366095786812,0.3600144490221073,0.0,2.4000963268140487,0.0,,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,False,Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy
12,CHEMBL572878,1.2893678518225051,0.3638038509630142,0.0360726078658958,2.293092777578477,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy
13,CHEMBL76,1.270033105672097,1.1386179930418092,2.0702145328032895,0.0,0.0,ACE2,,,False,Host protein hits: ACE2
