compound_name,chembl_id
(-)-Huperzine A,CHEMBL395280
"1,12-Besm",CHEMBL18794
"1,2,3,4,5,6-hexabromocyclohexane",CHEMBL444236
"1,3-dipropyl-8-phenylxanthine",CHEMBL158507
"1,4-butanediol",CHEMBL171623
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",CHEMBL3306352
"1-(1,2-diphenylethyl)piperidine-(+/-)",CHEMBL4303426
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,CHEMBL4303224
1-EBIO,CHEMBL452887
1-acetyl-4-methylpiperazine,CHEMBL575239
1-azakenpaullone,CHEMBL336961
1-deoxymannojirimycin,CHEMBL84844
1-ethyl-2-pyrrolidone,CHEMBL12221
1-hexadecanal,CHEMBL1235338
1-hexadecanol,CHEMBL706
1-naphthyl-PP1,CHEMBL264406
1-octacosanol,CHEMBL1951714
1-phenylbiguanide,CHEMBL13791
10-DEBC,CHEMBL1398474
10-deacetylbaccatin,CHEMBL393912
10-hydroxycamptothecin,CHEMBL273862
10058-F4,CHEMBL1568415
1400W,CHEMBL107251
17-PA,CHEMBL4303423
17-alpha-Methyltestosterone,CHEMBL1395
17-hydroxyprogesterone-caproate,CHEMBL1200848
"1S,2R-phenylpropanolamine",CHEMBL2092846
2'-MeCCPA,CHEMBL251997
"2,3-DCPE",CHEMBL1356094
"2,3-cis/exo-pinanediol",CHEMBL4303395
"2,4-dinitrophenol",CHEMBL273386
"2,5-furandimethanol",CHEMBL4303433
2-(1-adamantylamino)benzoic-acid,CHEMBL4303278
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",CHEMBL4303207
2-APB,CHEMBL169233
2-BFI,CHEMBL404505
2-CMDO,CHEMBL90882
2-PMDQ,CHEMBL71492
2-TEDC,CHEMBL37081
2-[1-(4-piperonyl)piperazinyl]benzothiazole,CHEMBL24909
2-aminobenzenesulfonamide,CHEMBL6705
2-chloro-N6-cyclopentyladenosine,CHEMBL284969
2-chloroadenosine,CHEMBL285819
2-cyanopyrimidine,CHEMBL3352946
2-deoxyglucose,CHEMBL2074932
2-ethoxybenzoic-acid,CHEMBL4303266
"2-ethyl-1,3-hexanediol",CHEMBL1451179
2-fluoro-2-deoxy-D-galactose,CHEMBL1234222
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione",CHEMBL569170
2-hydroxyethyl-salicylate,CHEMBL173562
2-hydroxyflutamide,CHEMBL491
2-hydroxysaclofen,CHEMBL1256573
2-iminobiotin,CHEMBL1233598
2-iodohippuric-acid,CHEMBL1681
2-iodomelatonin,CHEMBL289233
2-methoxyestradiol,CHEMBL299613
2-methyl-5-hydroxytryptamine,CHEMBL266591
2-methyl-5-nitrophenol,CHEMBL4303614
2-methylimidazole,CHEMBL293391
2-octyldodecan-1-ol,CHEMBL1572050
2-oxoglutaric-acid,CHEMBL1686
2-phenylmelatonin,CHEMBL15060
2-pyridylethylamine,CHEMBL32813
2-thiouracil,CHEMBL345768
20-hydroxyecdysone,CHEMBL224128
3'-fluorobenzylspiperone,CHEMBL137648
"3,3'-dichlorobenzaldazine",CHEMBL3334990
"3,3'-diindolylmethane",CHEMBL446452
"3,4-DCPG-(+/-)",CHEMBL1331443
"3,4-methylenedioxy-beta-nitrostyrene",CHEMBL596380
3-(4-methylbenzylidene)camphor,CHEMBL2104261
3-AQC,CHEMBL90769
3-CPMT,CHEMBL540034
3-MATIDA,CHEMBL1322301
3-MPPI,CHEMBL301707
3-alpha-bis-(4-fluorophenyl)-methoxytropane,CHEMBL1552961
3-alpha-hydroxy-5-beta-androstan-17-one,CHEMBL85799
3-amino-benzamide,CHEMBL81977
3-anilinopropan-1-ol,CHEMBL2357012
3-bromo-7-nitroindazole,CHEMBL479014
3-bromocamphor,CHEMBL4303364
3-bromopyruvate,CHEMBL177837
3-carboxy-4-hydroxyphenylglycine-(S),CHEMBL128772
3-deazaadenosine,CHEMBL202701
3-deazaneplanocin-A,CHEMBL154745
3-hydroxy-3-phenylpentanamide,CHEMBL4303634
3-indolebutyric-acid,CHEMBL582878
3-methyl-GABA,CHEMBL275655
3-methyladenine,CHEMBL292268
3PO,CHEMBL3105848
"4,4'-DDT",CHEMBL416898
"4,4-pentamethylenepiperidine",CHEMBL2078948
"4,5,6,7-tetrabromobenzotriazole",CHEMBL177820
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,CHEMBL19259
4-CMTB,CHEMBL610463
4-DAMP,CHEMBL76897
4-HQN,CHEMBL266540
4-IBP,CHEMBL50112
4-P-PDOT,CHEMBL1402435
4-PPBP,CHEMBL325238
"4-acetyl-1,1-dimethylpiperazinium",CHEMBL356911
4-aminohippuric-acid,CHEMBL463
4-carboxy-3-hydroxyphenylglycine-(RS),CHEMBL1357932
4-chlorophenylguanidine,CHEMBL41040
4-galactosyllactose,CHEMBL4303712
4-hydroxy-phenazone,CHEMBL1526434
4-iodo-6-phenylpyrimidine,CHEMBL497802
4-iodo-L-phenylalanine,CHEMBL1235284
4-methylgenistein,CHEMBL131921
4-methylhistamine,CHEMBL275443
4-mu-8C,CHEMBL272357
4-phenolsulfonic-acid,CHEMBL1398657
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",CHEMBL1316537
4-propylbenzoic-acid,CHEMBL116159
4-pyrimidinecarbonitrile,CHEMBL3352956
4-tert-butylphenol,CHEMBL16217
4BP-TQS,CHEMBL4303195
4E1RCat,CHEMBL4577351
4EGI-1,CHEMBL3310197
4SC-202,CHEMBL4283683
5'-chloro-5'-deoxy-ENBA-(+/-),CHEMBL449575
"5,7-dichlorokynurenic-acid",CHEMBL50267
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",CHEMBL94841
5-BDBD,CHEMBL2180179
5-HMF,CHEMBL185885
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione",CHEMBL2105116
5-aminolevulinic-acid,CHEMBL601
5-carboxamidotryptamine,CHEMBL18840
5-fluoro-3-pyridyl-methanol,CHEMBL4303401
5-fluorouracil,CHEMBL185
5-hydroxymethyl-tolterodine,CHEMBL3348932
5-hydroxytryptophan,CHEMBL162789
5-iodo-A-85380,CHEMBL123433
5-methylfurmethiodide,CHEMBL1316369
5-methylhydantoin-(D),CHEMBL1394088
"6,7-dehydro-17-acetoxy-progesterone",CHEMBL4303675
6-aminochrysene,CHEMBL313154
6-benzylaminopurine,CHEMBL228862
6-chloromelatonin,CHEMBL34730
6-diazo-5-oxo-L-norleucine,CHEMBL4303391
6-iodo-nordihydrocapsaicin,CHEMBL177809
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",CHEMBL1192114
7-aminocephalosporanic-acid,CHEMBL1615585
7-chlorokynurenic-acid,CHEMBL311389
7-hydroxy-DPAT,CHEMBL1255966
7-hydroxy-PIPAT,CHEMBL110239
7-keto-DHEA,CHEMBL1875999
7-methoxytacrine,CHEMBL1256415
7-nitroindazole,CHEMBL247378
8-M-PDOT,CHEMBL99377
8-bromo-cAMP,CHEMBL1626177
8-bromo-cGMP,CHEMBL1741141
8-hydroxy-DPAT,CHEMBL56
8-hydroxy-PIPAT,CHEMBL284716
9-aminoacridine,CHEMBL43184
9-anthracenecarboxylic-acid,CHEMBL1513985
A-1070722,CHEMBL1982660
A-1120,CHEMBL1230001
A-317491,CHEMBL596234
A-33903,CHEMBL204738
A-366,CHEMBL3109630
A-412997,CHEMBL375596
A-438079,CHEMBL377219
A-582941,CHEMBL526281
A-674563,CHEMBL379218
A-7,CHEMBL1331148
A-769662,CHEMBL512504
A-784168,CHEMBL482834
A-803467,CHEMBL250699
A-804598,CHEMBL1628690
A-839977,CHEMBL1628691
A-867744,CHEMBL490153
A-887826,CHEMBL4303253
A-939572,CHEMBL469169
A-967079,CHEMBL3697701
A-987306,CHEMBL1935450
A12B4C3,CHEMBL4303462
A205804,CHEMBL267678
A61603,CHEMBL109783
A66,CHEMBL3218581
A740003,CHEMBL255787
A77636,CHEMBL291143
A922500,CHEMBL430405
AA-29504,CHEMBL4303215
ABACAVIR SULFATE,CHEMBL4303288
ABC-294640,CHEMBL2158685
ABT-202,CHEMBL5498530
ABT-239,CHEMBL351231
ABT-491,CHEMBL369225
ABT-639,CHEMBL3590674
ABT-702,CHEMBL66089
ABT-724,CHEMBL440687
ABT-737,CHEMBL376408
ABT-751,CHEMBL20684
AC-186,CHEMBL4303689
AC-261066,CHEMBL198997
AC-264613,CHEMBL494502
AC-55541,CHEMBL493076
AC-55649,CHEMBL425027
AC-710,CHEMBL2206278
AC-7954-(+/-),CHEMBL192359
ACDPP,CHEMBL1616372
ACPC,CHEMBL265325
ACT-132577,CHEMBL2165326
ACT-462206,CHEMBL3597952
ACTB-1003,CHEMBL3991934
ACY-1215,CHEMBL2364628
AD-5467,CHEMBL164603
ADD-233089,CHEMBL1516308
ADENOSINE TRIPHOSPHATE DISODIUM,CHEMBL2106579
ADL5859,CHEMBL494480
ADX-10059,CHEMBL3545036
ADX-47273,CHEMBL381055
AEE788,CHEMBL587723
AEG3482,CHEMBL19231
AF38469,CHEMBL3098745
AFN-1252,CHEMBL1652621
AG-1024,CHEMBL2218926
AG-14361,CHEMBL65892
AG-490,CHEMBL56543
AG-555,CHEMBL53898
AG-556,CHEMBL440298
AGI-5198,CHEMBL2180727
AGI-6780,CHEMBL3392845
AGN-192403,CHEMBL430112
AGN-194310,CHEMBL4303670
AGN-195183,CHEMBL107430
AGP-103,CHEMBL1173474
AH-7614,CHEMBL3311302
AH11110,CHEMBL1356346
AH6809,CHEMBL1317823
AI-10-49,CHEMBL4303677
AIM-100,CHEMBL247070
AJ76-(+),CHEMBL27441
AK-7,CHEMBL3222141
AL-8697,CHEMBL2087742
ALS-8112,CHEMBL3417243
ALX-5407,CHEMBL180966
AM-1241,CHEMBL408430
AM-24,CHEMBL81721
AM-251,CHEMBL285932
AM-281,CHEMBL476833
AM-404,CHEMBL39878
AM-580,CHEMBL69367
AM-630,CHEMBL181633
AM095,CHEMBL2182052
AM679,CHEMBL595092
AMD-3465,CHEMBL477121
AMD11070,CHEMBL518924
AMG-208,CHEMBL496102
AMG-232,CHEMBL3125702
AMG-337,CHEMBL3785909
AMG-487-(+/-),CHEMBL397983
AMG-517,CHEMBL229430
AMG-548,CHEMBL585902
AMG-837,CHEMBL1829173
AMG-925,CHEMBL3237719
AMG-9810,CHEMBL195789
AMG-PERK-44,CHEMBL3407862
AMG319,CHEMBL4303596
AMG458,CHEMBL460472
AMG900,CHEMBL2140408
AMI-1,CHEMBL3109656
AMN-082,CHEMBL1387826
AMPA-(RS),CHEMBL14815
AMZ30,CHEMBL1550905
AN2718,CHEMBL211538
ANA-12,CHEMBL4303548
ANR-94,CHEMBL4303273
AP-18,CHEMBL593902
AP26113,CHEMBL3397300
APC-100,CHEMBL37676
APD597,CHEMBL1951032
APD668,CHEMBL1775179
API-001,CHEMBL2170062
API-1,CHEMBL4303566
APR-246,CHEMBL3186011
APTO-253,CHEMBL4297261
APY-29,CHEMBL1231018
APY0201,CHEMBL4303292
APcK-110,CHEMBL4303655
AQ-RA741,CHEMBL43383
AR-12,CHEMBL1650595
AR-42,CHEMBL191482
AR-A014418,CHEMBL259850
AR-C155858,CHEMBL375166
ARC-239,CHEMBL362051
ARQ-092,CHEMBL4297188
ARQ-621,CHEMBL4303449
ARRY-334543,CHEMBL2103842
ARTENIMOL,CHEMBL307261
ARV-825,CHEMBL4226052
AS-1269574,CHEMBL1956589
AS-1892802,CHEMBL2023158
AS-1949490,CHEMBL2337806
AS-2034178,CHEMBL4303234
AS-2444697,CHEMBL3546136
AS-252424,CHEMBL379156
AS-604850,CHEMBL1231533
AS-703026,CHEMBL2107832
AS-77,CHEMBL444449
ASA-404,CHEMBL71263
ASC-J9,CHEMBL128748
ASCORBIC ACID,CHEMBL196
ASP-2535,CHEMBL4303475
ASP3026,CHEMBL3545360
AST-1306,CHEMBL1947204
AT-1015,CHEMBL4303347
AT-7519,CHEMBL445813
AT-9283,CHEMBL495727
AT13148,CHEMBL3544960
AT13387,CHEMBL1214827
AT7867,CHEMBL428462
ATB-346,CHEMBL4211107
ATN-161,CHEMBL4297456
ATPA,CHEMBL113180
ATROPINE SULFATE,CHEMBL3185794
AV-608,CHEMBL1765508
AVE-0991,CHEMBL4303593
AVL-292,CHEMBL3301625
AVN-944,CHEMBL3349001
AY-9944,CHEMBL3775982
AZ-10417808,CHEMBL586058
AZ-10606120,CHEMBL562308
AZ-12080282,CHEMBL2059865
AZ-628,CHEMBL2144069
AZ191,CHEMBL3421968
AZ20,CHEMBL2325697
AZ3146,CHEMBL2140523
AZ505,CHEMBL2169920
AZ5104,CHEMBL3353411
AZ960,CHEMBL1774055
AZD1080,CHEMBL1969664
AZD1208,CHEMBL2048872
AZD1283,CHEMBL2419490
AZD1446,CHEMBL2179529
AZD1480,CHEMBL1231124
AZD1981,CHEMBL1914489
AZD2014,CHEMBL2336325
AZD2461,CHEMBL4098253
AZD2858,CHEMBL2177161
AZD3264,CHEMBL4303437
AZD3463,CHEMBL4203266
AZD3514,CHEMBL2346976
AZD3759,CHEMBL3623290
AZD3839,CHEMBL2177913
AZD3965,CHEMBL3335793
AZD3988,CHEMBL2036730
AZD4282,CHEMBL773
AZD4547,CHEMBL3348846
AZD5363,CHEMBL2325741
AZD5438,CHEMBL488436
AZD5582,CHEMBL3108827
AZD6482,CHEMBL2165191
AZD6738,CHEMBL3648328
AZD7545,CHEMBL1231132
AZD7687,CHEMBL2178944
AZD7762,CHEMBL2041933
AZD8055,CHEMBL1801204
AZD8186,CHEMBL3408248
AZD8330,CHEMBL3182621
AZD8835,CHEMBL3894518
AZD8931,CHEMBL2408045
AZD9272,CHEMBL2164551
AZD9496,CHEMBL3623004
AZD9668,CHEMBL3617964
AZM-475271,CHEMBL426161
Abiraterone (CB-7598),CHEMBL254328
BAG-956,CHEMBL2134545
BAM7,CHEMBL3187660
BAN-ORL-24,CHEMBL201945
BAX-channel-blocker,CHEMBL1402326
BAY-11-7082,CHEMBL403183
BAY-11-7085,CHEMBL270299
BAY-41-2272,CHEMBL353759
BAY-60-6583,CHEMBL4202825
BAY-60-7550,CHEMBL370962
BAY-61-3606,CHEMBL541400
BAY-85-8050,CHEMBL1650467
BAY-87-2243,CHEMBL4303384
BAY-K-8644-(+/-),CHEMBL513599
BAY-W-9798,CHEMBL4303598
BAZ2-ICR,CHEMBL4296718
BC-11,CHEMBL4303420
BCI-540,CHEMBL37935
BCTC,CHEMBL441472
BCX-1470,CHEMBL2220483
BD-1008,CHEMBL20377
BD-1047,CHEMBL143360
BD-1063,CHEMBL73824
BE-2254,CHEMBL1515808
BET-BAY-002,CHEMBL3785668
"BETAMETHASONE 17,21-DIPROPIONATE",CHEMBL1200384
BETAMETHASONE VALERATE,CHEMBL1497
BETP,CHEMBL4303527
BGT226,CHEMBL3545096
BHQ,CHEMBL480626
BI-224436,CHEMBL3259907
BI-2536,CHEMBL513909
BI-78D3,CHEMBL508280
BI-847325,CHEMBL3699142
BI-D1870,CHEMBL573107
BIBN4096,CHEMBL207197
BIBR-1532,CHEMBL27323
BIBU-1361,CHEMBL1358485
BIBX-1382,CHEMBL258940
BIIB021,CHEMBL467399
BIMU-8,CHEMBL324057
BINA,CHEMBL593013
BIO-5192,CHEMBL4303683
BIRT-377,CHEMBL367808
BIX-01294,CHEMBL569864
BIX-02188,CHEMBL4303171
BIX-02189,CHEMBL2381342
BL-5583,CHEMBL312607
BLU9931,CHEMBL4068896
BML-190,CHEMBL72631
BML-284,CHEMBL4303671
BMS-182874,CHEMBL267458
BMS-191011,CHEMBL45349
BMS-191095,CHEMBL11594
BMS-265246,CHEMBL310840
BMS-299897,CHEMBL247471
BMS-309403,CHEMBL247920
BMS-345541,CHEMBL471496
BMS-470539,CHEMBL14642
BMS-536924,CHEMBL401930
BMS-566419,CHEMBL229008
BMS-587101,CHEMBL214529
BMS-599626,CHEMBL1645462
BMS-649,CHEMBL112715
BMS-688521,CHEMBL1098726
BMS-690514,CHEMBL3545396
BMS-707035,CHEMBL486226
BMS-777607,CHEMBL460702
BMS-806,CHEMBL337301
BMS-817378,CHEMBL4303546
BMS-833923,CHEMBL3545403
BMS-863233,CHEMBL2030402
BMS-983970,CHEMBL4303322
BMS-CCR2-22,CHEMBL273083
BMY-14802,CHEMBL60859
BMY-45778,CHEMBL125569
BMY-7378,CHEMBL543741
BNC105,CHEMBL1852492
BNTX,CHEMBL252172
BP-554,CHEMBL1401324
BP-897,CHEMBL540612
BQ-123,CHEMBL314691
BQ-788,CHEMBL1515091
BQU57,CHEMBL3927655
BRD4770,CHEMBL3970748
BRD7389,CHEMBL4303592
BRD9876,CHEMBL4303295
BRL-15572,CHEMBL534232
BRL-26314,CHEMBL4303469
BRL-37344,CHEMBL284782
BRL-44408,CHEMBL216097
BRL-50481,CHEMBL484928
BRL-52537,CHEMBL71294
BRL-54443,CHEMBL1371156
BS-181,CHEMBL1801932
BTB06584,CHEMBL4303674
BTB1,CHEMBL1990168
BTS,CHEMBL1625728
BTS-54505,CHEMBL1597911
BTS-72664,CHEMBL4303701
BTT-3033,CHEMBL4303254
BU-224,CHEMBL13698
BU-239,CHEMBL1368511
BU226,CHEMBL1518173
BVD-523,CHEMBL3590106
BVT-2733,CHEMBL463978
BVT-948,CHEMBL580421
BW-180C,CHEMBL340032
BW-373U86,CHEMBL25230
BW-616U,CHEMBL81099
BW-723C86,CHEMBL1600780
BW-A4C,CHEMBL314360
BX-795,CHEMBL577784
BX-912,CHEMBL3916849
BYK-204165,CHEMBL4303397
Bardoxolone Methyl,CHEMBL1762621
Betapar (Meprednisone),CHEMBL1201148
Boceprevir,CHEMBL218394
Brivaracetam,CHEMBL607400
C-021,CHEMBL508207
C-1,CHEMBL75773
C-751,CHEMBL4303392
C34,CHEMBL4303607
C646,CHEMBL1797936
CARBENOXOLONE SODIUM,CHEMBL1697717
CARISOPRODOL,CHEMBL1233
CAY10505,CHEMBL590022
CB-03-01,CHEMBL3590187
CB-10-277,CHEMBL422037
CB-5083,CHEMBL3747513
CB-839,CHEMBL3639788
CBiPES,CHEMBL4303163
CC-115,CHEMBL3586573
CC-223,CHEMBL3586404
CC-401,CHEMBL1614713
CC-930,CHEMBL1950289
CC4,CHEMBL4303499
CCG-1423,CHEMBL4303616
CCG-50014,CHEMBL1917204
CCG-63802,CHEMBL1476646
CCG-63808,CHEMBL1604848
CCMI,CHEMBL271130
CCMQ,CHEMBL25599
CCT-031374,CHEMBL4303205
CCT018159,CHEMBL399530
CCT128930,CHEMBL263664
CCT129202,CHEMBL392525
CCT137690,CHEMBL1236904
CD-1530,CHEMBL5277896
CD-437,CHEMBL1180
CDBA,
CDK1-5-inhibitor,CHEMBL259389
CDPPB,CHEMBL190270
CE3F4,CHEMBL4159565
CEFTIOFUR HYDROCHLORIDE,CHEMBL2106486
CEFUROXIME SODIUM,CHEMBL2146124
CEP-32496,CHEMBL2029988
CEP-33779,CHEMBL2062804
CF102,CHEMBL431733
CFM-2,CHEMBL279218
CFTRinh-172,CHEMBL1554655
CG-400549,CHEMBL488937
CGH2466,CHEMBL1551336
CGK-733,CHEMBL1221601
CGM097,CHEMBL3601398
CGP-12177,CHEMBL420746
CGP-13501,CHEMBL1256746
CGP-20712A,CHEMBL280822
CGP-37157,CHEMBL1495071
CGP-37849,CHEMBL29811
CGP-52411,CHEMBL268868
CGP-53353,CHEMBL7939
CGP-54626,CHEMBL2391908
CGP-55845,CHEMBL455185
CGP-57380,CHEMBL1240885
CGP-60474,CHEMBL300389
CGP-71683,CHEMBL17645
CGP-74514,CHEMBL367625
CGP-78608,CHEMBL86313
CGP-7930,CHEMBL1256697
