rank,compound_name,chembl_id,priority_hits_count,composite_score,cp_best_score,cp_best_conc_uM,flag_cp_top150,cp_norm,ab_best_infection,ab_best_conc_uM,flag_ab_lt60,ab_norm,cpe_best_inhib,cpe_best_conc_uM,flag_cpe_gt15,cpe_norm,cpe_min_viability,cpe_viability_at_best,flag_cytotox_strong,flag_cytotox_moderate,flag_ab_good_but_cytotox,flag_cp_only,flag_ab_only,flag_cpe_only,flag_cpe_best_at_max_conc,assay_discordance,confounder_notes,discrepancy_explanation,cp_n,ab_n,cpe_n
1,calpeptin,CHEMBL92708,3,0.9980810234541577,0.814524615295161,10.0,True,0.99748013180849,12.5,10.0,True,0.9986431478968792,66.86,10.0,True,0.997867803837953,92.06601931,92.06601931,False,False,False,False,False,False,True,0.0005921788066105601,CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,Multi-assay support (>=2 priority criteria met).,1,1,5
2,PF-02545920,CHEMBL562318,3,0.9976448924210118,0.927244421908229,10.0,True,0.9996123279705369,8.0,10.0,True,0.9996123279705369,52.35,10.0,True,0.9939910835433223,100.5108061,101.7203707,False,False,False,False,False,False,True,0.0032454269832330137,CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,Multi-assay support (>=2 priority criteria met).,1,1,5
3,CYM-50358,CHEMBL1779732,3,0.9972669121922852,0.717049052463296,10.0,True,0.9926342314402016,7.5,10.0,True,0.9998061639852684,66.2,10.0,True,0.9976739678232216,96.63121022,96.77401011,False,False,False,False,False,False,True,0.0036828842798992123,CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,Multi-assay support (>=2 priority criteria met).,1,1,5
4,mibefradil,CHEMBL45816,3,0.9972087613878657,0.789811449999892,10.0,True,0.9968986237642954,17.5,10.0,True,0.9976739678232216,62.06,10.0,True,0.9968986237642954,88.98006968,88.98006968,False,False,False,False,False,False,True,0.00044764510113562346,CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,Multi-assay support (>=2 priority criteria met).,1,1,5
5,spiperone,CHEMBL267930,3,0.9970633843768173,0.762605605424356,10.0,True,0.9957356076759062,22.0,10.0,True,0.995832525683272,81.1,10.0,True,0.9994184919558053,95.84138907,98.34722367,False,False,False,False,False,False,True,0.002098895893361834,CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,Multi-assay support (>=2 priority criteria met).,1,1,5
6,NPS-2143,CHEMBL180672,3,0.9966660205466176,0.702745665030754,10.0,True,0.9916650513665439,9.5,10.0,True,0.9994184919558053,62.48,10.0,True,0.9970924597790269,84.39869392,84.39869392,False,False,False,False,False,False,True,0.0039787566888519815,CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,Multi-assay support (>=2 priority criteria met).,1,1,5
7,VU0364739,CHEMBL1254577,3,0.9961717387090521,0.765898371641526,10.0,True,0.9959294436906377,26.0,10.0,True,0.993312657491762,83.1,10.0,True,0.9996123279705369,84.76403944,84.76403944,False,False,False,False,False,False,True,0.0031648342444985083,CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,Multi-assay support (>=2 priority criteria met).,1,1,5
8,amodiaquine,CHEMBL682,3,0.9954448536538087,0.839130004610557,10.0,True,0.9982554758674161,17.5,10.0,True,0.9976739678232216,44.72,10.0,True,0.9908897073076177,84.92083961,84.92083961,False,False,False,False,False,False,True,0.0040950964340611025,CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,Multi-assay support (>=2 priority criteria met).,1,1,5
9,Endoxifen HCl,CHEMBL1093458,3,0.9952510176390774,0.817044432917785,10.0,True,0.9976739678232216,26.0,10.0,True,0.993312657491762,57.04,10.0,True,0.9957356076759062,91.11008622,91.11008622,False,False,False,False,False,False,True,0.002185137503790897,CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,Multi-assay support (>=2 priority criteria met).,1,1,5
10,MCOPPB,CHEMBL481512,3,0.9950184144213995,0.620223704930735,10.0,True,0.987012987012987,22.0,10.0,True,0.995832525683272,83.48,10.0,True,0.9998061639852684,98.85537698,98.85537698,False,False,False,False,False,False,True,0.006547766040870444,CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,Multi-assay support (>=2 priority criteria met).,1,1,5
11,sulforaphane,CHEMBL48802,3,0.9948342702074044,0.923952184960742,10.0,True,0.9994184919558053,6.5,10.0,True,1.0,35.24,10.0,True,0.9856561349098663,90.17154091,90.17154091,False,False,False,False,False,False,True,0.00811877544942719,CPE effect only at highest concentration tested (10 µM): possible concentration-dependent artifact/off-target toxicity,Multi-assay support (>=2 priority criteria met).,1,1,5
