chembl_id,drug_name,smiles,inchikey,molecular_weight,clinical_phase,status_any,targets,target_evidence_count,pathway_ids,pathway_names,pathway_link_count,moa_links,moa_link_count,provenance_sources
CHEMBL2010872,CEP-11981,CC(C)Cn1c2ccc(Nc3ncccn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,AEULIVPVIDOLIN-UHFFFAOYSA-N,477.57200000000034,2.0,Recruiting,KDR|FLT4,2.0,R-HSA-5218921|R-HSA-4420097|R-HSA-195399|R-HSA-9013695|R-HSA-9856530|R-HSA-194306|R-HSA-216083|R-HSA-9673768,VEGFR2 mediated cell proliferation|VEGFA-VEGFR2 Pathway|VEGF binds to VEGFR leading to receptor dimerization|NOTCH4 Intracellular Domain Regulates Transcription|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells|Neurophilin interactions with VEGF and VEGFR|Integrin cell surface interactions|Signaling by membrane-tethered fusions of PDGFRA or PDGFRB|VEGF binds to VEGFR leading to receptor dimerizatio|NOTCH4 Intracellular Domain Regulates Transcriptio|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell|VEGFR2 mediated cell proliferatio|VEGFA-VEGFR2 Pathwa|Neurophilin interactions with VEGF and VEGF|Integrin cell surface interaction|Signaling by membrane-tethered fusions of PDGFRA or PDGFR,8.0,,,protein_drug_candidates|pathway_drug_candidates
CHEMBL1201000,NITROFURANTOIN SODIUM,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)[N-]1.[Na+],AFDJQFFKYDCYIG-JSGFVSQVSA-M,260.14099999999996,,,,,,,,DNA inhibitor,1.0,mechanism_drug_candidate
CHEMBL3653256,SIREMADLIN,COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,AGBSXNCBIWWLHD-FQEVSTJZSA-N,555.4220000000001,2.0,Recruiting,TP53,1.0,R-HSA-5693565|R-HSA-983231|R-HSA-111448|R-HSA-139915|R-HSA-1912408|R-HSA-2559580|R-HSA-2559584|R-HSA-2559585|R-HSA-2559586|R-HSA-3232118|R-HSA-349425|R-HSA-390471|R-HSA-5620971|R-HSA-5628897|R-HSA-5689880|R-HSA-5689896|R-HSA-6785807|R-HSA-6796648|R-HSA-6803204|R-HSA-6803205|R-HSA-6803207|R-HSA-6803211|R-HSA-6804114|R-HSA-6804115|R-HSA-6804116|R-HSA-6804754|R-HSA-6804756|R-HSA-6804757|R-HSA-6804758|R-HSA-6804759|R-HSA-6804760|R-HSA-6811555|R-HSA-69473|R-HSA-69481|R-HSA-69541|R-HSA-69895|R-HSA-8852276|R-HSA-8853884|R-HSA-8941855|R-HSA-8943724|R-HSA-9723905|R-HSA-9725370|R-HSA-9758274|R-HSA-9819196|R-HSA-9833482|R-HSA-6807070,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks|Factors involved in megakaryocyte development and platelet production|Activation of NOXA and translocation to mitochondria|Activation of PUMA and translocation to mitochondria|Pre-NOTCH Transcription and Translation|Oxidative Stress Induced Senescence|Formation of Senescence-Associated Heterochromatin Foci (SAHF)|Oncogene Induced Senescence|DNA Damage/Telomere Stress Induced Senescence|SUMOylation of transcription factors|Autodegradation of the E3 ubiquitin ligase COP1|Association of TriC/CCT with target proteins during biosynthesis|Pyroptosis|TP53 Regulates Metabolic Genes|Ub-specific processing proteases|Ovarian tumor domain proteases|Interleukin-4 and Interleukin-13 signaling|TP53 Regulates Transcription of DNA Repair Genes|TP53 Regulates Transcription of Genes Involved in Cytochrome C Release|TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain|TP53 Regulates Transcription of Caspase Activators and Caspases|TP53 Regulates Transcription of Death Receptors and Ligands|TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest|TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain|TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest|Regulation of TP53 Expression|Regulation of TP53 Activity through Phosphorylation|Regulation of TP53 Degradation|Regulation of TP53 Activity through Acetylation|Regulation of TP53 Activity through Association with Co-factors|Regulation of TP53 Activity through Methylation|PI5P Regulates TP53 Acetylation|G2/M DNA damage checkpoint|G2/M Checkpoints|Stabilization of p53|Transcriptional activation of cell cycle inhibitor p21|The role of GTSE1 in G2/M progression after G2 checkpoint|Transcriptional Regulation by VENTX|RUNX3 regulates CDKN1A transcription|Regulation of PTEN gene transcription|Loss of function of TP53 in cancer due to loss of tetramerization ability|Signaling by ALK fusions and activated point mutants|Regulation of NF-kappa B signaling|Zygotic genome activation (ZGA)|PKR-mediated signaling|PKR-mediated signalin|Interleukin-4 and Interleukin-13 signalin|Pre-NOTCH Transcription and Translatio|TP53 Regulates Transcription of DNA Repair Gene|Pyroptosi|Association of TriC/CCT with target proteins during biosynthesi|DNA Damage/Telomere Stress Induced Senescenc|Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand break|Factors involved in megakaryocyte development and platelet productio|TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertai|Signaling by ALK fusions and activated point mutant|Regulation of TP53 Activity through Acetylatio|Activation of NOXA and translocation to mitochondri|Activation of PUMA and translocation to mitochondri|Oxidative Stress Induced Senescenc|Formation of Senescence-Associated Heterochromatin Foci (SAHF|Oncogene Induced Senescenc|SUMOylation of transcription factor|Autodegradation of the E3 ubiquitin ligase COP|TP53 Regulates Metabolic Gene|Ub-specific processing protease|Ovarian tumor domain protease|TP53 Regulates Transcription of Genes Involved in Cytochrome C Releas|TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertai|TP53 Regulates Transcription of Caspase Activators and Caspase|TP53 Regulates Transcription of Death Receptors and Ligand|TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arres|TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arres|Regulation of TP53 Expressio|Regulation of TP53 Activity through Phosphorylatio|Regulation of TP53 Degradatio|Regulation of TP53 Activity through Association with Co-factor|Regulation of TP53 Activity through Methylatio|PI5P Regulates TP53 Acetylatio|G2/M DNA damage checkpoin|G2/M Checkpoint|Stabilization of p5|Transcriptional activation of cell cycle inhibitor p2|The role of GTSE1 in G2/M progression after G2 checkpoin|Transcriptional Regulation by VENT|RUNX3 regulates CDKN1A transcriptio|Regulation of PTEN gene transcriptio|Loss of function of TP53 in cancer due to loss of tetramerization abilit|Regulation of NF-kappa B signalin|Zygotic genome activation (ZGA,46.0,,,protein_drug_candidates|pathway_drug_candidates
CHEMBL1977579,STREPTOZOCIN,CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,AGRCPNMCOXLKFO-BDVNFPICSA-N,265.222,,,,,,,,DNA inhibitor,1.0,mechanism_drug_candidate
CHEMBL4594298,ENCEQUIDAR,COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4cc(=O)c5ccccc5o4)n3)cc1)CC2,AHJUHHDDCJQACA-UHFFFAOYSA-N,688.7410000000001,,,,,,,,P-glycoprotein 1 inhibitor,1.0,mechanism_drug_candidate
CHEMBL3545311,BRIGATINIB,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,AILRADAXUVEEIR-UHFFFAOYSA-N,584.105,,,,,,,,Epidermal growth factor receptor erbB1 inhibitor,1.0,mechanism_drug_candidate
CHEMBL1200635,HYDROCORTAMATE HYDROCHLORIDE,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C.Cl,AKQNAIYKSALPKV-OYHXESGYSA-N,512.0870000000004,,,,,,,,Glucocorticoid receptor agonist,1.0,mechanism_drug_candidate
CHEMBL1200538,BETAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,AKUJBENLRBOFTD-QZIXMDIESA-N,434.5040000000002,,,,,,,,Glucocorticoid receptor agonist,1.0,mechanism_drug_candidate
CHEMBL1530428,DEXAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,AKUJBENLRBOFTD-RPRRAYFGSA-N,434.5040000000002,,,,,,,,Glucocorticoid receptor agonist,1.0,mechanism_drug_candidate
CHEMBL1091,HYDROCORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,ALEXXDVDDISNDU-JZYPGELDSA-N,404.5030000000002,,,,,,,,Glucocorticoid receptor agonist,1.0,mechanism_drug_candidate
