compound_name,chembl_id,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
(-)-Huperzine A,CHEMBL395280,False,8.33,2.1
"1,12-Besm",CHEMBL18794,False,10000.0,11.44
"1,2,3,4,5,6-hexabromocyclohexane",CHEMBL444236,False,10000.0,9.07
"1,3-dipropyl-8-phenylxanthine",CHEMBL158507,False,10000.0,-1.61
"1,4-butanediol",CHEMBL171623,False,833.33,0.26
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",CHEMBL3306352,False,10000.0,5.36
"1-(1,2-diphenylethyl)piperidine-(+/-)",CHEMBL4303426,False,10000.0,2.17
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,CHEMBL4303224,False,833.33,0.3
1-EBIO,CHEMBL452887,False,8.33,-3.46
1-acetyl-4-methylpiperazine,CHEMBL575239,False,1.0,4.74
1-azakenpaullone,CHEMBL336961,False,10000.0,8.39
1-deoxymannojirimycin,CHEMBL84844,False,833.33,1.33
1-ethyl-2-pyrrolidone,CHEMBL12221,False,100.0,3.54
1-hexadecanal,CHEMBL1235338,False,8.33,2.85
1-hexadecanol,CHEMBL706,False,8.33,0.36
1-naphthyl-PP1,CHEMBL264406,False,8.33,1.77
1-octacosanol,CHEMBL1951714,False,100.0,4.36
1-phenylbiguanide,CHEMBL13791,False,833.33,1.34
10-DEBC,CHEMBL1398474,True,10000.0,40.87
10-deacetylbaccatin,CHEMBL393912,False,8.33,0.94
10-hydroxycamptothecin,CHEMBL273862,False,8.33,-0.13
10058-F4,CHEMBL1568415,False,833.33,3.21
1400W,CHEMBL107251,False,833.33,1.65
17-PA,CHEMBL4303423,False,1.0,2.41
17-alpha-Methyltestosterone,CHEMBL1395,False,10000.0,1.92
17-hydroxyprogesterone-caproate,CHEMBL1200848,False,10000.0,5.84
"1S,2R-phenylpropanolamine",CHEMBL2092846,False,10000.0,0.8
2'-MeCCPA,CHEMBL251997,False,8.33,2.06
"2,3-DCPE",CHEMBL1356094,False,1.0,1.41
"2,3-cis/exo-pinanediol",CHEMBL4303395,False,100.0,2.23
"2,4-dinitrophenol",CHEMBL273386,False,100.0,5.04
"2,5-furandimethanol",CHEMBL4303433,False,833.33,2.21
2-(1-adamantylamino)benzoic-acid,CHEMBL4303278,False,1.0,1.28
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",CHEMBL4303207,False,10000.0,12.32
2-APB,CHEMBL169233,False,10000.0,-1.41
2-BFI,CHEMBL404505,False,100.0,6.19
2-CMDO,CHEMBL90882,False,1.0,1.06
2-PMDQ,CHEMBL71492,False,10000.0,5.46
2-TEDC,CHEMBL37081,False,100.0,7.36
2-[1-(4-piperonyl)piperazinyl]benzothiazole,CHEMBL24909,False,8.33,-1.04
2-aminobenzenesulfonamide,CHEMBL6705,False,100.0,3.94
2-chloro-N6-cyclopentyladenosine,CHEMBL284969,False,100.0,2.9
2-chloroadenosine,CHEMBL285819,False,1.0,1.66
2-cyanopyrimidine,CHEMBL3352946,False,833.33,6.33
2-deoxyglucose,CHEMBL2074932,False,1.0,3.5
2-ethoxybenzoic-acid,CHEMBL4303266,False,100.0,4.26
"2-ethyl-1,3-hexanediol",CHEMBL1451179,False,1.0,4.92
2-fluoro-2-deoxy-D-galactose,CHEMBL1234222,False,1.0,1.5
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione",CHEMBL569170,False,1.0,0.73
2-hydroxyethyl-salicylate,CHEMBL173562,False,8.33,1.56
