rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroE6_relevant,mechanistic_rationale,compound_name,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%),in_prior,in_cpe,prior_norm,cpe_norm
54.0,CHEMBL10,0.5966587322976851,0.1696796375454481,0.0,1.1311975836363206,0.0,,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,SB-203580,False,10000.0,4.9,True,True,0.1728798380833478,0.11353631694790904
2964.0,CHEMBL100,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,levcromakalim,False,10000.0,2.06,True,True,0.0,0.09617265835167524
1325.0,CHEMBL1000,0.0253946096705471,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,cetirizine,False,8.33,3.59,True,True,0.007358001769500013,0.10552702372218146
1325.0,CHEMBL1000,0.0253946096705471,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,cetirizine,False,8.33,3.59,True,True,0.007358001769500013,0.10552702372218146
2965.0,CHEMBL100259,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,uridine,False,10000.0,2.27,True,True,0.0,0.09745659085350943
2216.0,CHEMBL1004,0.0016631093460811,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,doxylamine,False,833.33,1.53,True,True,0.0004818802757787419,0.09293225727561752
2966.0,CHEMBL100424,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,picartamide,False,10000.0,6.75,True,True,0.0,0.12484715089263881
2967.0,CHEMBL1006,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,amifostine,False,1.0,5.31,True,True,0.0,0.11604304230863294
2968.0,CHEMBL100622,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,hexamethonium,False,8.33,1.65,True,True,0.0,0.09366593299095136
2076.0,CHEMBL1007,0.0022945378850848,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,gonadorelin,False,10000.0,1.93,True,True,0.0006648345470818589,0.09537784299339694
2323.0,CHEMBL100848,0.0011698255567173,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,sulfasalazine,False,10000.0,0.47,True,True,0.00033895297576931767,0.0864514551235021
2969.0,CHEMBL100940,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,naltriben,False,1.0,0.92,True,True,0.0,0.08920273905600393
