rerank,chembl_id,compound_name,composite_rerank_score,prior_norm,cpe_norm,Inhibition of cytopathicity (%),is_CPE_hit,composite_final
1,CHEMBL3752910,NVP-BHG712,0.6278124235754463,1.0,0.2556248471508927,28.14,True,3.4512915960161155
2,CHEMBL1232461,I-BET-762,0.5020661179484537,0.9160300104139042,0.0881022254830032,0.74,False,3.161486676640062
3,CHEMBL2111114,lofemizole,0.5,0.0,1.0,149.89,True,0.0
4,CHEMBL35241,diminazene-aceturate,0.4783008435743278,0.8582280016509789,0.0983736854976767,2.42,False,2.9619950895637284
5,CHEMBL535,sunitinib,0.4137611988712004,0.5585691084296104,0.2689532893127904,30.32,True,1.9277848697173288
6,CHEMBL92708,calpeptin,0.3710690853791425,0.2497806261263456,0.4923575446319394,66.86,True,0.8620657757975001
7,CHEMBL267930,spiperone,0.36039355889056746,0.1413667215962485,0.5794203961848864,81.1,True,0.4878977782014824
8,CHEMBL450786,PHA-665752,0.35067183876552277,0.3107224987587295,0.390621178772316,50.22,True,1.0723939486591312
9,CHEMBL64925,MG-132,0.3479880094848114,0.2729508294367296,0.4230251895328932,55.52,True,0.9420329037606132
10,CHEMBL590799,camostat-mesilate,0.33435024962407073,0.5625620790965151,0.1061384201516263,3.69,False,1.941565775823156
