gene_symbol,druggability,uniprot_url,opentargets_url
FLT3,Yes,https://www.uniprot.org/uniprotkb/P36888,https://platform.opentargets.org/target/ENSG00000122025
KIT,Yes,https://www.uniprot.org/uniprotkb/P10721,https://platform.opentargets.org/target/ENSG00000157404
PDGFRB,Yes,https://www.uniprot.org/uniprotkb/P09619,https://platform.opentargets.org/target/ENSG00000113721
RET,Yes,https://www.uniprot.org/uniprotkb/P07949,https://platform.opentargets.org/target/ENSG00000165731
RARG,Yes,https://www.uniprot.org/uniprotkb/P13631,https://platform.opentargets.org/target/ENSG00000172819
ABL1,Yes,https://www.uniprot.org/uniprotkb/P00519,https://platform.opentargets.org/target/ENSG00000097007
AXL,Yes,https://www.uniprot.org/uniprotkb/P30530,https://platform.opentargets.org/target/ENSG00000167601
IDH1,No,https://www.uniprot.org/uniprotkb/O75874,https://platform.opentargets.org/target/ENSG00000138413
POLA1,Yes,https://www.uniprot.org/uniprotkb/P09884,https://platform.opentargets.org/target/ENSG00000101868
RAF1,Yes,https://www.uniprot.org/uniprotkb/P04049,https://platform.opentargets.org/target/ENSG00000132155
BRAF,Yes,https://www.uniprot.org/uniprotkb/P15056,https://platform.opentargets.org/target/ENSG00000157764
CSF3R,No,https://www.uniprot.org/uniprotkb/Q99062,https://platform.opentargets.org/target/ENSG00000119535
TOP2A,Yes,https://www.uniprot.org/uniprotkb/P11388,https://platform.opentargets.org/target/ENSG00000131747
SMO,Yes,https://www.uniprot.org/uniprotkb/Q99835,https://platform.opentargets.org/target/ENSG00000128602
TP53,Yes,https://www.uniprot.org/uniprotkb/P04637,https://platform.opentargets.org/target/ENSG00000141510
PRKD3,Yes,https://www.uniprot.org/uniprotkb/O94806,https://platform.opentargets.org/target/ENSG00000115825
KDR,Yes,https://www.uniprot.org/uniprotkb/P35968,https://platform.opentargets.org/target/ENSG00000128052
IDH2,No,https://www.uniprot.org/uniprotkb/P48735,https://platform.opentargets.org/target/ENSG00000182054
BCL2,Yes,https://www.uniprot.org/uniprotkb/P10415,https://platform.opentargets.org/target/ENSG00000171791
DNMT3A,Yes,https://www.uniprot.org/uniprotkb/Q9Y6K1,https://platform.opentargets.org/target/ENSG00000119772
DNMT1,Yes,https://www.uniprot.org/uniprotkb/P26358,https://platform.opentargets.org/target/ENSG00000130816
CSF2RA,No,https://www.uniprot.org/uniprotkb/P15509,https://platform.opentargets.org/target/ENSG00000198223
FLT4,Yes,https://www.uniprot.org/uniprotkb/P35916,https://platform.opentargets.org/target/ENSG00000037280
PDGFRA,Yes,https://www.uniprot.org/uniprotkb/P16234,https://platform.opentargets.org/target/ENSG00000134853
RARA,Yes,https://www.uniprot.org/uniprotkb/P10276,https://platform.opentargets.org/target/ENSG00000131759
RARB,Yes,https://www.uniprot.org/uniprotkb/P10826,https://platform.opentargets.org/target/ENSG00000077092
JAK2,Yes,https://www.uniprot.org/uniprotkb/O60674,https://platform.opentargets.org/target/ENSG00000096968
PRKCD,Yes,https://www.uniprot.org/uniprotkb/Q05655,https://platform.opentargets.org/target/ENSG00000163932
PRKCE,Yes,https://www.uniprot.org/uniprotkb/Q02156,https://platform.opentargets.org/target/ENSG00000171132
PRKCH,Yes,https://www.uniprot.org/uniprotkb/P24723,https://platform.opentargets.org/target/ENSG00000027075
PRKCQ,Yes,https://www.uniprot.org/uniprotkb/Q04759,https://platform.opentargets.org/target/ENSG00000065675
PRKCA,Yes,https://www.uniprot.org/uniprotkb/P17252,https://platform.opentargets.org/target/ENSG00000154229
CD33,No,https://www.uniprot.org/uniprotkb/P20138,https://platform.opentargets.org/target/ENSG00000105383
WT1,No,https://www.uniprot.org/uniprotkb/P19544,https://platform.opentargets.org/target/ENSG00000184937
FANCG,No,https://www.uniprot.org/uniprotkb/O15287,https://platform.opentargets.org/target/ENSG00000221829
RUNX1,No,https://www.uniprot.org/uniprotkb/Q01196,https://platform.opentargets.org/target/ENSG00000159216
RPS29,No,https://www.uniprot.org/uniprotkb/P62273,https://platform.opentargets.org/target/ENSG00000213741
DKC1,No,https://www.uniprot.org/uniprotkb/O60832,https://platform.opentargets.org/target/ENSG00000130826
ASXL1,No,https://www.uniprot.org/uniprotkb/Q8IXJ9,https://platform.opentargets.org/target/ENSG00000171456
CEBPA,No,https://www.uniprot.org/uniprotkb/P49715,https://platform.opentargets.org/target/ENSG00000245848
HAX1,No,https://www.uniprot.org/uniprotkb/O00165,https://platform.opentargets.org/target/ENSG00000143575
RPL35A,No,https://www.uniprot.org/uniprotkb/P18077,https://platform.opentargets.org/target/ENSG00000182899
PRKCB,Yes,https://www.uniprot.org/uniprotkb/P05771,https://platform.opentargets.org/target/ENSG00000166501
NAF1,No,https://www.uniprot.org/uniprotkb/Q96HR8,https://platform.opentargets.org/target/ENSG00000145414
TERT,Yes,https://www.uniprot.org/uniprotkb/O14746,https://platform.opentargets.org/target/ENSG00000164362
RPL36,No,https://www.uniprot.org/uniprotkb/Q9Y3U8,https://platform.opentargets.org/target/ENSG00000130255
RPL23,No,https://www.uniprot.org/uniprotkb/P62829,https://platform.opentargets.org/target/ENSG00000125691
POLE,Yes,https://www.uniprot.org/uniprotkb/Q07864,https://platform.opentargets.org/target/ENSG00000177084
PRKCZ,Yes,https://www.uniprot.org/uniprotkb/Q05513,https://platform.opentargets.org/target/ENSG00000067606
RPL5,No,https://www.uniprot.org/uniprotkb/P46777,https://platform.opentargets.org/target/ENSG00000122406
FANCF,No,https://www.uniprot.org/uniprotkb/Q9NPI8,https://platform.opentargets.org/target/ENSG00000183161
NF1,No,https://www.uniprot.org/uniprotkb/P21359,https://platform.opentargets.org/target/ENSG00000196712
FANCC,No,https://www.uniprot.org/uniprotkb/Q00597,https://platform.opentargets.org/target/ENSG00000158169
SRSF2,No,https://www.uniprot.org/uniprotkb/Q01130,https://platform.opentargets.org/target/ENSG00000161547
MAD2L2,No,https://www.uniprot.org/uniprotkb/Q9UI95,https://platform.opentargets.org/target/ENSG00000116670
UBE2T,No,https://www.uniprot.org/uniprotkb/Q9NPD8,https://platform.opentargets.org/target/ENSG00000077152
NOP10,No,https://www.uniprot.org/uniprotkb/Q9NPE3,https://platform.opentargets.org/target/ENSG00000182117
POLA2,No,https://www.uniprot.org/uniprotkb/Q14181,https://platform.opentargets.org/target/ENSG00000014138
STAG2,No,https://www.uniprot.org/uniprotkb/Q8N3U4,https://platform.opentargets.org/target/ENSG00000101972
