pathway_name,pathway_id,pathway_url,gene_symbol,ensg_id,chembl_id,drug_name,phase,status,disease_id,disease_name,mechanismOfAction,smiles
Transcriptional activation of mitochondrial biogenesis,R-HSA-2151201,https://reactome.org/PathwayBrowser/#/R-HSA-2151201,IDH2,ENSG00000182054,CHEMBL3989931,ENASIDENIB MESYLATE,4.0,,EFO_0000222,acute myeloid leukemia,,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1.CS(=O)(=O)O
Transcriptional activation of mitochondrial biogenesis,R-HSA-2151201,https://reactome.org/PathwayBrowser/#/R-HSA-2151201,IDH2,ENSG00000182054,CHEMBL3989908,ENASIDENIB,3.0,Completed,EFO_0000565,leukemia,,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1
Transcriptional activation of mitochondrial biogenesis,R-HSA-2151201,https://reactome.org/PathwayBrowser/#/R-HSA-2151201,IDH2,ENSG00000182054,CHEMBL4279047,VORASIDENIB,3.0,"Active, not recruiting",EFO_1000453,Paraganglioma,,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F
Citric acid cycle (TCA cycle),R-HSA-71403,https://reactome.org/PathwayBrowser/#/R-HSA-71403,IDH2,ENSG00000182054,CHEMBL3989931,ENASIDENIB MESYLATE,4.0,,EFO_0000222,acute myeloid leukemia,,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1.CS(=O)(=O)O
Citric acid cycle (TCA cycle),R-HSA-71403,https://reactome.org/PathwayBrowser/#/R-HSA-71403,IDH2,ENSG00000182054,CHEMBL3989908,ENASIDENIB,3.0,Completed,EFO_0000565,leukemia,,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1
Citric acid cycle (TCA cycle),R-HSA-71403,https://reactome.org/PathwayBrowser/#/R-HSA-71403,IDH2,ENSG00000182054,CHEMBL4279047,VORASIDENIB,3.0,"Active, not recruiting",EFO_1000453,Paraganglioma,,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F
Mitochondrial protein degradation,R-HSA-9837999,https://reactome.org/PathwayBrowser/#/R-HSA-9837999,IDH2,ENSG00000182054,CHEMBL3989931,ENASIDENIB MESYLATE,4.0,,EFO_0000222,acute myeloid leukemia,,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1.CS(=O)(=O)O
Mitochondrial protein degradation,R-HSA-9837999,https://reactome.org/PathwayBrowser/#/R-HSA-9837999,IDH2,ENSG00000182054,CHEMBL3989908,ENASIDENIB,3.0,Completed,EFO_0000565,leukemia,,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1
Mitochondrial protein degradation,R-HSA-9837999,https://reactome.org/PathwayBrowser/#/R-HSA-9837999,IDH2,ENSG00000182054,CHEMBL4279047,VORASIDENIB,3.0,"Active, not recruiting",EFO_1000453,Paraganglioma,,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F
Maturation of TCA enzymes and regulation of TCA cycle,R-HSA-9854311,https://reactome.org/PathwayBrowser/#/R-HSA-9854311,IDH2,ENSG00000182054,CHEMBL3989931,ENASIDENIB MESYLATE,4.0,,EFO_0000222,acute myeloid leukemia,,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1.CS(=O)(=O)O
Maturation of TCA enzymes and regulation of TCA cycle,R-HSA-9854311,https://reactome.org/PathwayBrowser/#/R-HSA-9854311,IDH2,ENSG00000182054,CHEMBL3989908,ENASIDENIB,3.0,Completed,EFO_0000565,leukemia,,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1
Maturation of TCA enzymes and regulation of TCA cycle,R-HSA-9854311,https://reactome.org/PathwayBrowser/#/R-HSA-9854311,IDH2,ENSG00000182054,CHEMBL4279047,VORASIDENIB,3.0,"Active, not recruiting",EFO_1000453,Paraganglioma,,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL608533,MIDOSTAURIN,4.0,,EFO_0000222,acute myeloid leukemia,,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL3301603,GILTERITINIB FUMARATE,4.0,,EFO_0000222,acute myeloid leukemia,,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1.CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1.O=C(O)/C=C/C(=O)O
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL3301622,GILTERITINIB,4.0,,EFO_0000616,neoplasm,,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL1287853,FEDRATINIB,4.0,,EFO_0000616,neoplasm,,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL2035187,PACRITINIB,4.0,,EFO_0000616,neoplasm,,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL535,SUNITINIB,4.0,Completed,EFO_0000681,renal cell carcinoma,,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL3813873,PEXIDARTINIB,4.0,,EFO_0000616,neoplasm,,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL4297216,FEDRATINIB HYDROCHLORIDE,4.0,,EFO_0002430,primary myelofibrosis,,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1.Cl.Cl.O
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL5095049,PACRITINIB CITRATE,4.0,,EFO_0002430,primary myelofibrosis,,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1.O=C(O)CC(O)(CC(=O)O)C(=O)O
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL1200485,SORAFENIB TOSYLATE,4.0,,EFO_0000681,renal cell carcinoma,,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL1567,SUNITINIB MALATE,4.0,,EFO_0000681,renal cell carcinoma,,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL3989973,PEXIDARTINIB HYDROCHLORIDE,4.0,,EFO_1000562,Tenosynovial Giant Cell Tumor,,Cl.FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL1336,SORAFENIB,3.0,Completed,EFO_0000182,hepatocellular carcinoma,,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL223360,LINIFANIB,3.0,Terminated,EFO_0000182,hepatocellular carcinoma,,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL603469,LESTAURTINIB,3.0,"Active, not recruiting",EFO_0000220,acute lymphoblastic leukemia,,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL3678958,RUSERONTINIB,3.0,Recruiting,EFO_0000222,acute myeloid leukemia,,CC(C)n1c(Nc2cccnc2)nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL576982,QUIZARTINIB,3.0,Completed,EFO_0000222,acute myeloid leukemia,,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL2105728,CRENOLANIB,3.0,Recruiting,EFO_0000222,acute myeloid leukemia,,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1
PIP3 activates AKT signaling,R-HSA-1257604,https://reactome.org/PathwayBrowser/#/R-HSA-1257604,FLT3,ENSG00000122025,CHEMBL1278146,FAMITINIB,3.0,Completed,EFO_0000365,colorectal adenocarcinoma,,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O
