chembl_id,mechanism_of_action,action_type,target_chembl_id,protein_symbol,ensg_id,disease_id,protein_association_score,moa_association_score_x,moa_protein_count_x,moa_protein_symbols_x,moa_association_score_y,moa_protein_count_y,moa_protein_symbols_y
CHEMBL395280,Acetylcholinesterase inhibitor,INHIBITOR,CHEMBL220,ACHE,ENSG00000087085,MONDO_0100096,0.09755646305334503,,,,0.09755646305334503,1.0,ACHE
CHEMBL18794,,,,,,MONDO_0100096,,,,,,,
CHEMBL444236,,,,,,MONDO_0100096,,,,,,,
CHEMBL158507,,,,,,MONDO_0100096,,,,,,,
CHEMBL171623,,,,,,MONDO_0100096,,,,,,,
CHEMBL3306352,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303426,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303224,,,,,,MONDO_0100096,,,,,,,
CHEMBL452887,,,,,,MONDO_0100096,,,,,,,
CHEMBL575239,,,,,,MONDO_0100096,,,,,,,
CHEMBL336961,,,,,,MONDO_0100096,,,,,,,
CHEMBL84844,,,,,,MONDO_0100096,,,,,,,
CHEMBL12221,,,,,,MONDO_0100096,,,,,,,
CHEMBL1235338,,,,,,MONDO_0100096,,,,,,,
CHEMBL706,Surfactant,,,,,MONDO_0100096,0.0,,,,0.0,0.0,
CHEMBL264406,,,,,,MONDO_0100096,,,,,,,
CHEMBL1951714,,,,,,MONDO_0100096,,,,,,,
CHEMBL13791,,,,,,MONDO_0100096,,,,,,,
CHEMBL1398474,,,,,,MONDO_0100096,,,,,,,
CHEMBL393912,,,,,,MONDO_0100096,,,,,,,
CHEMBL273862,,,,,,MONDO_0100096,,,,,,,
CHEMBL1568415,,,,,,MONDO_0100096,,,,,,,
CHEMBL107251,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303423,,,,,,MONDO_0100096,,,,,,,
CHEMBL1395,Androgen Receptor agonist,AGONIST,CHEMBL1871,AR,ENSG00000169083,MONDO_0100096,0.4069456596579756,,,,0.4069456596579756,1.0,AR
CHEMBL1200848,Progesterone receptor agonist,AGONIST,CHEMBL208,PGR,ENSG00000082175,MONDO_0100096,0.08650399627078231,,,,0.08650399627078231,1.0,PGR
CHEMBL2092846,,,,,,MONDO_0100096,,,,,,,
CHEMBL251997,,,,,,MONDO_0100096,,,,,,,
CHEMBL1356094,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303395,,,,,,MONDO_0100096,,,,,,,
CHEMBL273386,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303433,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303278,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303207,,,,,,MONDO_0100096,,,,,,,
CHEMBL169233,,,,,,MONDO_0100096,,,,,,,
CHEMBL404505,,,,,,MONDO_0100096,,,,,,,
CHEMBL90882,,,,,,MONDO_0100096,,,,,,,
CHEMBL71492,,,,,,MONDO_0100096,,,,,,,
CHEMBL37081,,,,,,MONDO_0100096,,,,,,,
CHEMBL24909,,,,,,MONDO_0100096,,,,,,,
CHEMBL6705,,,,,,MONDO_0100096,,,,,,,
CHEMBL284969,,,,,,MONDO_0100096,,,,,,,
CHEMBL285819,,,,,,MONDO_0100096,,,,,,,
CHEMBL3352946,,,,,,MONDO_0100096,,,,,,,
CHEMBL2074932,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303266,,,,,,MONDO_0100096,,,,,,,
CHEMBL1451179,,,,,,MONDO_0100096,,,,,,,
CHEMBL1234222,,,,,,MONDO_0100096,,,,,,,
CHEMBL569170,,,,,,MONDO_0100096,,,,,,,
CHEMBL173562,,,,,,MONDO_0100096,,,,,,,
CHEMBL491,,,,,,MONDO_0100096,,,,,,,
CHEMBL1256573,,,,,,MONDO_0100096,,,,,,,
CHEMBL1233598,,,,,,MONDO_0100096,,,,,,,
CHEMBL1681,,,,,,MONDO_0100096,,,,,,,
CHEMBL289233,,,,,,MONDO_0100096,,,,,,,
CHEMBL299613,,,,,,MONDO_0100096,,,,,,,
CHEMBL266591,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303614,,,,,,MONDO_0100096,,,,,,,
CHEMBL293391,,,,,,MONDO_0100096,,,,,,,
CHEMBL1572050,,,,,,MONDO_0100096,,,,,,,
CHEMBL1686,,,,,,MONDO_0100096,,,,,,,
CHEMBL15060,,,,,,MONDO_0100096,,,,,,,
CHEMBL32813,,,,,,MONDO_0100096,,,,,,,
CHEMBL345768,,,,,,MONDO_0100096,,,,,,,
CHEMBL224128,,,,,,MONDO_0100096,,,,,,,
CHEMBL137648,,,,,,MONDO_0100096,,,,,,,
CHEMBL3334990,,,,,,MONDO_0100096,,,,,,,
CHEMBL446452,,,,,,MONDO_0100096,,,,,,,
CHEMBL1331443,,,,,,MONDO_0100096,,,,,,,
CHEMBL596380,,,,,,MONDO_0100096,,,,,,,
CHEMBL2104261,,,,,,MONDO_0100096,,,,,,,
CHEMBL90769,,,,,,MONDO_0100096,,,,,,,
CHEMBL540034,,,,,,MONDO_0100096,,,,,,,
CHEMBL1322301,,,,,,MONDO_0100096,,,,,,,
CHEMBL301707,,,,,,MONDO_0100096,,,,,,,
CHEMBL1552961,,,,,,MONDO_0100096,,,,,,,
CHEMBL85799,,,,,,MONDO_0100096,,,,,,,
CHEMBL81977,,,,,,MONDO_0100096,,,,,,,
CHEMBL2357012,,,,,,MONDO_0100096,,,,,,,
CHEMBL479014,,,,,,MONDO_0100096,,,,,,,
CHEMBL4303364,,,,,,MONDO_0100096,,,,,,,
CHEMBL177837,,,,,,MONDO_0100096,,,,,,,
CHEMBL128772,,,,,,MONDO_0100096,,,,,,,
CHEMBL202701,,,,,,MONDO_0100096,,,,,,,
