chembl_id,protein_symbol,ensg_id,disease_id,disease_association_score
CHEMBL395280,ACHE,ENSG00000087085,MONDO_0100096,0.09755646305334503
CHEMBL395280,BCHE,ENSG00000114200,MONDO_0100096,0.09360328810637346
CHEMBL18794,,,MONDO_0100096,
CHEMBL444236,,,MONDO_0100096,
CHEMBL158507,CYP2C19,ENSG00000165841,MONDO_0100096,0.005036003441118158
CHEMBL158507,CYP2C9,ENSG00000138109,MONDO_0100096,0.05199224696521605
CHEMBL158507,CYP3A4,ENSG00000160868,MONDO_0100096,0.41483777211690587
CHEMBL171623,,,MONDO_0100096,
CHEMBL3306352,,,MONDO_0100096,
CHEMBL4303426,,,MONDO_0100096,
CHEMBL4303224,,,MONDO_0100096,
CHEMBL452887,,,MONDO_0100096,
CHEMBL575239,TDP1,ENSG00000042088,MONDO_0100096,0.0
CHEMBL336961,GSK3B,ENSG00000082701,MONDO_0100096,0.3781629757853189
CHEMBL84844,FUCA1,ENSG00000179163,MONDO_0100096,0.0
CHEMBL12221,,,MONDO_0100096,
CHEMBL1235338,,,MONDO_0100096,
CHEMBL706,,,MONDO_0100096,
CHEMBL264406,ABL1,ENSG00000097007,MONDO_0100096,0.3770658612121069
CHEMBL264406,CSK,ENSG00000103653,MONDO_0100096,0.02475617849661963
CHEMBL264406,CSNK1D,ENSG00000141551,MONDO_0100096,0.0
CHEMBL264406,FYN,ENSG00000010810,MONDO_0100096,0.07779750459125646
CHEMBL264406,MAPK8,ENSG00000107643,MONDO_0100096,0.023318582069049628
CHEMBL264406,PRKD1,ENSG00000184304,MONDO_0100096,0.0
CHEMBL264406,PRKD2,ENSG00000105287,MONDO_0100096,0.002771848910135263
CHEMBL264406,PRKD3,ENSG00000115825,MONDO_0100096,0.06827616839179584
CHEMBL264406,RIPK2,ENSG00000104312,MONDO_0100096,0.0036957985468470188
CHEMBL264406,SRC,ENSG00000197122,MONDO_0100096,0.08572024915762179
CHEMBL1951714,,,MONDO_0100096,
CHEMBL13791,,,MONDO_0100096,
CHEMBL1398474,PIM1,ENSG00000137193,MONDO_0100096,0.00904587758769106
CHEMBL393912,,,MONDO_0100096,
CHEMBL273862,,,MONDO_0100096,
CHEMBL1568415,,,MONDO_0100096,
CHEMBL107251,CYP3A4,ENSG00000160868,MONDO_0100096,0.41483777211690587
CHEMBL107251,NOS1,ENSG00000089250,MONDO_0100096,0.01643611449532808
CHEMBL107251,NOS2,ENSG00000007171,MONDO_0100096,0.03528914729166999
CHEMBL4303423,,,MONDO_0100096,
CHEMBL1395,AR,ENSG00000169083,MONDO_0100096,0.4069456596579756
CHEMBL1395,NR3C1,ENSG00000113580,MONDO_0100096,0.4316453156305799
CHEMBL1395,SHBG,ENSG00000129214,MONDO_0100096,0.0471876858257965
