smiles,logS,logS_lower_bound,logS_upper_bound,Capped_logS_lower_bound,Capped_logS_upper_bound
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,-4.27,-4.98,-3.56,-4.98,-3.56
O=P1(NCCCl)OCCCN1CCCl,-1.31,-1.86,-0.767,-1.86,-0.767
CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,-2.62,-3.19,-2.04,-3.19,-2.04
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,-1.12,-1.93,-0.311,-1.93,-0.311
CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,-7.35,-7.98,-6.71,-7.98,-6.71
N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,-4.73,-5.67,-3.79,-5.67,-3.79
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,-2.93,-3.44,-2.42,-3.44,-2.42
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-4.32,-5.24,-3.4,-5.24,-3.4
COCCOCCOc1ccc(C2=N[C@@](C)(C(=O)O)CS2)c(O)c1,-2.63,-3.19,-2.07,-3.19,-2.07
CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O,-5.1,-5.79,-4.42,-5.79,-4.42
CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O,-5.51,-6.38,-4.64,-6.38,-4.64
O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,-3.07,-3.89,-2.25,-3.89,-2.25
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,-1.22,-1.76,-0.682,-1.76,-0.682
C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,-1.5,-2.09,-0.916,-2.09,-0.916
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,-3.98,-4.65,-3.3,-4.65,-3.3
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-4.24,-4.85,-3.62,-4.85,-3.62
CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-4.62,-5.33,-3.91,-5.33,-3.91
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl,-4.09,-4.54,-3.65,-4.54,-3.65
Nc1ccc(C(=O)O)c(O)c1,-2.06,-2.79,-1.34,-2.79,-1.34
CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,-1.46,-2.32,-0.605,-2.32,-0.605
CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O,-3.27,-4.02,-2.51,-4.02,-2.51
C=C(Br)C(=O)Nc1cc(C(=O)Nc2cc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)NCCNC(=N)N)n(C)c4)n(C)c3)n(C)c2)n(C)c1,-1.72,-2.39,-1.04,-2.39,-1.04
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-4.47,-5.23,-3.7,-5.23,-3.7
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO,-5.19,-5.84,-4.53,-5.84,-4.53
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-4.09,-5.13,-3.05,-5.13,-3.05
CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-4.74,-5.58,-3.89,-5.58,-3.89
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12.[Na+],-1.99,-2.72,-1.25,-2.72,-1.25
