chembl_id,compound_name,cp_morph_z_max,cp_morph_z_mean,ab_activity_z_max,ab_activity_z_mean,concentration_uM_min,concentration_uM_max,concentration_uM_nunique,cpe_activity_z_max,cpe_activity_z_mean,toxicity_z_max,toxicity_z_mean,concentration_uM_min_cpe,concentration_uM_max_cpe,concentration_uM_nunique_cpe,composite_score,flag_ab_toxicity,flag_cpe_toxicity,flag_cp_only,flag_ab_no_cpe,rank
CHEMBL2111114,lofemizole,-1.1172877390299816,-1.1172877390299816,0.18395454545454545,0.18395454545454545,10.0,10.0,1.0,72.14741071428571,14.266053539290212,0.6508392703917368,0.025774971140865955,0.001,10.0,5.0,28.70908855609011,False,False,False,False,1
CHEMBL481512,MCOPPB,3.974626251085733,3.974626251085733,9.994863636363636,9.994863636363636,10.0,10.0,1.0,26.730658767772514,4.9804695564478125,-0.0644543417831187,-0.42516276331711883,0.001,10.0,5.0,15.485134211871607,False,False,False,False,2
CHEMBL1254577,VU0364739,5.012917008634826,5.012917008634826,9.504318181818181,9.504318181818181,10.0,10.0,1.0,26.609184834123223,5.975879209139292,1.792760987718017,0.5419875914838959,0.001,10.0,5.0,15.447984608103528,True,True,False,False,3
CHEMBL267930,spiperone,4.989447940146446,4.989447940146446,9.994863636363636,9.994863636363636,10.0,10.0,1.0,25.969848341232225,6.401239930452593,0.49272304403800193,0.024642484817533762,0.001,10.0,5.0,15.383774379067637,False,False,False,False,4
CHEMBL1779732,CYM-50358,4.664745306852139,4.664745306852139,11.773090909090909,11.773090909090909,10.0,10.0,1.0,21.206791469194314,4.4567495687032395,0.5363144523219183,-0.2004176096321732,0.001,10.0,5.0,14.124902012684517,False,False,False,False,5
CHEMBL92708,calpeptin,5.359498747930197,5.359498747930197,11.15990909090909,11.15990909090909,10.0,10.0,1.0,21.41777251184834,4.878182712134587,0.8303719375815666,0.13948448985805392,0.001,10.0,5.0,14.102972390689013,False,False,False,False,6
CHEMBL176045,tetrandrine,3.184776231568221,3.184776231568221,11.221227272727273,11.221227272727273,10.0,10.0,1.0,22.21374644549763,3.801644967218875,1.2993701091506937,0.6853716284219045,0.001,10.0,5.0,14.010944733603605,False,False,False,False,7
CHEMBL180672,NPS-2143,4.562798446027421,4.562798446027421,11.527818181818182,11.527818181818182,10.0,10.0,1.0,20.017625592417062,4.0402165832212065,1.8409129320158877,0.8769299255894166,0.001,10.0,5.0,13.53073719889958,True,True,False,False,8
CHEMBL45816,mibefradil,5.18335658337112,5.18335658337112,10.546727272727273,10.546727272727273,10.0,10.0,1.0,19.883364928909955,3.3594133655288267,1.2370950710410722,0.9654702455984708,0.001,10.0,5.0,13.208708197329116,False,False,False,False,9
CHEMBL2441082,UNC0642,1.2882846459099169,1.2882846459099169,9.565636363636363,9.565636363636363,10.0,10.0,1.0,21.95481516587678,4.653087843301938,1.398122054855332,-0.25980671071248773,0.001,10.0,5.0,12.865837540987242,False,False,False,False,10
CHEMBL3545413,flumatinib,1.735266235961317,1.735266235961317,9.565636363636363,9.565636363636363,10.0,10.0,1.0,21.181218009478677,4.853322191407489,1.8521108471370287,0.4504002912203342,0.001,10.0,5.0,12.645794996438282,True,True,False,False,11
CHEMBL562318,PF-02545920,6.162904968391453,6.162904968391453,11.711772727272727,11.711772727272727,10.0,10.0,1.0,16.779386255924173,4.819779773788813,-0.41742074832230275,-0.6644425167501297,0.001,10.0,5.0,12.62904458695705,False,False,False,False,12
CHEMBL1093458,Endoxifen HCl,5.377458654119473,5.377458654119473,9.504318181818181,9.504318181818181,10.0,10.0,1.0,18.278630331753554,5.160070984976389,0.9563623613923494,-0.4214624633195183,0.001,10.0,5.0,12.18867113625259,False,False,False,False,13
CHEMBL1231795,UNC0638,1.6687985010907715,1.6687985010907715,9.933545454545454,9.933545454545454,10.0,10.0,1.0,19.100177725118485,3.1811626517144744,0.8989468209919372,-0.40212350852098117,0.001,10.0,5.0,11.947248972083731,False,False,False,False,14
CHEMBL1825141,crizotinib-(S),3.8437383719109235,3.7110453998332775,9.872227272727272,5.217155303030303,0.8333333333333334,10.0,2.0,17.620113744075827,3.384624736379764,4.107084155589894,0.550276038920502,0.001,10.0,5.0,11.765684081103425,True,True,False,False,15
CHEMBL64925,MG-132,3.2168298638194965,3.2168298638194965,4.598863636363636,4.598863636363636,10.0,10.0,1.0,23.005572784810127,9.019319333536163,12.378943037815656,4.341167573252697,0.001,10.0,5.0,11.685140541233405,True,True,False,False,16
CHEMBL682,amodiaquine,5.534872743209641,5.534872743209641,10.546727272727273,10.546727272727273,10.0,10.0,1.0,14.340317535545024,3.5170413823350444,1.77209498077824,0.35988325329524495,0.001,10.0,5.0,11.061792471950847,True,True,False,False,17
CHEMBL5314365,MONENSIN SODIUM,3.517343658510089,3.517343658510089,7.910045454545454,7.910045454545454,10.0,10.0,1.0,16.843319905213267,5.601138293881713,0.6112197486440837,-0.1803113623408731,0.001,10.0,5.0,10.604814875605506,False,False,False,False,18
CHEMBL48802,sulforaphane,6.139439672253013,6.139439672253013,11.895727272727273,11.895727272727273,10.0,10.0,1.0,11.309862559241708,0.19235268363857685,1.0800611041281214,-0.3850592663949083,0.001,10.0,5.0,10.510123867238196,False,False,False,False,19
CHEMBL3182327,PIK-293,2.2094364875030736,2.2094364875030736,7.174227272727273,7.174227272727273,10.0,10.0,1.0,17.405936018957348,3.1329007480952673,0.19241578426110306,-0.5887967160844731,0.001,10.0,5.0,10.273952614174462,False,False,False,False,20
CHEMBL46286,homoharringtonine,5.522262112841239,5.522262112841239,9.872227272727272,9.872227272727272,10.0,10.0,1.0,12.545700000000002,1.7227597646615191,15.784734147584,6.5343248747339,0.001,10.0,5.0,10.071623331659158,True,True,False,False,21
CHEMBL1561,miglitol,0.33854810277598757,0.33854810277598757,-0.24527272727272728,-0.24527272727272728,10.0,10.0,1.0,25.02395,3.5884434730851966,-0.6452264275879954,-1.3528144587192048,0.001,10.0,5.0,9.979180529646106,False,False,False,False,22
CHEMBL1972860,elesclomol,5.822535990540396,5.822535990540396,10.301454545454545,10.301454545454545,10.0,10.0,1.0,11.687071090047395,6.096202364483259,10.414065133630354,4.06465128712459,0.001,10.0,5.0,9.959917452308856,True,True,False,False,23
CHEMBL507100,thaliblastine,2.7103700986383323,2.7103700986383323,8.952454545454545,8.952454545454545,10.0,10.0,1.0,14.576872037914693,3.372392933803553,1.8252952442932466,0.6049714503438832,0.001,10.0,5.0,9.953804653075363,True,True,False,False,24
CHEMBL489,afimoxifene,5.259682671773322,5.259682671773322,9.320363636363636,9.320363636363636,10.0,10.0,1.0,12.83468009478673,2.649922565069462,2.2617133677405206,0.44981472920141563,0.001,10.0,5.0,9.913954026814812,True,True,False,False,25
CHEMBL1908391,masitinib,4.9481936821069255,4.9481936821069255,7.419499999999999,7.419499999999999,10.0,10.0,1.0,14.353104265402843,3.2644532310190852,1.2422722784281774,-0.15052774269376903,0.001,10.0,5.0,9.698680442582523,False,False,False,False,26
CHEMBL3237589,EHop-016,1.1780454984383644,1.1780454984383644,1.2365833333333334,1.2365833333333334,0.8333333333333334,0.8333333333333334,1.0,22.207353080568723,4.0347298475784825,4.486610646479141,1.4374848018554707,0.001,10.0,5.0,9.613183665248496,False,True,False,False,27
CHEMBL294803,Y-29794,2.005649771396866,2.005649771396866,1.0679583333333333,1.0679583333333333,0.8333333333333334,0.8333333333333334,1.0,21.93563507109005,4.610337276424159,2.6377090119089064,0.5433145796057339,0.001,10.0,5.0,9.602567316048727,False,True,False,False,28
CHEMBL137648,3'-fluorobenzylspiperone,1.770612171420748,1.770612171420748,0.11241666666666666,0.11241666666666666,0.8333333333333334,0.8333333333333334,1.0,22.95218009478673,5.322754156389534,4.671314612446876,1.259286296285565,0.001,10.0,5.0,9.57996113886551,False,True,False,False,29
CHEMBL38576,ICI-199441,5.2050958592410215,5.2050958592410215,10.056181818181818,10.056181818181818,10.0,10.0,1.0,11.181995260663507,3.8637402365811644,1.3465442866267034,-0.4346543200737852,0.001,10.0,5.0,9.536290003386334,False,False,False,False,30
CHEMBL214957,GW-803430,3.256926930091304,3.256926930091304,6.193136363636364,6.193136363636364,10.0,10.0,1.0,15.989805687203791,2.9805810922328018,0.8246075096697069,-0.6342580716892992,0.001,10.0,5.0,9.524562206354323,False,False,False,False,31
CHEMBL1254945,ELN-441958,4.968185209720584,4.968185209720584,9.075090909090909,9.075090909090909,10.0,10.0,1.0,11.882068720379149,2.532437207005305,2.392815076915714,1.1539509854285999,0.001,10.0,5.0,9.37650089373214,True,True,False,False,32
CHEMBL487,droloxifene,4.757831096179447,4.757831096179447,9.749590909090909,9.749590909090909,10.0,10.0,1.0,11.086094786729857,2.31610860472391,0.9781856946102554,0.6175736988272932,0.001,10.0,5.0,9.285840497564196,False,False,False,False,33
CHEMBL584,nelfinavir,4.703542492752693,4.703542492752693,6.867636363636364,6.867636363636364,10.0,10.0,1.0,13.851225118483413,2.042812148470643,1.9997182877857185,0.33095326681228354,0.001,10.0,5.0,9.22825309139845,True,True,False,False,34
