compound_name,chembl_id,smiles,composite_score,A_assay_efficacy,B_consistency,C_PLD,D_safety_proxy,E_clinical,F_mechanism_proxy,G_druglikeness,H_novelty,cpe_inhib_mean,cpe_viability_mean,morph_score_primary_mean,infection_rate_primary_mean,infection_inhib_primary_mean,morph_score_val_mean,infection_rate_val_mean,infection_inhib_val_mean,cellcount_val_mean,dipl_24h_mean,max_phase,first_approval,pref_name,canonical_smiles,standard_inchi_key,full_mwt,alogp,rdkit_mw,rdkit_logp,rdkit_hba,rdkit_hbd,num_ro5_violations,moa_str,target_pref_name,PLD_high_risk,Cell_line_divergence,Clinical_ready,imputed_subscores
disulfiram,CHEMBL964,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.8396655502430862,0.6254746410401278,0.9135301782340964,0.978319582670465,1.0,1.0,0.7,1.0,0.5,8.948,100.44260031,0.547813098626465,23.0,77.0,0.4375,54.75,45.25,83.0,2.2933333333333334,4.0,1951.0,DISULFIRAM,CCN(CC)C(=S)SSC(=S)N(CC)CC,AUZONCFQVSMFAP-UHFFFAOYSA-N,296.55,3.62,296.5520000000001,3.6212000000000026,4.0,0.0,0.0,INHIBITOR: Aldehyde dehydrogenase inhibitor; target=CHEMBL1935,Lysyl oxidase homolog 4 | Lysyl oxidase homolog 3 | Aldehyde dehydrogenase 1A1 | Lysyl oxidase homolog 2 | Adenosine receptor A3,False,False,True,0
biperiden,CHEMBL1101,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,0.806975703760823,0.4319043734603766,0.9362065583391814,0.8876946982870251,1.0,1.0,0.7,1.0,0.5,-0.924,96.26762787,0.479874012266427,75.5,24.5,0.495,70.25,29.75,108.0,10.458333333333334,4.0,1959.0,BIPERIDEN,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,YSXKPIUOCJLQIE-UHFFFAOYSA-N,311.47,3.96,311.46900000000005,3.9624000000000033,2.0,1.0,0.0,nan: nan; target=nan,Muscarinic acetylcholine receptor M1 | Muscarinic acetylcholine receptor M3 | Muscarinic acetylcholine receptor M2 | Muscarinic acetylcholine receptor M4 | Prostaglandin G/H synthase 1,False,False,True,0
dicycloverine,CHEMBL1123,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,0.8048879138927604,0.4555283587240881,0.9483054270933441,0.8352695253246513,1.0,1.0,0.7,1.0,0.5,4.518,97.782117152,0.311309125757329,90.0,10.0,0.565,60.0,40.0,110.25,15.181666666666667,4.0,1950.0,DICYCLOMINE,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,CURUTKGFNZGFSE-UHFFFAOYSA-N,309.49,4.4,309.4940000000001,4.402200000000004,3.0,0.0,0.0,nan: nan; target=nan,Muscarinic acetylcholine receptor M4 | Muscarinic acetylcholine receptor M1 | Muscarinic acetylcholine receptor M3 | Muscarinic acetylcholine receptor M5 | Sigma non-opioid intracellular receptor 1,False,False,True,0
cycloheximide,CHEMBL123292,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,0.7969685876007827,0.6627354405217634,0.9307275671400973,0.9822856931444005,1.0,0.6,0.7,1.0,0.5,11.267999999999999,67.45695042,0.392347140854964,69.0,31.0,0.65,23.0,77.0,83.25,1.936,2.0,,CYCLOHEXIMIDE,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,YPHMISFOHDHNIV-FSZOTQKASA-N,281.35,1.04,281.35200000000003,1.0414999999999999,4.0,2.0,0.0,INHIBITOR: 80S Ribosome inhibitor; target=CHEMBL3987582,"Eukaryotic initiation factor 4A-I | Solute carrier family 2, facilitated glucose transporter member 1 | Glucose transporter | Hexose transporter 1 | Large ribosomal subunit protein eL19A",False,False,False,0
balicatib,CHEMBL371064,CCCN1CCN(c2ccc(C(=O)NC3(C(=O)NCC#N)CCCCC3)cc2)CC1,0.7891808538742254,0.6400658105768792,0.9327616856283635,0.9406193347885604,1.0,0.6,0.7,1.0,0.5,2.7960000000000003,103.954760994,0.589597726272754,46.0,54.0,0.69,46.0,54.0,114.75,5.69,2.0,,BALICATIB,CCCN1CCN(c2ccc(C(=O)NC3(C(=O)NCC#N)CCCCC3)cc2)CC1,LLCRBOWRJOUJAE-UHFFFAOYSA-N,411.55,2.29,411.55000000000035,2.29108,5.0,2.0,0.0,INHIBITOR: Cathepsin K inhibitor; target=CHEMBL268,Cathepsin K | Cathepsin D | Procathepsin L | Cathepsin B | Cathepsin S,False,False,False,0
promethazine,CHEMBL643,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,0.7862002141884274,0.5221062444500565,0.948937623780068,0.6185578452772948,1.0,1.0,0.7,1.0,0.5,0.39199999999999996,95.80659362399999,0.528302783934657,67.5,32.5,0.5725,54.5,45.5,112.0,34.70666666666666,4.0,1951.0,PROMETHAZINE,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,PWWVAXIEGOYWEE-UHFFFAOYSA-N,284.43,4.24,284.428,4.239400000000003,3.0,0.0,0.0,nan: nan; target=nan,Histamine H1 receptor | Muscarinic acetylcholine receptor M4 | Muscarinic acetylcholine receptor M1 | Muscarinic acetylcholine receptor M5 | Muscarinic acetylcholine receptor M3,False,False,True,0
MONENSIN SODIUM,CHEMBL5314365,CC[C@@]1([C@H]2O[C@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@H]2C)CC[C@H]([C@@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@H](C)[C@H](OC)[C@@H](C)C(=O)[O-])O3)O2)O1.[Na+],0.7758726420901328,0.7795187059053809,0.9625997877286263,0.9706426430870546,0.5,1.0,0.7,0.7942200000000009,0.5,15.939999999999998,100.071425738,0.556065867849195,39.0,61.0,0.8049999999999999,38.25,61.75,114.0,-2.985,4.0,,MONENSIN SODIUM,CC[C@@]1([C@H]2O[C@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@H]2C)CC[C@H]([C@@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@H](C)[C@H](OC)[C@@H](C)C(=O)[O-])O3)O2)O1.[Na+],XOIQMTLWECTKJL-PDHYURILSA-M,692.86,4.27,692.8630000000005,-0.057799999999991414,11.0,3.0,1.0,nan: nan; target=nan,,False,False,True,0
benztropine-mesylate,CHEMBL1201203,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,0.7749472822895301,0.4502208725085037,0.9182944534018034,0.6310629324059343,1.0,1.0,0.7,1.0,0.5,-2.85,99.62001040999999,0.481040082102585,84.5,15.5,0.5125,52.75,47.25,113.25,33.580000000000005,4.0,1954.0,BENZTROPINE,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,GIJXKZJWITVLHI-PMOLBWCYSA-N,307.44,4.42,307.43700000000007,4.417800000000004,2.0,0.0,0.0,nan: nan; target=nan,Muscarinic acetylcholine receptor M1 | Muscarinic acetylcholine receptor M3 | Muscarinic acetylcholine receptor M4 | Histamine H1 receptor | Muscarinic acetylcholine receptor M5,False,False,True,0
emetine,CHEMBL50588,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,0.7677535857490152,0.4908096249835753,0.5,0.9512190610085464,1.0,1.0,0.7,1.0,0.5,8.09,54.68580079760001,-0.193092670486945,108.0,-8.0,0.61,13.0,87.0,80.25,4.735,4.0,,EMETINE,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,AUVVAXYIELKVAI-CKBKHPSWSA-N,480.65,4.94,480.64900000000034,4.943400000000005,6.0,1.0,0.0,nan: nan; target=nan,NS5 | Alpha-2A adrenergic receptor | Alpha-2C adrenergic receptor | Glucose transporter | Hexose transporter 1,False,False,True,0
elesclomol,CHEMBL1972860,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,0.7657004402791442,0.6454818318160396,0.5659554245545216,0.914166265862592,1.0,0.8,0.7,1.0,0.5,15.624,76.990903874,0.879489843485334,19.5,80.5,0.4275,86.5,13.5,101.0,8.073333333333332,3.0,,ELESCLOMOL,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,BKJIXTWSNXCKJH-UHFFFAOYSA-N,400.53,2.05,400.5290000000001,2.0539000000000005,4.0,2.0,0.0,nan: nan; target=nan,,False,True,True,0
