inchikey,chembl_id,drug_name,smiles,phase,n_protein_links,n_unique_genes,n_pathway_links,n_unique_pathways,n_moa_links,n_unique_moa,max_phase,n_unique_genes_log,n_unique_pathways_log,n_unique_moa_log,mechanistic_score,phase_bonus,CYP3A4_p0,CYP3A4_p1,CYP3A4_inhibition,AMES_p0,AMES_p1,AMES_mutagenic,BBB_p0,BBB_p1,BBB_penetration,hERG_p0,hERG_p1,hERG_inhibition,PAMPA_p0,PAMPA_p1,PAMPA_permeability,logS,logS_lower_bound,logS_upper_bound,Capped_logS_lower_bound,Capped_logS_upper_bound,logP,CYP2C19_p0,CYP2C19_p1,CYP2C19_inhibition,CYP2D6_p0,CYP2D6_p1,CYP2D6_inhibition,CYP1A2_p0,CYP1A2_p1,CYP1A2_inhibition,CYP2C9_p0,CYP2C9_p1,CYP2C9_inhibition,PGP_p0,PGP_p1,PGP_inhibition,admet_penalty,logS_norm,logP_norm,admet_reg_bonus,mechanistic_score_norm,overall_score,assay_top_uM,assay_series_uM
OOUGLTULBSNHNF-UHFFFAOYSA-N,CHEMBL256997,ATALUREN,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,4.0,493,18,472,202,0,0,4.0,2.9444389791664403,5.313205979041787,0.0,3.066181283295756,1.0,0.839,0.0275,0.0,0.301,0.117,0.0,0.223,0.197,0,0.895,0.0175,0.0,0.747,0.0414,0.0,-4.77,-5.54,-4.0,-5.54,-4.0,3.240900000000001,0.175,0.29,1.0,0.673,0.0831,0.0,0.32,0.125,0.0,0.148,0.42,1.0,0.626,0.0527,0.0,0.6,0.40375000000000005,0.6897749999999998,0.10935249999999999,1.0,0.852902875,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
FNHKPVJBJVTLMP-UHFFFAOYSA-N,CHEMBL1946170,REGORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,,209,9,200,76,1,1,4.0,2.302585092994046,4.343805421853684,0.6931471805599453,2.5930636091651174,1.0,0.472,0.121,0.0,0.913,0.0108,0.0,0.147,0.368,1,0.471,0.131,0.0,0.0995,0.718,1.0,-6.84,-7.6,-6.08,-7.6,-6.08,5.688800000000002,0.595,0.077,0.0,0.863,0.0266,0.0,0.187,0.224,0.5,0.793,0.032,0.0,0.172,0.187,0.5,0.3,0.14500000000000002,0.07779999999999943,0.022279999999999946,0.8395311703607944,0.7101934948066753,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
LBWFXVZLPYTWQI-IPOVEDGCSA-N,CHEMBL1567,SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,,169,7,162,65,1,1,4.0,2.0794415416798357,4.189654742026425,0.6931471805599453,2.4352466295598347,1.0,0.975,0.0027,0.0,0.602,0.0497,0.0,0.054,0.697,1,0.337,0.168,0.0,0.576,0.0722,0.0,-0.594,-1.09,-0.0959,-1.09,-0.0959,2.24154,0.37,0.132,0.0,0.741,0.0674,0.0,0.882,0.00773,0.0,0.795,0.0358,0.0,0.372,0.125,0.0,0.0,0.92575,0.939615,0.1865365,0.7860038823325282,0.696083774982649,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
SDUQYLNIPVEERB-QPPQHZFASA-N,CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,,314,11,264,22,1,1,4.0,2.4849066497880004,3.1354942159291497,0.6931471805599453,2.321731025784734,1.0,0.592,0.0734,0.0,0.333,0.104,0.0,0.0797,0.62,1,0.748,0.046,0.0,0.924,0.000771,0.0,-1.72,-2.46,-0.986,-2.46,-0.986,-1.2886,0.675,0.0485,0.0,0.574,0.104,0.0,0.802,0.012,0.0,0.115,0.467,1.0,0.519,0.0869,0.0,0.3,0.785,0.17785000000000006,0.09628500000000001,0.7475024331591278,0.6430698181852587,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
PIQCTGMSNWUMAF-UHFFFAOYSA-N,CHEMBL522892,DOVITINIB,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,,158,6,152,61,1,1,3.0,1.9459101490553132,4.127134385045092,0.6931471805599453,2.261610145172429,0.75,0.546,0.0801,0.0,0.26,0.141,0.0,0.183,0.262,1,0.506,0.113,0.0,0.298,0.324,0.5,-2.89,-3.43,-2.35,-3.43,-2.35,2.5445,0.837,0.0178,0.0,0.41,0.2,0.5,0.529,0.0551,0.0,0.168,0.362,1.0,0.576,0.1,0.0,0.44999999999999996,0.6387499999999999,0.863875,0.1502625,0.7271110424412425,0.630458761075056,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL535,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,,169,7,162,65,1,1,4.0,2.0794415416798357,4.189654742026425,0.6931471805599453,2.4352466295598347,1.0,0.674,0.0606,0.0,0.174,0.199,1.0,0.0475,0.829,1,0.204,0.242,1.0,0.134,0.782,1.0,-2.48,-3.09,-1.88,-3.09,-1.88,3.3349400000000013,0.0872,0.488,1.0,0.515,0.138,0.0,0.481,0.0575,0.0,0.587,0.0888,0.0,0.0946,0.242,1.0,2.5999999999999996,0.69,0.6662649999999997,0.13562649999999996,0.7860038823325282,0.6299472749826489,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
GKEYKDOLBLYGRB-LGMDPLHJSA-N,CHEMBL1278146,FAMITINIB,CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,,158,6,152,61,1,1,3.0,1.9459101490553132,4.127134385045092,0.6931471805599453,2.261610145172429,0.75,0.466,0.137,0.0,0.348,0.0996,0.0,0.0583,0.776,1,0.606,0.0793,0.0,0.0509,0.891,1.0,-3.45,-4.19,-2.72,-4.19,-2.72,3.295020000000001,0.149,0.352,1.0,0.554,0.11,0.0,0.229,0.192,0.5,0.348,0.164,0.0,0.167,0.175,1.0,0.75,0.56875,0.6762449999999998,0.12449949999999999,0.7271110424412425,0.6198443110750561,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
CUIHSIWYWATEQL-UHFFFAOYSA-N,CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,,206,5,196,38,1,1,4.0,1.791759469228055,3.6635616461296463,0.6931471805599453,2.1335776645649105,1.0,0.518,0.113,0.0,0.363,0.0971,0.0,0.19,0.275,1,0.592,0.0895,0.0,0.119,0.758,1.0,-2.64,-3.31,-1.98,-3.31,-1.98,3.1390400000000005,0.676,0.0525,0.0,0.758,0.0668,0.0,0.421,0.077,0.0,0.61,0.0692,0.0,0.554,0.094,0.0,0.0,0.6699999999999999,0.7152399999999999,0.13852399999999998,0.6836858578787656,0.6019115791969507,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
OAVGBZOFDPFGPJ-UHFFFAOYSA-N,CHEMBL565612,SOTRASTAURIN,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,2.0,139,11,128,42,0,0,2.0,2.4849066497880004,3.7612001156935624,0.0,2.1930023576319138,0.5,0.252,0.23,0.5,0.586,0.054,0.0,0.102,0.564,1,0.637,0.0758,0.0,0.0785,0.818,1.0,-4.02,-4.82,-3.22,-4.82,-3.22,2.4301000000000004,0.845,0.0192,0.0,0.325,0.228,0.5,0.13,0.287,1.0,0.438,0.135,0.0,0.0524,0.273,1.0,0.8999999999999999,0.49750000000000005,0.8924749999999999,0.1389975,0.7038411204477517,0.598864577380589,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
KGPGFQWBCSZGEL-ZDUSSCGKSA-N,CHEMBL494089,GSK-690693,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,1.0,139,11,128,42,0,0,1.0,2.4849066497880004,3.7612001156935624,0.0,2.1040968566468363,0.25,0.663,0.0547,0.0,0.167,0.238,1.0,0.189,0.241,1,0.922,0.0126,0.0,0.73,0.0347,0.0,-1.05,-1.66,-0.439,-1.66,-0.439,1.5841999999999998,0.256,0.224,0.5,0.378,0.194,0.0,0.393,0.0842,0.0,0.651,0.055,0.0,0.524,0.102,0.0,1.15,0.86875,0.89605,0.17648000000000003,0.6736867582845169,0.5732307445418393,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
