chembl_id,preferred_name,trade_names,url,targets,mechanisms
CHEMBL34259,METHOTREXATE,Ebetrex; Emtexate high-pot; Emtexate pf; Jylamvo; Maxtrex; Metoject; Nordimet; Otrexup; Otrexup pfs; Rasuvo; Reditrex; Zlatal,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL34259,,"bp(MOA:""Dihydrofolate reductase inhibitor"")"
CHEMBL576982,QUIZARTINIB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL576982,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:RET),"bp(MOA:""Macrophage colony stimulating factor receptor inhibitor""); bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor""); bp(MOA:""Stem cell growth factor receptor inhibitor"")"
CHEMBL38,TRETINOIN,Acticin; Altreno; Atralin; Avita; Renova; Retin-a; Retin-a micro; Retin-a-micro; Tretinoin; Tretinoin component of solage; Tretinoin component of tri-luma; Tretinoin component of twyneo; Tretinoin component of veltin; Tretinoin component of ziana; Tretin-x; Vesanoid,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL38,p(HGNC:RARG),"bp(MOA:""Retinoic acid receptor agonist"")"
CHEMBL723,CARVEDILOL,Artist; Carvedilol; Coreg; Eucardic 12.5; Eucardic 25; Eucardic 3.125; Eucardic 6.25; Querto,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL723,,"bp(MOA:""Adrenergic receptor beta antagonist""); bp(MOA:""Adrenergic receptor alpha-1 antagonist"")"
CHEMBL1642,IMATINIB MESYLATE,Gleevec; Glivec; Imatinib accord; Imatinib actavis; Imatinib koanaa; Imatinib medac; Imatinib mesylate; Imatinib teva; Imatinib teva b.v.,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1642,p(HGNC:ABL1); p(HGNC:PDGFRB); p(HGNC:KIT),"bp(MOA:""Tyrosine-protein kinase ABL inhibitor""); bp(MOA:""Platelet-derived growth factor receptor beta inhibitor""); bp(MOA:""Stem cell growth factor receptor inhibitor"")"
CHEMBL3301603,GILTERITINIB FUMARATE,Xospata,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3301603,p(HGNC:FLT3); p(HGNC:AXL),"bp(MOA:""Tyrosine-protein kinase receptor FLT3 inhibitor""); bp(MOA:""Tyrosine-protein kinase receptor UFO inhibitor"")"
CHEMBL1201132,NALBUPHINE HYDROCHLORIDE,Nalbuphine hydrochloride; Nubain,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1201132,,"bp(MOA:""Opioid receptors; mu/kappa/delta agonist"")"
CHEMBL98,VORINOSTAT,Zolinza,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL98,,"bp(MOA:""Histone deacetylase 1 inhibitor""); bp(MOA:""Histone deacetylase 3 inhibitor""); bp(MOA:""Histone deacetylase 6 inhibitor"")"
CHEMBL389621,HYDROCORTISONE,Acetasol hc; Acticort; Aeroseb-hc; Ala-cort; Ala-scalp; Alkindi; Alkindi sprinkle; Alphaderm; Anflam; Anucort-hc; Anugesic hc; Anusol-hc; Anusol hc; Anusol plus hc; Anusol soothing relief; Balneol-hc; Beta-hc; Calmurid hc; Canesten hc; Cetacort; Cipro hc; Cobadex; Colocort; Corlan; Cort-dome; Cortef; Cortenem; Cortenema; Cortril; Daktacort; Daktacort hydrocort; Derma care hydrocort; Dermacort; Dermaspray demang; Dioderm; Dome-cort; Econacort; Efcortelan p; Efmody; Eldecort; Epicort; Eurax-hc; Eurax-hydrocort; Evacort; Exe-cort; Flexicort; Germoloids hc; Glycort; Gregoderm; Hc #1; Hc #4; Hc (hydrocortisone); H-cort; Hi-cor; Hydrocort in calamine oily; Hydrocort in cetomacrogol for a; Hydrocort in wte soft paraf; Hydrocortisone; Hydrocortisone component of acetasol hc; Hydrocortisone component of achromycin; Hydrocortisone component of alphaderm; Hydrocortisone component of calmurid hc; Hydrocortisone component of cortisporin; Hydrocortisone component of orlex hc; Hydrocortisone component of oticair; Hydrocortisone component of otobione; Hydrocortisone component of otobiotic; Hydrocortisone component of otocort; Hydrocortisone component of pediotic; Hydrocortisone component of pyocidin; Hydrocortisone component of vosol hc; Hydrocortisone component of xerese; Hydrocortisone in absorbase; Hydrocortone; Hydroderm; Hydroderm hc; Hydro-rx; Hytone; Jungle for; Medicort; Mildison lipocream; Nogenic hc; Nutracort; Nybadex; Nystaform-hc; Otoseptil; Otosporin; Penecort; Perinal; Plenadren; Proctocort; Proctocream hc; Proctofoam hc; Proctosedyl; Quinocort; Sential hc; Stie-cort; Synacort; Terra-cortril nystatin; Texacort; Timocort; Timodine; Topisone; Tri-cicatrin; Uniroid; Uniroid hc; Xyloproct; Zenoxone,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL389621,,"bp(MOA:""Glucocorticoid receptor agonist"")"
CHEMBL4297985,MAGROLIMAB,,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL4297985,,"bp(MOA:""Leukocyte surface antigen CD47 inhibitor"")"
CHEMBL3989958,IVOSIDENIB,Tibsovo,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL3989958,p(HGNC:IDH1),"bp(MOA:""Isocitrate dehydrogenase [NADP] cytoplasmic inhibitor"")"
