name,url,associated_proteins,associated_drugs
Transcriptional activation of mitochondrial biogenesis,,p(HGNC:IDH2),
Citric acid cycle (TCA cycle),,p(HGNC:IDH2),
Mitochondrial protein degradation,,p(HGNC:IDH2),
Maturation of TCA enzymes and regulation of TCA cycle,,p(HGNC:IDH2),
PIP3 activates AKT signaling,,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:PDGFRA),
Downstream signal transduction,,p(HGNC:PDGFRB); p(HGNC:PDGFRA),
Signaling by PDGF,,p(HGNC:PDGFRB); p(HGNC:PDGFRA),
Constitutive Signaling by Aberrant PI3K in Cancer,,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:PDGFRA),
RAF/MAP kinase cascade,,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:RET); p(HGNC:CSF2RA); p(HGNC:PDGFRA); p(HGNC:JAK2),
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",,p(HGNC:FLT3); p(HGNC:KIT); p(HGNC:PDGFRB); p(HGNC:PDGFRA),
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,p(HGNC:CD33),
Neutrophil degranulation,,p(HGNC:IDH1); p(HGNC:PRKCD); p(HGNC:CD33),
PI3K Cascade,,p(HGNC:FLT3),
FLT3 Signaling,,p(HGNC:FLT3),
STAT5 Activation,,p(HGNC:FLT3),
FLT3 mutants bind TKIs,,p(HGNC:FLT3),
STAT5 activation downstream of FLT3 ITD mutants,,p(HGNC:FLT3),
KW2449-resistant FLT3 mutants,,p(HGNC:FLT3),
semaxanib-resistant FLT3 mutants,,p(HGNC:FLT3),
crenolanib-resistant FLT3 mutants,,p(HGNC:FLT3),
gilteritinib-resistant FLT3 mutants,,p(HGNC:FLT3),
lestaurtinib-resistant FLT3 mutants,,p(HGNC:FLT3),
midostaurin-resistant FLT3 mutants,,p(HGNC:FLT3),
pexidartinib-resistant FLT3 mutants,,p(HGNC:FLT3),
ponatinib-resistant FLT3 mutants,,p(HGNC:FLT3),
quizartinib-resistant FLT3 mutants,,p(HGNC:FLT3),
sorafenib-resistant FLT3 mutants,,p(HGNC:FLT3),
sunitinib-resistant FLT3 mutants,,p(HGNC:FLT3),
tandutinib-resistant FLT3 mutants,,p(HGNC:FLT3),
linifanib-resistant FLT3 mutants,,p(HGNC:FLT3),
tamatinib-resistant FLT3 mutants,,p(HGNC:FLT3),
Signaling by FLT3 ITD and TKD mutants,,p(HGNC:FLT3),
Negative regulation of FLT3,,p(HGNC:FLT3),
FLT3 signaling through SRC family kinases,,p(HGNC:FLT3),
FLT3 signaling by CBL mutants,,p(HGNC:FLT3),
Regulation of actin dynamics for phagocytic cup formation,,p(HGNC:ABL1),
Role of ABL in ROBO-SLIT signaling,,p(HGNC:ABL1),
Myogenesis,,p(HGNC:ABL1),
RHO GTPases Activate WASPs and WAVEs,,p(HGNC:ABL1),
HDR through Single Strand Annealing (SSA),,p(HGNC:ABL1),
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,,p(HGNC:ABL1); p(HGNC:TP53),
Cyclin D associated events in G1,,p(HGNC:ABL1); p(HGNC:JAK2),
RUNX1 regulates transcription of genes involved in differentiation of HSCs,,p(HGNC:ABL1),
RUNX2 regulates osteoblast differentiation,,p(HGNC:ABL1),
FCGR3A-mediated phagocytosis,,p(HGNC:ABL1),
Factors involved in megakaryocyte development and platelet production,,p(HGNC:ABL1); p(HGNC:TP53); p(HGNC:JAK2),
MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,,p(HGNC:ABL1),
"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",,p(HGNC:ABL1),
Apoptotic cleavage of cellular proteins,,p(HGNC:PRKCD); p(HGNC:PRKCQ),
Calmodulin induced events,,p(HGNC:PRKCD); p(HGNC:PRKCA),
Effects of PIP2 hydrolysis,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ),
SHC1 events in ERBB2 signaling,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCA),
DAG and IP3 signaling,,p(HGNC:PRKCD); p(HGNC:PRKCE),
Role of phospholipids in phagocytosis,,p(HGNC:PRKCD); p(HGNC:PRKCE),
G alpha (z) signalling events,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ); p(HGNC:PRKCA),
HuR (ELAVL1) binds and stabilizes mRNA,,p(HGNC:PRKCD); p(HGNC:PRKCA),
VEGFR2 mediated cell proliferation,,p(HGNC:KDR); p(HGNC:PRKCD); p(HGNC:PRKCA),
CLEC7A (Dectin-1) signaling,,p(HGNC:PRKCD),
RHO GTPases Activate NADPH Oxidases,,p(HGNC:PRKCD); p(HGNC:PRKCA),
Interferon gamma signaling,,p(HGNC:JAK2); p(HGNC:PRKCD),
KEAP1-NFE2L2 pathway,,p(HGNC:PRKCD),
Inhibition of replication initiation of damaged DNA by RB1/E2F1,,p(HGNC:POLA1),
Polymerase switching on the C-strand of the telomere,,p(HGNC:POLA1),
Telomere C-strand synthesis initiation,,p(HGNC:POLA1),
DNA replication initiation,,p(HGNC:POLA1),
Activation of the pre-replicative complex,,p(HGNC:POLA1),
Polymerase switching,,p(HGNC:POLA1),
Removal of the Flap Intermediate,,p(HGNC:POLA1),
Processive synthesis on the lagging strand,,p(HGNC:POLA1),
G1/S-Specific Transcription,,p(HGNC:POLA1),
Defective pyroptosis,,p(HGNC:POLA1); p(HGNC:DNMT3A); p(HGNC:DNMT1),
Nuclear Receptor transcription pathway,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Signaling by Retinoic Acid,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Activation of anterior HOX genes in hindbrain development during early embryogenesis,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Activation of NOXA and translocation to mitochondria,,p(HGNC:TP53),
Activation of PUMA and translocation to mitochondria,,p(HGNC:TP53),
Pre-NOTCH Transcription and Translation,,p(HGNC:TP53),
Oxidative Stress Induced Senescence,,p(HGNC:TP53),
Formation of Senescence-Associated Heterochromatin Foci (SAHF),,p(HGNC:TP53),
Oncogene Induced Senescence,,p(HGNC:TP53),
DNA Damage/Telomere Stress Induced Senescence,,p(HGNC:TP53),
SUMOylation of transcription factors,,p(HGNC:TP53),
Autodegradation of the E3 ubiquitin ligase COP1,,p(HGNC:TP53),
Association of TriC/CCT with target proteins during biosynthesis,,p(HGNC:TP53),
Pyroptosis,,p(HGNC:TP53),
TP53 Regulates Metabolic Genes,,p(HGNC:TP53),
Ub-specific processing proteases,,p(HGNC:TP53),
Ovarian tumor domain proteases,,p(HGNC:TP53),
Interleukin-4 and Interleukin-13 signaling,,p(HGNC:TP53); p(HGNC:BCL2); p(HGNC:JAK2),
